Row Label,County,Jeff Holy,Ziggy Siegfried
PCT 6210,SP,384,231
PCT 6500,SP,84,27
PCT 6109,SP,163,97
PCT 6100,SP,178,99
PCT 6101,SP,283,124
PCT 6102,SP,279,130
PCT 6103,SP,91,81
PCT 6104,SP,177,139
PCT 6105,SP,222,148
PCT 6106,SP,330,214
PCT 6107,SP,209,109
PCT 6108,SP,190,152
PCT 6211,SP,233,167
PCT 6212,SP,180,131
PCT 6213,SP,388,193
PCT 6214,SP,280,184
PCT 6215,SP,323,279
PCT 6216,SP,321,208
PCT 6217,SP,347,226
PCT 6030,SP,515,174
PCT 6031,SP,259,109
PCT 6032,SP,270,38
PCT 6033,SP,570,164
PCT 6225,SP,385,198
PCT 6035,SP,237,75
PCT 6209,SP,234,246
PCT 6208,SP,344,276
PCT 6203,SP,263,364
PCT 6202,SP,277,226
PCT 6201,SP,288,162
PCT 6200,SP,354,257
PCT 6207,SP,459,172
PCT 6206,SP,328,307
PCT 6205,SP,284,325
PCT 6204,SP,341,371
PCT 6602,SP,323,136
PCT 6601,SP,318,78
PCT 6600,SP,288,159
PCT 6704,SP,292,152
PCT 6702,SP,180,142
PCT 6703,SP,264,158
PCT 6700,SP,279,146
PCT 6701,SP,254,176
PCT 6221,SP,478,187
PCT 6220,SP,448,158
PCT 6223,SP,449,158
PCT 6222,SP,372,67
PCT 6034,SP,432,117
PCT 6224,SP,307,195
PCT 6036,SP,233,76
PCT 6037,SP,221,59
PCT 6302,SP,257,94
PCT 6303,SP,501,208
PCT 6300,SP,565,219
PCT 6301,SP,573,158
PCT 6306,SP,381,109
PCT 6307,SP,214,60
PCT 6304,SP,459,202
PCT 6305,SP,253,72
PCT 6308,SP,219,73
PCT 6309,SP,366,151
PCT 6400,SP,251,105
PCT 6023,SP,227,61
PCT 6022,SP,371,137
PCT 6021,SP,325,129
PCT 6020,SP,454,268
PCT 6027,SP,351,125
PCT 6026,SP,500,212
PCT 6025,SP,256,115
PCT 6024,SP,232,75
PCT 6029,SP,357,113
PCT 6028,SP,283,109
PCT 6315,SP,194,111
PCT 6314,SP,308,160
PCT 6317,SP,264,113
PCT 6316,SP,160,76
PCT 6311,SP,296,127
PCT 6310,SP,282,149
PCT 6313,SP,313,214
PCT 6312,SP,293,131
PCT 6401,SP,137,67
PCT 6318,SP,321,91
PCT 6402,SP,301,122
PCT 6016,SP,235,86
PCT 6017,SP,585,210
PCT 6014,SP,189,78
PCT 6015,SP,187,104
PCT 6012,SP,232,71
PCT 6013,SP,252,109
PCT 6010,SP,54,11
PCT 6011,SP,306,88
PCT 6018,SP,498,163
PCT 6019,SP,435,224
PCT 6009,SP,247,131
PCT 6008,SP,276,118
PCT 6001,SP,330,144
PCT 6000,SP,280,81
PCT 6003,SP,443,108
PCT 6002,SP,104,24
PCT 6005,SP,304,136
PCT 6004,SP,239,115
PCT 6007,SP,303,137
PCT 6006,SP,338,131
PCT 6218,SP,364,130
PCT 6219,SP,405,155
Total,SP,32078,15277
