Row Label,County,Roger Goodman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Joel Hussey
SAM 45-2961,KI,162,531,16,318,0,0,140
DUV 45-3218,KI,216,840,22,454,0,0,216
DUV 45-3219,KI,142,548,15,298,0,1,140
PROVAN,KI,162,551,14,340,0,0,164
SAM 45-3293,KI,186,661,20,382,0,0,176
SAM 45-3298,KI,146,523,15,297,0,0,136
DUV 45-2959,KI,114,514,21,267,0,0,132
STEED,KI,176,759,8,501,0,0,317
MABEL,KI,95,331,5,212,0,1,111
KIR 45-2489,KI,175,559,15,295,0,0,105
SAM 45-2620,KI,165,491,14,305,0,0,126
SAM 45-3213,KI,153,558,15,295,0,1,126
SAM 45-3216,KI,205,710,22,362,0,2,133
SAM 45-3217,KI,234,641,16,424,0,0,174
SAM 45-3412,KI,223,738,30,406,0,1,152
SHANGRI-LA,KI,86,394,13,233,0,0,134
JAY,KI,138,492,14,280,0,0,128
SAM 45-2575,KI,240,770,22,496,0,1,233
ELSIE,KI,235,726,27,393,0,1,130
WEBSTER,KI,134,430,11,282,0,0,137
WOD 45-3192,KI,91,352,16,211,0,1,103
NAPOLEON,KI,151,505,11,324,0,1,161
KIR 45-3640,KI,72,311,8,152,0,1,71
KIR 45-3646,KI,66,276,4,101,0,0,31
ROSE,KI,146,409,16,280,0,0,118
MERLOT,KI,182,527,13,349,0,0,154
SAM 45-2450,KI,130,548,20,325,1,0,174
COTTAGE LAKE,KI,110,452,6,228,0,0,112
KIR 45-3397,KI,76,314,8,130,0,0,46
KIR 45-1040,KI,261,783,18,433,0,1,153
DUV 45-3502,KI,96,398,14,243,0,0,133
KIR 45-0554,KI,120,451,10,200,0,0,70
SAM 45-2684,KI,77,304,12,169,0,0,80
KIR 45-2679,KI,203,614,19,379,0,1,156
KIR 45-0623,KI,122,378,14,229,0,2,91
KIR 45-0622,KI,148,390,17,214,0,0,49
KIR 45-0620,KI,180,552,21,340,0,0,139
KIR 45-0627,KI,213,628,33,376,0,2,128
WOD 45-2769,KI,216,748,12,444,0,0,216
DOUGLAS,KI,160,568,24,337,0,1,152
KIR 45-0624,KI,278,793,25,501,0,0,198
HOLLYMORE,KI,180,525,24,337,0,0,133
KIR 45-2962,KI,112,453,13,208,0,1,82
DUV 45-3642,KI,127,443,12,249,0,0,110
MEANDER,KI,142,581,20,340,0,0,178
DUV 45-3481,KI,178,692,12,400,0,2,208
PORT,KI,2,17,0,7,0,0,5
SAM 45-2963,KI,211,774,27,448,0,0,210
ISABELLA,KI,212,660,31,409,0,1,165
TRILLIUM,KI,220,799,27,476,0,2,227
SAM 45-2726,KI,130,479,22,278,0,0,126
HILL,KI,151,493,17,312,0,0,144
BIG BEND,KI,58,216,8,124,0,0,58
KIR 45-2786,KI,150,351,13,236,0,0,73
KIR 45-0632,KI,168,475,13,273,0,0,92
