Row Label,County,Damon Shadid,Fred Bonner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,96,68,527,56,221,0,1
SEA 46-2344,KI,164,79,760,85,329,0,1
SEA 46-2311,KI,179,25,451,52,256,0,0
SEA 34-3648,KI,131,43,470,65,240,0,1
SEA 46-1968,KI,117,22,297,38,177,0,0
SEA 36-1391,KI,146,35,439,81,262,0,0
SEA 36-1390,KI,114,25,290,52,191,0,0
SEA 36-1393,KI,115,29,297,65,209,0,0
SEA 36-1392,KI,150,30,411,75,255,0,0
SEA 36-1395,KI,162,40,444,72,276,0,2
SEA 36-1394,KI,189,55,559,91,336,0,1
SEA 36-1397,KI,142,28,357,63,233,0,0
SEA 36-1396,KI,110,10,282,45,166,0,1
SEA 36-1399,KI,116,26,296,63,205,0,0
SEA 36-1816,KI,100,20,303,51,172,0,1
SEA 46-3687,KI,91,16,220,36,143,0,0
SEA 43-2017,KI,192,13,430,62,267,0,0
SEA 37-3416,KI,53,43,502,35,134,0,3
SEA 36-1403,KI,122,32,497,80,234,0,0
SEA 36-1402,KI,122,28,381,56,206,0,0
SEA 43-2013,KI,117,31,310,66,216,0,2
SEA 43-2011,KI,106,14,278,67,189,0,2
SEA 46-2353,KI,92,58,488,49,199,0,0
SEA 46-2096,KI,104,10,230,48,162,0,0
SEA 43-2018,KI,242,25,559,96,363,0,0
SEA 34-3637,KI,142,75,567,92,309,0,0
SEA 46-2097,KI,142,32,400,83,257,0,0
SEA 34-3632,KI,48,20,271,31,99,0,0
SEA 46-2276,KI,154,30,382,66,250,0,0
SEA 43-1351,KI,206,41,561,67,315,0,1
SEA 37-1936,KI,122,33,296,66,222,0,1
SEA 43-1353,KI,174,16,449,69,260,0,1
SEA 43-1352,KI,199,32,608,91,322,0,0
SEA 43-1355,KI,164,21,401,59,244,0,0
SEA 43-1354,KI,141,30,435,68,240,0,1
SEA 43-1357,KI,118,22,355,51,192,0,1
SEA 43-2049,KI,125,20,453,61,208,0,2
SEA 43-1359,KI,177,32,518,80,291,0,2
SEA 43-1358,KI,127,23,418,71,224,1,2
SEA 37-1934,KI,248,97,784,125,472,0,2
SEA 37-1935,KI,125,26,291,50,204,0,3
SEA 37-3647,KI,71,39,447,36,146,0,0
SEA 43-2059,KI,166,17,424,69,252,0,0
SEA 37-3159,KI,163,141,845,77,383,0,2
SEA 46-2271,KI,192,37,476,89,319,0,1
SEA 46-2347,KI,134,52,519,92,281,0,3
SEA 46-1952,KI,104,23,281,52,179,0,0
SEA 46-1953,KI,106,21,236,48,175,0,0
SEA 46-1954,KI,122,22,282,59,203,0,0
SEA 37-1638,KI,78,37,505,46,162,0,1
SEA 36-1308,KI,121,17,298,54,193,0,1
SEA 36-1309,KI,191,27,556,109,328,0,1
