Row Label,County,Cindy Ryu,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 32-3656,KI,195,474,88,288,0,5
SHL 32-1236,KI,117,268,27,148,1,3
SHL 32-0038,KI,195,498,43,247,0,9
SHL 32-0665,KI,163,414,50,218,0,5
SHL 32-0335,KI,140,414,49,195,0,6
SHL 32-1209,KI,185,478,68,262,0,9
SHL 32-0232,KI,164,386,62,231,0,5
SHL 32-3556,KI,161,436,66,239,0,12
SHL 32-2753,KI,142,465,39,184,0,3
SHL 32-0861,KI,253,696,66,331,0,12
SHL 32-0866,KI,139,432,63,215,0,13
SHL 32-0024,KI,191,449,65,269,0,13
SHL 32-1197,KI,134,352,54,191,0,3
SHL 32-0423,KI,159,389,61,224,0,4
SHL 32-1210,KI,211,535,66,284,0,7
SHL 32-0558,KI,107,310,27,138,0,4
SHL 32-0559,KI,116,308,36,157,0,5
SHL 32-0898,KI,114,295,57,177,0,6
SHL 32-0897,KI,171,446,52,233,0,10
SHL 32-0895,KI,166,484,48,218,0,4
SHL 32-0711,KI,140,337,63,208,0,5
SHL 32-0424,KI,120,318,64,192,0,8
SHL 32-1053,KI,145,364,74,227,0,8
SHL 32-0346,KI,102,256,22,131,0,7
SHL 32-0819,KI,160,411,46,211,0,5
SHL 32-0296,KI,144,377,54,201,0,3
SHL 32-0888,KI,105,264,35,142,0,2
SHL 32-0527,KI,197,626,63,274,0,14
SHL 32-0648,KI,166,481,60,232,0,6
SHL 32-1101,KI,115,301,42,157,0,0
SHL 32-0454,KI,129,300,41,173,0,3
SHL 32-0357,KI,201,501,56,264,0,7
SHL 32-0802,KI,147,452,45,194,0,2
SHL 32-0921,KI,101,260,68,176,0,7
SHL 32-0920,KI,120,314,64,188,0,4
SEA 32-2537,KI,153,396,58,213,0,2
SEA 32-2539,KI,314,788,129,447,0,4
SHL 32-0538,KI,153,425,63,219,0,3
SHL 32-0537,KI,129,337,81,212,0,2
SHL 32-0530,KI,108,282,67,179,0,4
SHL 32-0735,KI,112,269,27,141,0,2
SHL 32-0444,KI,198,438,57,260,0,5
SHL 32-1178,KI,132,393,49,186,0,5
SHL 32-0368,KI,125,309,50,178,0,3
SHL 32-0832,KI,147,343,69,225,0,9
SHL 32-1038,KI,100,254,33,136,0,3
SHL 32-1080,KI,95,258,36,134,0,3
SHL 32-0470,KI,157,413,90,258,0,11
SHL 32-0474,KI,116,383,64,191,0,11
SHL 32-1168,KI,181,466,60,246,0,5
SHL 32-0378,KI,106,305,42,150,0,2
SHL 32-0277,KI,91,241,40,132,0,1
SHL 32-0274,KI,124,288,51,186,0,11
SHL 32-2552,KI,182,444,59,247,0,6
SHL 32-0903,KI,138,271,28,171,1,4
SHL 32-0514,KI,151,534,147,312,0,14
SHL 32-0510,KI,257,645,108,371,0,6
SHL 32-0754,KI,267,629,117,389,0,5
SHL 32-0462,KI,133,421,71,207,0,3
SHL 32-0519,KI,125,422,54,182,0,3
SHL 32-1158,KI,117,317,38,158,0,3
SEA 32-2224,KI,218,535,67,289,0,4
SHL 32-0267,KI,213,607,76,299,0,10
SHL 32-0917,KI,181,537,68,252,0,3
SHL 32-0914,KI,183,495,97,289,0,9
SHL 32-0692,KI,219,554,71,299,0,9
SHL 32-0396,KI,298,767,92,401,0,11
SHL 32-0012,KI,115,340,39,159,0,5
SHL 32-1106,KI,222,585,75,299,0,2
SHL 32-0609,KI,134,370,47,184,0,3
SHL 32-0494,KI,189,468,59,252,0,4
SHL 32-1021,KI,221,550,77,309,0,11
SHL 32-1020,KI,118,341,59,178,0,1
SHL 32-0499,KI,180,462,104,288,0,4
SHL 32-0407,KI,237,661,140,386,0,9
SHL 32-0606,KI,130,364,49,183,0,4
SHL 32-0605,KI,161,422,88,255,0,6
SEA 32-2211,KI,211,606,93,311,0,7
SEA 32-2210,KI,251,610,118,374,0,5
SHL 32-1140,KI,92,240,38,130,0,0
SHL 32-1228,KI,136,366,56,195,0,3
SEA 32-2215,KI,358,805,160,535,0,17
SEA 32-2217,KI,319,754,95,421,0,7
SEA 32-2216,KI,138,338,60,203,0,5
SEA 32-2218,KI,242,666,86,332,0,4
SHL 32-0319,KI,94,284,45,141,0,2
SHL 32-3363,KI,116,373,46,164,0,2
SHL 32-0844,KI,178,431,91,276,0,7
SEA 32-3568,KI,299,849,84,383,0,0
SHL 32-0001,KI,131,439,39,175,0,5
SHL 32-0486,KI,119,298,62,185,0,4
SHL 32-0488,KI,96,282,35,136,0,5
SHL 32-1030,KI,104,301,38,144,0,2
SEA 32-2206,KI,199,412,64,266,0,3
SEA 32-2204,KI,164,339,65,230,0,1
SHL 32-0241,KI,225,612,59,291,0,7
SEA 32-2202,KI,168,436,80,250,0,2
SEA 32-2203,KI,293,758,122,422,0,7
SEA 32-2200,KI,186,385,76,263,0,1
SEA 32-2201,KI,232,463,80,315,0,3
SHL 32-0401,KI,167,419,106,282,0,9
SHL 32-0088,KI,85,258,34,121,0,2
SEA 32-2208,KI,148,350,75,224,0,1
SEA 32-2209,KI,277,599,118,402,0,7
SHL 32-1077,KI,169,471,48,225,0,8
SHL 32-0875,KI,242,557,67,315,0,6
