Row Label,County,Dawn Morrell,Melanie Stambaugh
25-277,PI,234,333
25-204,PI,287,256
25-276,PI,15,4
25-280,PI,253,375
25-259,PI,277,304
25-263,PI,193,314
25-260,PI,273,332
25-261,PI,180,240
25-248,PI,332,378
25-220(*),PI,0,0
25-264,PI,256,345
25-265,PI,283,290
25-244,PI,342,368
25-246,PI,32,19
25-247,PI,267,231
25-240,PI,121,119
25-241,PI,154,114
25-242,PI,274,375
25-243,PI,270,200
25-208,PI,335,375
25-209,PI,320,316
25-269,PI,145,247
25-228,PI,292,221
25-279,PI,196,288
25-226,PI,173,212
25-201,PI,336,337
25-202,PI,234,287
25-203,PI,320,321
25-222,PI,218,187
25-205,PI,287,281
25-206,PI,212,150
25-221,PI,236,344
25-271,PI,229,333
25-281,PI,158,231
25-282,PI,222,360
25-283,PI,136,166
25-267,PI,113,171
25-255,PI,184,170
25-286,PI,229,320
25-287,PI,3,3
25-288,PI,200,372
25-284,PI,103,188
25-254,PI,176,127
25-278,PI,86,122
25-245(*),PI,0,0
25-285,PI,256,500
25-289,PI,0,0
25-274,PI,278,438
25-290,PI,26,32
25-268,PI,124,177
25-275(*),PI,0,0
25-217,PI,279,374
25-216,PI,179,211
25-215,PI,309,282
25-258,PI,304,330
25-213,PI,307,386
25-212,PI,273,330
25-211,PI,264,279
25-210,PI,341,437
25-253,PI,183,186
25-252,PI,232,249
25-251,PI,236,291
25-250,PI,102,140
25-257,PI,250,279
25-256,PI,254,257
25-219,PI,217,477
25-218,PI,289,345
25-262,PI,240,342
25-239,PI,270,340
25-238,PI,172,138
25-270,PI,225,348
25-235,PI,7,12
25-237(*),PI,0,0
25-236,PI,207,205
25-273,PI,160,249
25-230,PI,88,55
25-272,PI,258,357
25-227,PI,167,130
25-266,PI,249,419
Total,PI,16819,20384
25-293,PI,272,309
25-292,PI,280,350
25-291,PI,56,76
25-249,PI,276,321
