Row Label,County,Mary Yu
BLUFFS 210,CM,181
PORT ANGELES 109,CM,463
PORT ANGELES 108,CM,198
BELLEVIEW 205,CM,340
CARLSBORG 214,CM,237
PORT ANGELES 103,CM,400
PORT ANGELES 102,CM,384
PORT ANGELES 101,CM,231
OLYMPIC 254,CM,203
PORT ANGELES 107,CM,393
PORT ANGELES 106,CM,283
PORT ANGELES 105,CM,364
PORT ANGELES 104,CM,277
AGNEW 201,CM,264
JAMESTOWN 240,CM,202
FRESHWATER BAY 233,CM,374
DUNGENESS EAST 222,CM,357
SUN 269,CM,95
CLARK 216,CM,124
MOUNT PLEASANT 251,CM,281
PORT WILLIAMS 258,CM,185
MILLER PENINSULA 246,CM,169
ELK 229,CM,80
FAIRVIEW 232,CM,314
OBRIEN 253,CM,254
HAPPY VALLEY 237,CM,161
EAGLE 226,CM,246
COYOTE 218,CM,363
BOGACHIEL 212,CM,97
ROBIN HILL 266,CM,228
PRAIRIE NORTH 259,CM,250
JOYCE 241,CM,334
NEAH BAY 252,CM,164
SEQUIM 406,CM,263
MADISON CREEK 248,CM,107
FORKS 301,CM,157
DEER PARK 220,CM,337
DIAMOND POINT 221,CM,330
BEAVER 204,CM,180
MONTERRA 249,CM,296
PORT ANGELES 110,CM,104
PORT ANGELES 111,CM,419
PORT ANGELES 112,CM,237
PORT ANGELES 113,CM,234
QUILEUTE 262,CM,103
CLINE 217,CM,318
FORKS 302,CM,219
BELL HILL 207,CM,311
PRAIRIE SOUTH 260,CM,307
MOUNT ANGELES 250,CM,177
SUNLAND NORTH 270,CM,331
BLYN 211,CM,253
DUNGENESS WEST 223,CM,154
BLUE MOUNTAIN 209,CM,296
MACLEAY 247,CM,288
SEQUIM 404,CM,408
SEQUIM 405,CM,263
SEQUIM 402,CM,193
SEQUIM 403,CM,332
DRY CREEK 224,CM,280
CLALLAM BAY 215,CM,158
LOST MOUNTAIN 245,CM,165
SEQUIM 401,CM,184
RIVERSIDE 265,CM,285
BLACK DIAMOND 208,CM,180
SUNLAND SOUTH 271,CM,220
ELWHA 230,CM,87
Total,CM,16672
