Row Label,County,Rob Lawrence-Berrey
0134,YA,506
4303,YA,95
0130,YA,169
0131,YA,197
0132,YA,195
0133,YA,398
0138,YA,424
0139,YA,377
4005,YA,191
1301,YA,137
5101,YA,122
0140,YA,180
0142,YA,352
0308,YA,0
0307,YA,16
0306,YA,247
0305,YA,9
0304,YA,86
0303,YA,164
0302,YA,183
0301,YA,56
0127,YA,223
0126,YA,110
0124,YA,71
0120,YA,156
2701,YA,524
0129,YA,141
3401,YA,103
1701,YA,196
1702,YA,20
1703,YA,184
1704,YA,0
1705,YA,306
1706,YA,246
1708,YA,170
4401,YA,146
4402,YA,171
5010,YA,79
0113,YA,136
0110,YA,159
0111,YA,182
0116,YA,271
5016,YA,120
0118,YA,109
4106,YA,240
3308,YA,250
3309,YA,187
3306,YA,139
3304,YA,286
3305,YA,222
3303,YA,109
3301,YA,204
4801,YA,427
4802,YA,415
2301,YA,187
2303,YA,191
2306,YA,272
5003,YA,252
5001,YA,63
0104,YA,167
0101,YA,124
0103,YA,123
4114,YA,90
4115,YA,140
0901,YA,105
4625,YA,10
4626,YA,13
4111,YA,313
3311,YA,497
3310,YA,217
3313,YA,94
3504,YA,14
4623,YA,22
4624,YA,139
4112,YA,386
0190,YA,177
5014,YA,246
0179,YA,336
0170,YA,225
0173,YA,212
0175,YA,167
0177,YA,366
4101,YA,102
3004,YA,10
4102,YA,236
4105,YA,131
4104,YA,190
3002,YA,75
4109,YA,380
4108,YA,175
1901,YA,102
0185,YA,334
0184,YA,261
0187,YA,284
0186,YA,423
0181,YA,356
0180,YA,177
0183,YA,274
0182,YA,504
0501,YA,187
0189,YA,210
0188,YA,389
1502,YA,306
1503,YA,279
1501,YA,216
1504,YA,325
3602,YA,421
0169,YA,368
0168,YA,332
0001,YA,0
3605,YA,464
0163,YA,345
0162,YA,180
0167,YA,337
4627,YA,83
4608,YA,101
4609,YA,113
4606,YA,283
4604,YA,121
4605,YA,2
4602,YA,135
4603,YA,307
4601,YA,127
3206,YA,327
3205,YA,358
3204,YA,36
3203,YA,328
4628,YA,88
3208,YA,32
1103,YA,230
1101,YA,219
2103,YA,227
2101,YA,296
3904,YA,91
3905,YA,80
3901,YA,314
3902,YA,119
3903,YA,537
3601,YA,32
4618,YA,186
4615,YA,233
4616,YA,111
3104,YA,229
3105,YA,31
3106,YA,262
4003,YA,363
3101,YA,422
3102,YA,212
3103,YA,140
5012,YA,213
5020,YA,170
2501,YA,211
4504,YA,224
5202,YA,0
4501,YA,77
4503,YA,30
3701,YA,188
0156,YA,164
0154,YA,265
0155,YA,274
0153,YA,230
0150,YA,154
4001,YA,85
0701,YA,69
Total,YA,33289
4002,YA,95
0158,YA,138
