Row Label,County,J. Robert Leach
MARYSVILLE 17,SN,203
WAGNER,SN,222
LUNDS GULCH,SN,80
STRAUS,SN,291
EVERETT  73,SN,215
LYNNWOOD  6,SN,180
EVERETT  71,SN,111
MENZEL,SN,161
EVERETT  77,SN,149
EVERETT  76,SN,167
RIDGEWAY,SN,127
EVERETT  74,SN,122
EVERETT  79,SN,202
EVERETT  78,SN,102
NILE,SN,0
RHODY RIDGE,SN,140
LARIMER,SN,194
ARNOT,SN,143
CHATHAM,SN,44
KINGMAN,SN,314
MANN,SN,187
FIR,SN,204
MARYSVILLE 44,SN,294
MUKILTEO 18,SN,285
MUKILTEO 19,SN,162
MARYSVILLE 41,SN,152
MARYSVILLE 40,SN,166
MARYSVILLE 43,SN,197
MARYSVILLE 42,SN,186
SILVER FIRS,SN,270
PORT SUSAN,SN,298
MUKILTEO 10,SN,171
MUKILTEO 11,SN,213
MUKILTEO 16,SN,301
MUKILTEO 17,SN,295
MUKILTEO 14,SN,273
MUKILTEO 15,SN,83
MILL CREEK 18,SN,176
MILL CREEK 19,SN,297
MILL CREEK 14,SN,5
MILL CREEK 15,SN,212
MILL CREEK 16,SN,163
MILL CREEK 17,SN,227
NORDEN,SN,171
MILL CREEK 11,SN,157
MILL CREEK 12,SN,165
STAFFORD,SN,133
MC RAE,SN,151
SOFIE,SN,129
MARYSVILLE 30,SN,250
MARYSVILLE 31,SN,307
MARYSVILLE 32,SN,140
MARYSVILLE 33,SN,4
MARYSVILLE 34,SN,190
MARYSVILLE 35,SN,205
MAY CREEK,SN,223
MARYSVILLE 37,SN,140
MARYSVILLE 38,SN,153
MARYSVILLE 39,SN,182
ROBE,SN,124
THREE LAKES,SN,164
LOOP,SN,208
VIEW,SN,234
LOST LAKE,SN,137
LAKE STEVENS  4,SN,171
LAKE STEVENS  5,SN,190
WAXON,SN,284
LAKE STEVENS  7,SN,246
LAKE STEVENS  1,SN,283
LAKE STEVENS  2,SN,210
LAKE STEVENS  3,SN,276
PRIEST POINT,SN,125
LAKE STEVENS  8,SN,218
LAKE STEVENS  9,SN,161
BOTHELL 45,SN,108
MONROE  1,SN,236
MONROE  3,SN,227
EVERETT  90,SN,65
STANWOOD 2,SN,200
SOUTH SNOHOMISH,SN,153
STANWOOD 5,SN,247
STANWOOD 4,SN,275
LYNNWOOD 23,SN,211
CAVALRY,SN,199
LYNNWOOD 21,SN,203
SULTAN RIVER,SN,197
STANWOOD 7,SN,113
LYNNWOOD 25,SN,232
LYNNWOOD 24,SN,162
WATERS,SN,252
MONROE  6,SN,202
EVERETT   4,SN,203
MARYSVILLE 22,SN,272
EVERETT  70,SN,2
EVERETT  75,SN,120
KENWOOD,SN,194
ELFIN,SN,108
KENNARD,SN,175
ROBINHOOD,SN,166
EDMONDS 14,SN,167
SPADA,SN,5
HAINES,SN,206
HILTONS LAKE,SN,212
TUCKER,SN,211
EVERETT  39,SN,187
EVERETT  38,SN,47
BEVERLY,SN,182
EVERETT  36,SN,167
KNOX,SN,13
MARINER,SN,190
EVERETT  33,SN,261
EVERETT  32,SN,200
EVERETT  31,SN,143
EVERETT  30,SN,227
EDMONDS 39,SN,259
EVERETT  41,SN,162
EDMONDS 33,SN,194
EDMONDS 32,SN,208
EDMONDS 31,SN,238
EDMONDS 30,SN,174
EDMONDS 37,SN,204
EDMONDS 36,SN,198
PACIFIC,SN,60
EDMONDS 34,SN,234
TRONSON,SN,143
LAKE STEVENS 28,SN,206
LAKE STEVENS 26,SN,115
LAKE STEVENS 27,SN,108
LAKE STEVENS 24,SN,158
LAKE STEVENS 25,SN,54
LAKE STEVENS 22,SN,181
LAKE STEVENS 23,SN,152
LAKE STEVENS 20,SN,223
LAKE STEVENS 21,SN,269
ARLINGTON 18,SN,0
ARLINGTON 17,SN,6
ARLINGTON 16,SN,144
ARLINGTON 15,SN,86
ARLINGTON 14,SN,176
VINE,SN,183
ARLINGTON 12,SN,158
ARLINGTON 11,SN,115
ARLINGTON 10,SN,246
PELLERIN,SN,204
KOKANEE,SN,110
TIMBER,SN,0
EVERGREEN,SN,139
PIPELINE,SN,175
CREEK,SN,240
EVERETT  69,SN,171
LYNNWOOD  7,SN,233
WALNUT,SN,143
STANWOOD 1,SN,106
STANWOOD 3,SN,163
MONROE  2,SN,231
MONROE  5,SN,273
PINEWOOD,SN,192
MONROE  7,SN,197
STANWOOD 6,SN,141
MONROE  9,SN,213
MONROE  8,SN,128
CLOVER,SN,163
COHO,SN,83
OWEN,SN,163
MARYSVILLE 47,SN,201
FERN,SN,75
LYNNWOOD  5,SN,124
LYNNWOOD  4,SN,168
MUKILTEO 21,SN,127
MUKILTEO 20,SN,252
LYNNWOOD  1,SN,107
LYNNWOOD  3,SN,181
POND,SN,171
ATLAS,SN,233
LYNNWOOD  9,SN,235
LYNNWOOD  8,SN,153
BRIER 8,SN,151
MILL CREEK 21,SN,119
MILL CREEK 20,SN,175
MILL CREEK 22,SN,144
BRIER 3,SN,316
BRIER 2,SN,156
BRIER 1,SN,208
OVERLOOK,SN,273
BRIER 7,SN,156
BRIER 6,SN,153
BRIER 5,SN,268
BRIER 4,SN,228
MUKILTEO 12,SN,326
POPLAR,SN,102
FOUR CORNERS,SN,203
KACKMAN,SN,161
PILOT,SN,212
MUKILTEO  5,SN,295
MUKILTEO  4,SN,162
MUKILTEO  7,SN,175
MUKILTEO  6,SN,237
MUKILTEO  1,SN,260
MUKILTEO  3,SN,182
OHLDE,SN,198
MARYSVILLE 49,SN,171
MUKILTEO  9,SN,209
MUKILTEO  8,SN,160
COVE,SN,197
SILVER LAKE,SN,194
JORDAN TRAILS,SN,122
SOUTH LAKE STEVENS,SN,224
WINTER LAKE,SN,106
SUNDAY LAKE,SN,270
HAPPY VALLEY,SN,133
TUALCO,SN,127
RIDGEVIEW,SN,104
WINDSONG,SN,183
LAKE STEVENS 17,SN,215
MISTY,SN,213
LAKE STEVENS 15,SN,265
REES,SN,77
LAKE STEVENS 13,SN,212
LAKE STEVENS 12,SN,165
LAKE STEVENS 11,SN,136
LAKE STEVENS 10,SN,201
ROYAL,SN,263
LAKE STEVENS 19,SN,238
LAKE STEVENS 18,SN,189
MANORDALE,SN,181
POPPY,SN,127
CLEARVIEW,SN,227
LIND,SN,212
HAMPTON,SN,232
PARKSHORE,SN,175
MILL CREEK 10,SN,176
DUBUQUE,SN,189
IVERSON,SN,122
KEELER,SN,173
MILL CREEK 13,SN,200
MARTHA LAKE,SN,196
PARK PLACE,SN,75
BLUFF,SN,224
SISCO,SN,233
THOMAS CREEK,SN,192
TULALIP 3,SN,214
OLNEY,SN,227
TULALIP 1,SN,223
TULALIP 6,SN,109
TULALIP 4,SN,234
TULALIP 5,SN,128
EVERETT  60,SN,198
EVERETT  61,SN,38
EVERETT  62,SN,159
EVERETT  63,SN,152
SHOECRAFT,SN,224
EVERETT  65,SN,188
EVERETT  66,SN,210
EVERETT  67,SN,187
EVERETT  68,SN,290
ROSE,SN,167
LAKE,SN,229
HIPOINT,SN,138
MILL CREEK  3,SN,143
MILL CREEK  2,SN,192
MILL CREEK  1,SN,243
MILL CREEK  7,SN,17
