Row Label,County,Norma Smith,Michael Scott
LAKEWOOD,SN,198,67
KACKMAN,SN,154,65
SILVANA,SN,154,54
STANBY,SN,68,18
BRYANT,SN,74,46
KAYAK,SN,198,73
LAKE GOODWIN,SN,340,121
ARMSTRONG,SN,164,68
MC DONALD,SN,160,65
ROWLAND,SN,136,59
TRONSON,SN,147,48
PORT SUSAN,SN,325,81
KETCHUM,SN,213,72
CEDARHOME,SN,218,69
WATERS,SN,313,55
VILLAGE,SN,279,127
SILVANA TERRACE,SN,151,59
HENNING,SN,277,116
FLORENCE,SN,100,17
NORTH FORK,SN,129,47
SUNDAY LAKE,SN,284,98
BOULDER,SN,271,110
HAPPY VALLEY,SN,157,42
SHOECRAFT,SN,270,86
ROSE,SN,159,52
MC RAE,SN,171,52
STANWOOD 1,SN,92,58
LAKE HOWARD,SN,190,101
STANWOOD 3,SN,180,48
STANWOOD 2,SN,193,71
STANWOOD 5,SN,301,65
STANWOOD 4,SN,316,72
STANWOOD 7,SN,117,48
STANWOOD 6,SN,154,53
THOMPSON,SN,251,96
Total,SN,7060,2432
CLIFF,SN,156,53
