Row Label,County,Blair H. Brady,Eugene Strong 
02 - GRAYS RIVER,WK,75,37
07 - COLUMBIA,WK,121,89
10 - SOUTH CATHLAMET,WK,71,60
03 - ROSBURG / ALTOONA,WK,86,56
11 - NORTH CATHLAMET,WK,25,37
05 - ELOCHOMAN,WK,148,99
04 - SKAMOKAWA,WK,89,55
09 - WEST PUGET ISLAND,WK,170,89
08 - EAST PUGET ISLAND,WK,83,61
06 - ROSEDALE,WK,67,70
Total,WK,994,694
01 - DEEP RIVER,WK,59,41
