Row Label,County,Eunice L. Coker
ENDICOTT 147,WT,90
LACROSSE IN,WT,107
GARFIELD IN,WT,160
PULLMAN CITY 114,WT,15
PULLMAN 235,WT,255
FARMINGTON 103,WT,27
LAMONT IN,WT,21
PULLMAN 234,WT,52
COLFAX CITY 139,WT,210
PULLMAN CITY 127,WT,22
MALDEN IN,WT,43
PULLMAN CITY 125,WT,15
PULLMAN CITY 124,WT,21
PULLMAN CITY 123,WT,159
PULLMAN CITY 122,WT,81
PULLMAN CITY 121,WT,115
PULLMAN CITY 120,WT,406
UNIONTOWN 109,WT,59
TEKOA 101,WT,47
PULLMAN CITY 129,WT,47
PULLMAN CITY 128,WT,43
COLFAX RURAL 137,WT,205
DUSTY 143,WT,37
ALBION 112,WT,91
COLFAX CITY 142,WT,255
PULLMAN CITY 126,WT,14
COLTON 108,WT,77
COLFAX CITY 141,WT,148
WILCOX 138,WT,114
HAY 144,WT,22
PULLMAN 228,WT,17
ALBION IN,WT,125
COLFAX RURAL 136,WT,129
COLTON IN,WT,150
ROSALIA IN,WT,174
TEKOA IN,WT,178
MALDEN 150,WT,5
HOOPER 145,WT,17
OAKESDALE IN,WT,157
ST JOHN IN,WT,178
LAMONT 148,WT,32
ROSALIA 151,WT,61
ST JOHN 149,WT,177
PULLMAN CITY 135,WT,140
ENDICOTT IN,WT,107
COLFAX CITY 140,WT,186
PULLMAN 218,WT,232
PULLMAN CITY 134,WT,17
OAKESDALE 102,WT,84
PULLMAN CITY 118,WT,220
PULLMAN CITY 119,WT,147
PULLMAN CITY 130,WT,46
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,281
PULLMAN RURAL 111,WT,86
THORNTON 152,WT,46
LACROSSE 146,WT,68
PULLMAN CITY 116,WT,308
PULLMAN CITY 117,WT,122
PALOUSE 107,WT,229
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,140
UNIONTOWN IN,WT,77
STEPTOE 104,WT,81
FARMINGTON IN,WT,55
PULLMAN CITY 113,WT,97
GARFIELD 105,WT,73
Total,WT,7211
