Row Label,County,Warren McLeod
Salzer,LE,123
Napavine #2,LE,0
Napavine #3,LE,3
Packwood,LE,74
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,364
Union,LE,202
Paradise,LE,37
Napavine #4,LE,0
Urquhart,LE,168
Mossyrock,LE,111
Independence,LE,54
Sommerville,LE,47
Stillwater West,LE,143
Veness,LE,277
Greenwood,LE,11
Stearns Creek,LE,108
Elk Crk,LE,95
Stillwater East,LE,74
Agate,LE,137
Skookumchuck,LE,268
Silver Creek,LE,271
Meskill,LE,52
Onalaska,LE,513
Jackson,LE,346
Toledo,LE,147
Mauermann,LE,62
Chehalis #9,LE,12
Chehalis #8,LE,205
Harmony,LE,264
Chehalis #1,LE,205
Chehalis #3,LE,155
Chehalis #2,LE,145
Chehalis #5,LE,132
Chehalis #4,LE,147
Chehalis #7,LE,47
Chehalis #6,LE,278
Centralia #2,LE,310
Centralia #3,LE,116
Centralia #1,LE,119
Centralia #6,LE,245
Centralia #7,LE,125
Centralia #4,LE,179
Centralia #5,LE,132
Centralia #8,LE,147
Centralia #9,LE,295
Mineral,LE,140
Salkum,LE,233
Randle West,LE,189
Ethel,LE,345
Fair,LE,0
Crego,LE,631
Parcuvia,LE,219
Evaline West,LE,152
Pe Ell,LE,156
Newaukum,LE,248
Forest,LE,302
Dryad,LE,90
Temple,LE,205
Cowlitz,LE,435
Drews Prairie,LE,141
Seminary Hill,LE,143
Klickitat,LE,162
Verndale,LE,253
Cinebar,LE,234
Whealdon,LE,199
Roswell,LE,9
Sears,LE,205
Emery North,LE,2
Adna ,LE,470
Big Bottom,LE,282
Fords Prairie,LE,317
Jackson North,LE,0
Boistfort,LE,102
Claquato,LE,272
Curtis,LE,111
Vader,LE,104
Logan,LE,263
Alpha,LE,365
Berwick,LE,403
Evaline East,LE,93
Lincoln Creek,LE,222
Randle East,LE,235
Salmon Creek,LE,449
Emery,LE,155
Winlock,LE,213
Prescott,LE,537
Total,LE,17618
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,125
Centralia #11,LE,303
Centralia #12,LE,370
Centralia #13,LE,375
Morton,LE,213
