Row Label,County,Laura L. Smith
PATAHA,GA,130
PING - VOTE BY MAIL,GA,20
PEOLA-VOTE BY MAIL,GA,10
TUCANNON - VB MAIL,GA,55
WARD 3,GA,190
GROUSE-VOTE BY MAIL,GA,2
WARD 1,GA,97
MAYVIEW-VOTE BY MAIL,GA,43
SCOGGIN - VB MAIL,GA,89
Total,GA,983
WARD 4,GA,127
WARD 2,GA,177
PLEASANT-VB MAIL,GA,43
