Row Label,County,Lisa L. Sutton
BLUFFS 210,CM,172
PORT ANGELES 109,CM,438
PORT ANGELES 108,CM,189
BELLEVIEW 205,CM,342
CARLSBORG 214,CM,228
PORT ANGELES 103,CM,378
PORT ANGELES 102,CM,363
PORT ANGELES 101,CM,230
OLYMPIC 254,CM,204
PORT ANGELES 107,CM,377
PORT ANGELES 106,CM,283
PORT ANGELES 105,CM,351
PORT ANGELES 104,CM,270
AGNEW 201,CM,257
JAMESTOWN 240,CM,194
FRESHWATER BAY 233,CM,357
DUNGENESS EAST 222,CM,331
SUN 269,CM,95
CLARK 216,CM,123
MOUNT PLEASANT 251,CM,272
PORT WILLIAMS 258,CM,179
MILLER PENINSULA 246,CM,154
ELK 229,CM,72
FAIRVIEW 232,CM,301
OBRIEN 253,CM,244
HAPPY VALLEY 237,CM,149
EAGLE 226,CM,238
COYOTE 218,CM,352
BOGACHIEL 212,CM,96
ROBIN HILL 266,CM,220
PRAIRIE NORTH 259,CM,249
JOYCE 241,CM,316
NEAH BAY 252,CM,153
SEQUIM 406,CM,266
MADISON CREEK 248,CM,107
FORKS 301,CM,156
DEER PARK 220,CM,318
DIAMOND POINT 221,CM,322
BEAVER 204,CM,185
MONTERRA 249,CM,295
PORT ANGELES 110,CM,104
PORT ANGELES 111,CM,410
PORT ANGELES 112,CM,227
PORT ANGELES 113,CM,231
QUILEUTE 262,CM,98
CLINE 217,CM,291
FORKS 302,CM,216
BELL HILL 207,CM,295
PRAIRIE SOUTH 260,CM,296
MOUNT ANGELES 250,CM,171
SUNLAND NORTH 270,CM,330
BLYN 211,CM,240
DUNGENESS WEST 223,CM,148
BLUE MOUNTAIN 209,CM,288
MACLEAY 247,CM,282
SEQUIM 404,CM,395
SEQUIM 405,CM,252
SEQUIM 402,CM,186
SEQUIM 403,CM,328
DRY CREEK 224,CM,275
CLALLAM BAY 215,CM,155
LOST MOUNTAIN 245,CM,169
SEQUIM 401,CM,172
RIVERSIDE 265,CM,275
BLACK DIAMOND 208,CM,171
SUNLAND SOUTH 271,CM,216
ELWHA 230,CM,86
Total,CM,16133
