Row Label,County,Kendle E Allen,Ken Barker
MILL CREEK,ST,100,64
KETTLE FALLS 1,ST,255,85
COLUMBIA,ST,271,214
ARDEN 1,ST,227,95
COLVILLE 1,ST,90,49
COLVILLE 2,ST,143,48
DAISY,ST,123,60
COLVILLE 4,ST,292,100
COLVILLE 5,ST,219,108
COLVILLE 6,ST,154,45
COLVILLE 7,ST,141,70
COLVILLE VALLEY,ST,454,152
STONE LODGE,ST,227,115
ECHO VALLEY,ST,153,62
LOON LAKE 2,ST,140,97
NARCISSE,ST,310,155
LOON LAKE 1,ST,255,181
COLVILLE 3,ST,147,50
CAMAS PRAIRIE,ST,95,107
EVANS,ST,143,74
SPRINGDALE,ST,36,27
MEYERS FALLS 2,ST,336,151
NORTHPORT,ST,52,52
SUMMIT,ST,151,94
KELLY HILL,ST,65,49
CLAYTON 2,ST,227,158
CLAYTON 1,ST,116,114
ARDEN 2,ST,256,120
MEYERS FALLS 1,ST,196,106
WAITTS LAKE,ST,193,140
WELLPINIT,ST,64,70
CHEWELAH 3,ST,116,90
HUNTERS,ST,235,117
ONION CREEK,ST,73,54
CHEWELAH 2,ST,88,52
CHEWELAH 1,ST,142,121
ECHO,ST,289,108
QUARTZITE 1,ST,353,190
QUARTZITE 2,ST,149,132
TUM TUM 5,ST,233,88
TUM TUM 4,ST,185,97
ROCK CUT,ST,48,26
TUM TUM 1,ST,129,86
TUM TUM 3,ST,359,114
TUM TUM 2,ST,286,115
MARCUS,ST,36,34
Total,ST,10139,5557
FIRST THOUGHT,ST,29,27
WALKERS PRAIRIE,ST,122,127
CAMAS,ST,178,143
ADDY,ST,218,180
WILLIAMS VALLEY,ST,267,170
ORIN 1,ST,209,68
ORIN 2,ST,224,115
KETTLE FALLS 2,ST,162,51
CHEWELAH FORE,ST,100,52
RICE,ST,117,76
VALLEY 1,ST,30,23
VALLEY 2,ST,131,89
