Row Label,County,Jeff Morris
248    ,WM,202
180    ,WM,327
257    ,WM,212
160    ,WM,336
242,WM,228
164    ,WM,97
264    ,WM,359
238,WM,244
239,WM,408
259    ,WM,223
235,WM,200
236,WM,130
163    ,WM,291
230,WM,195
231,WM,328
232,WM,327
174    ,WM,263
179    ,WM,86
237,WM,189
182    ,WM,394
261    ,WM,333
266    ,WM,377
162    ,WM,248
175    ,WM,344
249    ,WM,363
181    ,WM,412
161    ,WM,226
251    ,WM,360
168    ,WM,350
263    ,WM,314
173    ,WM,261
252    ,WM,68
260    ,WM,256
250    ,WM,515
177    ,WM,232
245,WM,180
244,WM,396
247,WM,252
178    ,WM,349
241,WM,255
240,WM,383
243,WM,346
228,WM,332
226,WM,185
170    ,WM,242
255    ,WM,209
265    ,WM,285
254    ,WM,288
258    ,WM,393
256    ,WM,405
171    ,WM,389
253    ,WM,259
169    ,WM,468
246,WM,288
262    ,WM,322
172    ,WM,218
Total,WM,16467
159    ,WM,75
176    ,WM,250
