Row Label,County,Brenda Sorensen
COLUMBUS,KT,35
N DALLES,KT,293
ROOSEVELT,KT,61
GLENWOOD,KT,246
HGH PRAIRIE,KT,50
LYLE,KT,354
F VALLEY,KT,282
BINGEN,KT,97
WISHRAM,KT,71
WHITE SALMON,KT,317
ALDER CREEK,KT,138
ALDERDALE,KT,35
N WHITE SALMON,KT,190
PINE FOREST,KT,630
GOLDENDALE 3,KT,253
ORCHARD HTS,KT,194
GOLDENDALE 1,KT,358
N F VALLEY,KT,343
E LYLE,KT,108
E KLICKITAT,KT,84
W KLICKITAT,KT,68
HUSUM,KT,274
TROUT LAKE,KT,255
RIVER,KT,22
CENTERVILLE,KT,265
WOODLAND,KT,661
GOLDENDALE 2,KT,320
MT BROOK,KT,220
Total,KT,6321
APPLETON,KT,97
