Row Label,County,Susan Fagan
PATAHA,GA,135
PING - VOTE BY MAIL,GA,16
PEOLA-VOTE BY MAIL,GA,11
TUCANNON - VB MAIL,GA,56
WARD 3,GA,198
GROUSE-VOTE BY MAIL,GA,2
WARD 1,GA,100
MAYVIEW-VOTE BY MAIL,GA,39
SCOGGIN - VB MAIL,GA,88
Total,GA,973
WARD 4,GA,115
WARD 2,GA,176
PLEASANT-VB MAIL,GA,37
