Row Label,County,J.T. Wilcox,Steven Nielson
Yelm 1,TH,207,81
Eaton Creek,TH,153,58
Yelm 2,TH,203,97
Smith Prairie,TH,296,106
Yelm 4,TH,258,89
Mcallister Creek,TH,156,98
Tri Lakes,TH,129,39
Longmire,TH,163,50
Yelm 3,TH,253,86
Montgomery,TH,90,61
Summerset,TH,371,138
Pleasant Hill,TH,233,104
Forest,TH,307,127
Four Corners,TH,347,181
Cougar Mountain,TH,47,35
Thompson,TH,116,68
Meadows,TH,167,102
Sunwood Lakes,TH,327,156
Mullen,TH,240,120
Lydia Hawk,TH,314,183
Marvin,TH,242,105
Rainier 01,TH,186,79
Rainier 02,TH,135,61
Evergreen Ballroom,TH,250,135
Skokomish,TH,174,85
St Clair,TH,254,80
Fristoe,TH,180,53
Berry Valley,TH,169,108
Morris,TH,262,129
University North,TH,97,41
Mushroom Corner,TH,185,105
Ruth Prairie,TH,94,55
Deschutes,TH,293,123
Hartwood,TH,418,142
Fleetwood,TH,277,139
Fair Oaks,TH,130,88
Total,TH,8966,4147
Hawks Ridge,TH,79,44
Weir Prairie,TH,222,118
Pines,TH,197,59
University South,TH,111,63
Trailblazer,TH,69,47
Deerbrush,TH,236,105
Lackamas,TH,53,79
Nisqually,TH,167,86
Medicine Creek,TH,109,39
