Row Label,County,John Snaza
Yelm 1,TH,243
Griffin,TH,231
Kaiser,TH,107
Smith Prairie,TH,322
Olympia 01,TH,205
Lacey 29,TH,265
Scott Lake South,TH,204
Tri Lakes,TH,145
Woodland,TH,235
Plumb,TH,278
Montgomery,TH,122
Olympia 10,TH,210
Summerset,TH,433
Olympia 12,TH,131
Olympia 13,TH,203
Pleasant Hill,TH,271
Olympia 15,TH,145
Smith Lake,TH,245
Olympia 17,TH,164
Olympia 18,TH,184
Rocky Prairie,TH,173
Tumwater 05,TH,171
Scatter Creek,TH,195
Lacey 06,TH,91
Henderson,TH,356
Mullen,TH,305
Marvin,TH,297
Rochester 4,TH,206
Rochester 5,TH,298
Rochester 2,TH,262
Rochester 3,TH,274
French,TH,260
Rochester 1,TH,335
Tumwater 11,TH,345
Evergreen Ballroom,TH,308
Littlerock,TH,418
Lacey 10,TH,295
Skookumchuck,TH,268
Delphi,TH,239
Tolmie,TH,115
St Clair,TH,253
Olympia 58,TH,243
Tenino 01,TH,150
James,TH,253
Tumwater 10,TH,313
Lacey 14,TH,85
Olympia 07,TH,125
Olympia 06,TH,369
Olympia 05,TH,178
Olympia 04,TH,205
Olympia 03,TH,222
Olympia 02,TH,223
Plainview,TH,367
Lacey 27,TH,213
Delridge,TH,69
Military,TH,130
Lacey 16,TH,219
Lacey 39,TH,377
Olympia 09,TH,406
Sweet Briar,TH,346
Rainier 01,TH,197
Puget,TH,337
Olympia 11,TH,167
Vail,TH,323
Stedman,TH,171
Tumwater 13,TH,101
Zenkner Valley,TH,71
Trailblazer,TH,96
Libby,TH,198
Lackamas,TH,103
Broadway,TH,307
Johnson Point,TH,328
Sleater Kinney,TH,229
Medicine Creek,TH,129
Lacey 42,TH,79
Olympia 16,TH,46
Tumwater 12,TH,235
Prine,TH,48
Long Lake,TH,64
Lacey 33,TH,124
Olympia 53,TH,216
Lacey 31,TH,193
Lacey 30,TH,330
Greenridge,TH,167
Lacey 36,TH,155
Rich,TH,207
Olympia 19,TH,198
Butler Cove,TH,240
Lacey 34,TH,135
Mud Bay,TH,219
Olympia 14,TH,199
Mclane,TH,182
Tumwater 15,TH,280
Lawrence Lake,TH,332
Lacey 45,TH,120
Olympia 38,TH,63
Tilley,TH,302
Yelm 3,TH,293
Hunter Point,TH,168
Skokomish,TH,214
Schneiders Prairie,TH,207
Grand Mound,TH,124
Alpine,TH,414
Hays,TH,184
Luhr Beach,TH,293
Berry Valley,TH,229
Freedom,TH,337
Morris,TH,313
Lacey 07,TH,179
Lacey 04,TH,122
Lacey 05,TH,147
Lacey 02,TH,169
Lacey 03,TH,192
Deschutes,TH,305
Olympia 50,TH,177
Tumwater 28,TH,324
Tumwater 29,TH,0
Friendly Grove,TH,144
Olympia 51,TH,54
Fair Oaks,TH,174
Woodard Creek,TH,219
Pines,TH,216
Scott Lake North,TH,125
Mushroom Corner,TH,248
Tumwater 14,TH,114
Yelm 2,TH,241
Deerbrush,TH,295
Henness,TH,471
Lacey 09,TH,122
Kinwood,TH,215
Rainier 02,TH,156
Summit Lake,TH,230
Lacey 19,TH,155
Lacey 18,TH,259
Simmons 9,TH,5
Lacey 11,TH,223
Simmons 4,TH,13
Lacey 13,TH,121
Lacey 01,TH,98
Lacey 15,TH,224
Gull Harbor,TH,163
Simmons 3,TH,11
Simmons 2,TH,4
Spurgeon Creek,TH,124
Black River,TH,377
Forest,TH,374
Olympia 24,TH,186
Quince,TH,4
Meadows,TH,205
Pattison,TH,263
Olympia 54,TH,127
Olympia 55,TH,121
Olympia 56,TH,218
Olympia 57,TH,104
Tykle Cove,TH,229
Mcallister Creek,TH,220
Olympia 52,TH,114
Mcintosh,TH,442
Tenino 02,TH,175
Olympia 39,TH,205
Steamboat Island,TH,199
Olympia 20,TH,92
Lacey 08,TH,134
Lacey 41,TH,225
Delta,TH,2
Ames,TH,206
Jones Beach,TH,157
Pleasant Glade,TH,149
Lacey 35,TH,90
Evergreen Shores,TH,221
Hewitt Lake,TH,320
Tumwater 08,TH,267
Olympia 60,TH,146
Tumwater 06,TH,389
Tumwater 07,TH,198
Tumwater 04,TH,158
Beach Crest,TH,199
Tumwater 02,TH,222
Tumwater 03,TH,269
Roosevelt,TH,275
Tumwater 01,TH,178
University North,TH,109
Olympia 49,TH,204
Olympia 48,TH,268
Bush Prairie,TH,70
Olympia 43,TH,229
Olympia 42,TH,122
Olympia 41,TH,192
Olympia 40,TH,171
Olympia 47,TH,273
Olympia 46,TH,228
Olympia 45,TH,146
Olympia 44,TH,96
Holmes,TH,226
Cooper Point,TH,240
Ruth Prairie,TH,132
Hawks Ridge,TH,106
Weir Prairie,TH,271
Wilderness,TH,352
Lacey 32,TH,262
Camelot,TH,162
University South,TH,147
Lacey 24,TH,329
Gallagher Cove,TH,388
Lacey 17,TH,239
Total,TH,59154
College,TH,28
Bigelow,TH,227
Lacey 37,TH,69
Olympia 08,TH,212
Beaver Creek,TH,497
Oyster Bay,TH,270
Eaton Creek,TH,165
Lacey 28,TH,136
Olympia 25,TH,164
Four Corners,TH,413
South Bay,TH,305
Indian Summer,TH,295
Longmire,TH,180
Tumwater 24,TH,182
Olympia 59,TH,189
Clear Lake,TH,408
Airport,TH,25
Thompson,TH,164
Bucoda,TH,112
Glen Terra,TH,85
Frye Cove,TH,285
Cougar Mountain,TH,63
Mckinley,TH,86
Olympia 37,TH,144
Gibson Valley,TH,41
Olympia 35,TH,418
Black Lake,TH,328
Scheller,TH,121
Olympia 30,TH,178
Olympia 31,TH,186
Sunwood Lakes,TH,388
Lydia Hawk,TH,427
Lacey 23,TH,99
Olympia 32,TH,287
Michigan Hill,TH,149
Tumwater 09,TH,167
Yelm 4,TH,253
Lacey 48,TH,155
Zangle,TH,233
Fish Trap,TH,169
East Olympia,TH,254
Munn Lake,TH,163
Sunset Beach,TH,268
Olympia 27,TH,106
Lacey 43,TH,280
Lacey 40,TH,284
Fristoe,TH,182
Lacey 46,TH,556
Lacey 47,TH,406
Lacey 44,TH,110
Hicks,TH,43
Salmon Creek,TH,152
Lacey 49,TH,146
Wards,TH,109
South Union,TH,335
Boston Harbor,TH,284
Olympia 29,TH,257
Olympia 28,TH,206
Trails End,TH,471
