Row Label,County,Ruth Gordon
601 Queets,JE,25
704 Port Townsend,JE,192
101 Gardiner,JE,125
501 Port Ludlow I,JE,423
200 Coyle,JE,159
708 Port Townsend,JE,489
302 Center I,JE,190
702 Port Townsend,JE,228
306 Irondale II,JE,339
300 Chimacum I,JE,221
102 Port Discovery,JE,140
105 Discovery Bay,JE,359
305 Irondale I,JE,260
710 Port Townsend,JE,282
500 Port Ludlow,JE,349
106 North Jacob,JE,270
503 Port Ludlow III,JE,233
301 Chimacum II,JE,146
706 Port Townsend,JE,581
401 Nordland,JE,341
502 Port Ludlow II,JE,258
505 Port Ludlow V,JE,286
709 Port Townsend,JE,468
303 Hadlock,JE,337
304 Kala Point,JE,385
107 South Jacob,JE,352
201 Quilcene,JE,314
308 Center II,JE,120
705 Port Townsend,JE,226
204 Brinnon,JE,388
707 Port Townsend,JE,470
104 Cape George,JE,378
103 Crocker,JE,121
600 Hoh,JE,26
703 Port Townsend,JE,261
700 Port Townsend,JE,358
504 Port Ludlow IV,JE,184
Total,JE,10686
701 Port Townsend,JE,172
307 Four Corners,JE,230
