Row Label,County,Tana Senn,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Bill Stinson
ISS 41-3554,KI,152,416,15,281,0,0,114
SAM 41-3638,KI,197,717,30,346,0,0,119
SAM 41-3507,KI,183,708,15,314,0,0,116
SAM 41-0100,KI,214,667,20,362,0,0,128
NEW 41-3241,KI,223,699,23,373,0,1,126
OVERDALE,KI,9,12,0,9,0,0,0
RNT 41-0989,KI,147,693,21,270,0,1,101
M-I 41-0769,KI,208,544,28,333,0,1,96
M-I 41-0768,KI,120,307,8,170,0,1,41
BEL 41-2970,KI,230,714,22,384,0,1,131
M-I 41-0763,KI,132,303,14,200,0,0,54
M-I 41-0762,KI,103,256,11,148,0,0,34
M-I 41-0761,KI,133,335,12,208,0,0,63
M-I 41-0767,KI,96,260,4,141,0,2,39
M-I 41-0766,KI,122,322,10,197,1,0,64
M-I 41-0765,KI,252,645,29,441,0,0,160
BEL 41-0116,KI,63,290,14,111,0,0,34
BEL 41-0117,KI,81,263,8,140,0,1,50
BEL 41-0114,KI,146,459,25,292,0,0,121
BEL 41-0120,KI,82,248,12,157,0,0,63
BEL 41-0112,KI,195,712,19,358,0,1,143
BEL 41-0113,KI,91,255,7,158,0,0,60
BEL 41-0110,KI,163,571,13,257,0,0,81
BEL 41-0111,KI,197,544,23,330,0,0,110
BEL 41-3312,KI,280,796,42,489,0,1,166
BEL 41-0119,KI,117,295,15,197,0,0,65
M-I 41-0796,KI,183,561,15,268,0,1,69
M-I 41-0797,KI,140,373,15,199,0,1,43
M-I 41-0794,KI,167,399,15,257,0,1,74
M-I 41-0795,KI,224,508,11,319,0,1,83
BEL 41-0211,KI,146,373,19,229,0,4,60
BEL 41-0210,KI,102,367,16,186,0,0,68
M-I 41-0790,KI,83,246,17,147,0,0,47
M-I 41-0791,KI,111,259,7,156,0,0,38
BEL 41-2484,KI,121,404,17,199,0,0,61
BEL 41-0219,KI,167,623,23,264,0,0,74
SAM 41-2973,KI,198,723,50,434,0,0,186
BEL 41-3140,KI,92,286,12,172,0,0,68
NEW 41-0878,KI,210,630,21,328,0,0,97
EDGEHILL,KI,20,67,4,44,0,0,20
RNT 41-1018,KI,274,868,33,464,0,0,157
ISS 41-2409,KI,483,1074,57,829,0,0,289
M-I 41-0778,KI,137,320,14,215,0,0,64
M-I 41-0779,KI,205,497,24,331,0,0,102
RNT 41-0994,KI,146,488,21,250,0,0,83
M-I 41-0770,KI,114,277,8,173,0,0,51
M-I 41-0771,KI,100,258,7,149,0,0,42
M-I 41-0773,KI,91,315,17,180,0,0,72
M-I 41-0774,KI,198,453,14,288,0,0,76
BEL 41-3371,KI,178,677,27,296,0,1,90
M-I 41-0776,KI,142,331,10,213,0,0,61
M-I 41-0777,KI,177,492,19,291,0,0,95
BEL 41-0475,KI,94,262,4,149,0,0,51
RNT 41-3438,KI,88,365,13,160,0,0,59
BEL 41-3370,KI,224,812,42,377,0,0,111
BEL 41-3658,KI,63,305,10,115,0,0,42
BEL 41-2906,KI,147,474,17,264,0,0,100
BEL 41-0472,KI,162,522,17,303,0,0,124
BEL 41-0203,KI,245,688,20,410,0,0,145
BEL 41-3657,KI,109,353,18,189,0,0,62
BEL 41-0206,KI,211,729,16,344,0,2,115
GRAFF,KI,35,105,3,64,0,0,26
BEL 41-0205,KI,92,288,11,171,0,0,68
NEW 41-0248,KI,111,380,4,180,0,0,65
NEW 41-3228,KI,141,470,22,254,0,0,91
M-I 41-2465,KI,135,330,11,208,0,2,60
NEW 41-3261,KI,151,503,9,267,0,0,107
NEW 41-3578,KI,86,396,22,156,0,2,46
SAM 41-3654,KI,164,475,22,287,0,0,101
BEL 41-0123,KI,188,748,29,323,0,1,105
BEL 41-0122,KI,105,391,15,213,0,0,93
SAM 41-2491,KI,184,707,23,367,0,1,159
BEL 41-0460,KI,188,506,17,289,0,0,84
BEL 41-2621,KI,152,528,23,251,0,1,75
M-I 41-0775,KI,202,491,18,313,0,0,93
EAGLE,KI,0,3,0,0,0,0,0
BEL 41-0175,KI,246,815,28,415,0,0,141
BEL 41-0176,KI,170,593,21,292,0,0,101
ISS 41-1208,KI,187,649,33,369,0,0,149
SAM 41-3607,KI,110,498,20,259,0,0,129
BEL 41-0179,KI,97,338,14,148,0,0,37
BEL 41-3278,KI,92,290,13,172,0,0,67
BEA 41-0099,KI,72,240,17,151,0,0,62
M-I 41-3655,KI,167,457,26,258,0,0,65
BEL 41-3680,KI,133,413,32,239,0,0,74
BEL 41-3684,KI,73,240,18,122,0,0,31
NEW 41-3227,KI,131,467,24,254,0,0,99
M-I 41-0756,KI,254,738,36,402,0,0,112
M-I 41-0757,KI,152,403,14,231,0,1,64
M-I 41-0755,KI,96,265,13,172,0,0,63
SAM 41-2469,KI,134,529,24,288,0,0,130
M-I 41-0758,KI,124,284,4,175,0,0,47
M-I 41-0759,KI,134,379,17,211,0,1,59
M-I 41-2808,KI,117,263,20,188,0,3,48
M-I 41-2809,KI,111,240,12,152,0,0,29
SAM 41-0816,KI,174,687,33,385,0,0,178
SAM 41-0909,KI,245,831,41,445,0,0,159
BEL 41-3671,KI,91,337,16,164,0,0,57
SAM 41-3384,KI,158,764,46,391,0,1,186
SAM 41-3385,KI,151,616,42,328,0,0,135
BEL 41-0658,KI,128,403,22,220,0,0,70
BEL 41-0305,KI,123,484,20,218,0,0,75
BEL 41-0011,KI,67,346,15,117,0,0,35
BEL 41-0017,KI,175,594,20,270,0,0,75
RNT 41-1017,KI,105,370,8,183,0,0,70
BEL 41-0815,KI,91,405,11,155,0,2,51
BEL 41-3695,KI,119,390,10,183,0,0,54
BEL 41-0408,KI,74,212,6,136,0,0,56
BEL 41-2936,KI,170,485,18,264,0,0,76
BEL 41-3291,KI,114,292,15,159,0,0,30
BEL 41-2935,KI,151,526,26,264,0,0,87
BEL 41-3593,KI,112,534,18,182,0,0,52
BEL 41-2447,KI,158,527,18,303,0,0,127
BEL 41-1026,KI,191,652,25,323,0,3,104
ISS 41-2733,KI,268,843,32,462,0,1,161
M-I 41-0792,KI,108,297,14,186,0,0,64
BEL 41-3608,KI,187,714,16,349,0,0,146
M-I 41-0785,KI,172,380,10,243,0,0,61
M-I 41-0793,KI,213,596,31,366,0,0,122
ISS 41-2692,KI,119,382,24,215,0,0,72
SAM 41-3214,KI,127,435,18,241,0,0,96
SAM 41-3215,KI,198,814,25,348,0,0,125
NEW 41-3529,KI,129,569,27,249,0,0,93
NEW 41-3528,KI,94,420,14,182,0,0,74
NEW 41-3681,KI,102,386,24,202,0,0,76
BEL 41-2945,KI,195,548,21,296,0,0,80
BEL 41-2943,KI,255,828,39,434,0,0,140
RNT 41-0995,KI,196,740,26,346,0,1,123
BEL 41-3583,KI,190,675,33,386,0,0,163
RNT 41-0993,KI,169,703,34,321,0,1,117
RNT 41-1010,KI,122,416,8,219,0,0,89
BEL 41-0129,KI,95,316,5,148,0,0,48
BEL 41-2782,KI,51,183,3,81,0,0,27
BEL 41-1235,KI,110,334,12,180,0,0,58
BEL 41-0124,KI,201,505,25,308,0,2,80
BEL 41-3225,KI,147,539,27,245,0,1,70
BEL 41-0733,KI,205,718,27,315,0,1,82
BEL 41-0121,KI,143,501,14,231,0,2,72
BEL 41-3226,KI,165,531,23,278,0,1,89
SAM 41-1130,KI,155,651,20,283,0,0,108
BEL 41-0128,KI,174,494,24,295,0,0,97
SAM 41-2690,KI,138,526,21,271,0,2,110
M-I 41-2445,KI,184,496,21,292,0,0,87
SAM 41-3508,KI,168,685,35,337,0,2,132
NEW 41-0840,KI,161,684,27,337,0,0,149
SAM 41-0307,KI,147,525,15,291,0,1,128
M-I 41-2691,KI,138,516,13,202,0,2,49
SAM 41-3506,KI,141,455,22,234,0,0,71
ISS 41-2401,KI,165,657,39,342,0,0,138
BEL 41-0505,KI,106,279,25,197,0,1,65
M-I 41-0781,KI,97,216,7,140,0,0,36
BEL 41-2428,KI,208,739,29,351,0,0,114
BEL 41-2429,KI,282,836,19,449,0,0,148
BEL 41-2386,KI,102,279,8,169,0,0,59
BEL 41-0333,KI,56,222,9,100,0,0,35
BEL 41-0131,KI,108,417,19,178,0,0,51
COUGAR MTN,KI,3,8,1,8,0,0,4
M-I 41-0782,KI,173,503,16,285,0,1,95
BEL 41-3621,KI,192,525,21,291,0,1,77
BEL 41-2714,KI,214,711,28,372,0,0,130
BEL 41-3330,KI,82,309,10,146,0,0,54
ISS 41-2602,KI,168,817,43,379,0,1,167
BEL 41-2719,KI,169,520,21,289,0,0,99
SAM 41-2937,KI,132,452,19,249,0,1,97
M-I 41-0787,KI,130,333,13,182,0,1,38
SAM 41-2813,KI,167,567,32,337,0,1,137
NEW 41-2811,KI,119,381,16,228,0,0,93
M-I 41-0786,KI,108,255,13,166,0,0,45
MCDIVITT,KI,18,57,2,32,0,0,12
BEL 41-0518,KI,117,266,5,172,0,0,50
ISS 41-3533,KI,149,507,16,254,0,0,89
M-I 41-0788,KI,154,372,15,234,0,0,65
BEL 41-0101,KI,187,502,17,272,0,0,68
BEL 41-0103,KI,171,535,20,310,0,0,119
BEL 41-0102,KI,158,464,18,268,0,0,92
BEL 41-0106,KI,124,457,13,229,0,0,92
BEL 41-0109,KI,86,325,11,139,0,0,42
BEL 41-0108,KI,135,440,17,230,0,0,78
BEL 41-2812,KI,104,350,13,180,0,0,63
BEL 41-1052,KI,153,462,15,257,0,0,89
NEW 41-1115,KI,179,633,21,340,0,1,139
BEL 41-0220,KI,147,420,19,262,0,0,96
M-I 41-0780,KI,141,389,18,226,0,0,67
ISS 41-2605,KI,128,434,16,240,0,0,96
BEL 41-2554,KI,195,645,50,343,0,0,98
M-I 41-0784,KI,174,411,10,246,0,0,62
BEL 41-2556,KI,167,656,24,378,0,0,187
ISS 41-2977,KI,83,397,5,137,0,0,49
M-I 41-0789,KI,246,607,22,391,0,1,122
BEL 41-0180,KI,115,325,14,173,0,0,44
SAM 41-2942,KI,186,726,43,385,0,0,156
SAM 41-2940,KI,82,243,15,136,0,0,39
