Row Label,County,Mary E. Fairhurst
PRECINCT 107,DG,119
PRECINCT 106,DG,126
PRECINCT 105,DG,98
PRECINCT 104,DG,335
PRECINCT 103,DG,63
PRECINCT 102,DG,278
PRECINCT 101,DG,150
PRECINCT 109,DG,101
PRECINCT 108,DG,134
PRECINCT 305,DG,116
PRECINCT 304,DG,35
PRECINCT 307,DG,35
PRECINCT 306,DG,121
PRECINCT 208,DG,125
PRECINCT 209,DG,223
PRECINCT 303,DG,146
PRECINCT 302,DG,240
PRECINCT 204,DG,223
PRECINCT 205,DG,276
PRECINCT 206,DG,122
PRECINCT 207,DG,252
PRECINCT 309,DG,57
PRECINCT 201,DG,163
PRECINCT 202,DG,66
PRECINCT 203,DG,202
PRECINCT 311,DG,87
PRECINCT 310,DG,86
PRECINCT 316,DG,211
PRECINCT 308,DG,30
PRECINCT 314,DG,38
PRECINCT 315,DG,234
PRECINCT 114,DG,116
PRECINCT 110,DG,198
PRECINCT 111,DG,238
PRECINCT 112,DG,158
PRECINCT 113,DG,154
PRECINCT 318,DG,62
PRECINCT 312,DG,127
PRECINCT 313,DG,37
PRECINCT 215,DG,194
PRECINCT 214,DG,53
PRECINCT 213,DG,115
PRECINCT 212,DG,139
PRECINCT 211,DG,56
PRECINCT 210,DG,82
PRECINCT 317,DG,313
PRECINCT 301,DG,295
Total,DG,6829
