Row Label,County,Michele Jaderlund,Jacob Taylor
Ephrata 7 012,GR,218,88
Hartline Rural S 020,GR,8,11
Moses Lake 5 029,GR,146,107
Ephrata 9 013,GR,347,150
Beverly 002,GR,19,7
East Wahluke 061,GR,36,39
Royal City 044,GR,97,15
Moses Lake 2 067,GR,125,113
Marlin 024,GR,11,7
Lakeview Park 021,GR,146,121
Moses Lake 9  068,GR,177,127
Coulee City 005,GR,88,90
North Banks Lake 037,GR,22,33
Ephrata Rural E,GR,174,101
Moses Lake 7 033,GR,215,156
George 015,GR,23,15
Mae 023,GR,410,298
Ruff 045,GR,18,23
Cascade Valley 058,GR,295,181
Wilson Crk Rural 056,GR,18,8
Electric City 007,GR,114,134
Coulee Cty Rur N 072,GR,28,28
Moses Lake 1 066,GR,131,72
Smyrna 2 060,GR,17,5
Hartline 019,GR,26,22
Moses Lake 4 031,GR,174,97
Cascade Fairgrnd 004,GR,119,95
Warden 050,GR,90,73
Ephrata 5 008,GR,151,112
Quincy 4 040,GR,73,55
Ephrata 4 011,GR,274,117
Quincy 1 039,GR,106,117
Stratford 049,GR,14,28
Westslope 1 053,GR,68,27
McConihe 1 028,GR,87,67
Marlin Rural 025,GR,21,9
Coulee Cty Rur W 006,GR,39,36
Coulee Cty Rur E 062,GR,11,9
Moses Lake 6 032,GR,264,162
Wheeler 2 070,GR,307,228
Longview 022,GR,210,130
Greenfield 065,GR,43,12
Mattawa Rural 027,GR,184,187
Airport 2 057,GR,105,74
Soap Lake 1 047,GR,83,78
Airport 1 001,GR,111,109
Grand Coulee 018,GR,122,86
Moses Lake 12 036,GR,164,148
Gloyd 017,GR,135,117
Hartline Rural N 073,GR,14,15
Smyrna 1 046,GR,86,25
Westslope 2 059,GR,61,19
Moses Lake 3 030,GR,253,188
Mattawa 026,GR,22,18
O Sullivan Dam 2 069,GR,365,213
Soap Lake 2 052,GR,82,79
Quincy Rural S 064,GR,276,182
Ephrata Rural ,GR,176,85
Ephrata 3 010,GR,136,93
Wheeler 1 054,GR,115,87
Warden Rural 051,GR,189,146
George Rural 016,GR,280,170
McConihe 2 063,GR,92,54
Quincy 6 041,GR,223,166
Block 71 003,GR,333,184
Wilson Creek 055,GR,29,35
Quincy Rural N 042,GR,109,73
Moses Lake 8 034,GR,254,211
O Sullivan Dam 1 038,GR,272,146
Soap Lake Rur E ,GR,55,32
Royal Camp 043,GR,282,125
Total,GR,10276,6924
Soap Lake Rur W ,GR,168,147
Ephrata 2 009,GR,213,122
Moses Lake 11 035,GR,327,185
