Row Label,County,Chris Reykdal,Steve Owens
Plainview,TH,360,191
Woodland,TH,175,150
Olympia 10,TH,327,35
Delta(*),TH,0,0
Olympia 12,TH,98,67
Olympia 13,TH,283,45
Olympia 14,TH,228,50
Olympia 15,TH,221,41
Olympia 16,TH,38,14
Olympia 17,TH,126,80
Olympia 18,TH,259,47
Olympia 19,TH,198,65
Henderson,TH,246,236
French,TH,274,107
Tumwater 11,TH,259,228
Lacey 10,TH,258,120
Libby,TH,191,109
Tumwater 13,TH,87,49
Tolmie,TH,58,79
Quince(*),TH,0,0
Tumwater 15,TH,248,160
Tumwater 10,TH,243,159
Lacey 14,TH,64,46
Olympia 07,TH,131,38
Olympia 06,TH,338,179
Olympia 05,TH,239,37
Olympia 04,TH,204,62
Olympia 03,TH,228,82
Olympia 02,TH,219,75
Olympia 01,TH,219,69
Lacey 27,TH,164,110
Lacey 28,TH,99,104
Lacey 29,TH,203,127
Olympia 09,TH,379,172
Olympia 08,TH,223,109
Puget,TH,204,249
Olympia 11,TH,253,31
Broadway,TH,299,148
Johnson Point,TH,253,208
Sleater Kinney,TH,152,150
Long Lake,TH,51,42
Lacey 33,TH,105,58
Lacey 32,TH,176,156
Lacey 31,TH,120,122
Lacey 30,TH,229,214
Lacey 37,TH,65,26
Lacey 36,TH,85,115
Lacey 35,TH,72,46
Lacey 23,TH,72,66
Luhr Beach,TH,190,225
Lacey 39,TH,287,186
Simmons 2(*),TH,0,0
Lacey 45,TH,96,58
Butler Cove,TH,200,119
Freedom,TH,233,193
Lacey 06,TH,53,55
Lacey 07,TH,146,102
Lacey 04,TH,87,70
Lacey 05,TH,112,91
Lacey 02,TH,135,78
Lacey 03,TH,145,135
Lacey 01,TH,74,52
Olympia 50,TH,211,42
Tumwater 28,TH,255,214
Friendly Grove,TH,113,105
Lacey 09,TH,87,55
Olympia 60,TH,132,66
Woodard Creek,TH,169,142
Airport,TH,13,14
Tumwater 14,TH,94,64
Tumwater 27,TH,203,132
Kinwood,TH,155,131
Lacey 19,TH,113,92
Lacey 18,TH,187,153
Simmons 9,TH,4,2
Lacey 11,TH,203,81
Simmons 4,TH,9,9
Lacey 13,TH,106,53
Tumwater 12,TH,222,95
Lacey 15,TH,165,133
Gull Harbor,TH,157,81
Simmons 3,TH,9,9
Lacey 16,TH,194,76
Smith Lake,TH,186,155
Pattison,TH,188,161
Olympia 54,TH,178,33
Olympia 55,TH,116,61
Olympia 56,TH,182,103
Olympia 57,TH,119,49
Tykle Cove,TH,213,152
Olympia 51,TH,42,34
Olympia 52,TH,144,29
Olympia 53,TH,173,103
Olympia 58,TH,190,113
Olympia 59,TH,202,74
Lacey 08,TH,116,76
Beach Crest,TH,156,115
Ames,TH,203,98
Jones Beach,TH,112,98
Pleasant Glade,TH,132,78
Tumwater 08,TH,260,110
Tumwater 09,TH,128,101
Tumwater 06,TH,324,205
Tumwater 07,TH,162,114
Tumwater 04,TH,125,76
Tumwater 05,TH,159,85
Tumwater 02,TH,225,78
Tumwater 03,TH,231,128
Roosevelt,TH,248,180
Tumwater 01,TH,156,82
Olympia 49,TH,294,43
Olympia 48,TH,252,154
Olympia 43,TH,304,79
Olympia 42,TH,182,40
Olympia 41,TH,289,51
Olympia 40,TH,217,51
Olympia 47,TH,280,101
Olympia 46,TH,186,116
Olympia 45,TH,130,59
Olympia 44,TH,149,16
Holmes,TH,170,135
Lacey 17,TH,150,153
College,TH,48,9
Bigelow,TH,205,110
Kaiser(*),TH,0,0
Bush Prairie,TH,51,33
South Bay,TH,213,215
Lacey 34,TH,84,78
Tumwater 24,TH,132,109
Cooper Point,TH,207,152
Olympia 36,TH,89,30
Glen Terra,TH,63,46
Olympia 38,TH,54,25
Olympia 39,TH,233,92
Mckinley,TH,74,49
Olympia 37,TH,150,68
Olympia 35,TH,407,186
Olympia 32,TH,257,141
Olympia 30,TH,226,47
Olympia 31,TH,167,122
Zangle,TH,210,117
Fish Trap,TH,175,112
Sunset Beach,TH,302,124
Lacey 42,TH,61,44
Lacey 43,TH,159,214
Lacey 40,TH,189,187
Lacey 41,TH,149,148
Lacey 46,TH,358,354
Lacey 47,TH,291,232
Lacey 44,TH,74,56
Hicks,TH,40,20
Lacey 48,TH,102,121
Lacey 49,TH,109,79
Boston Harbor,TH,314,94
Olympia 29,TH,237,132
Olympia 28,TH,292,56
Olympia 25,TH,179,67
Olympia 24,TH,244,51
Olympia 27,TH,104,42
Olympia 26,TH,249,44
Olympia 21,TH,370,77
Olympia 20,TH,147,20
Olympia 23,TH,307,70
Lacey 20,TH,72,50
Hawk Acres,TH,119,117
Lacey 21,TH,86,68
Lacey 22,TH,135,68
Glenwood,TH,80,48
Lacey 24,TH,190,229
Total,TH,28977,16286
