Row Label,County,Steve Kirby
29-672,PI,192
29-661,PI,277
29-639,PI,305
29-638,PI,171
29-653,PI,333
29-620,PI,193
29-651,PI,379
29-650,PI,313
29-657,PI,5
29-656,PI,296
29-655,PI,146
29-654,PI,375
29-652,PI,38
29-659,PI,188
29-658,PI,303
29-675,PI,315
29-635,PI,91
29-678,PI,242
29-637,PI,286
29-633,PI,31
29-619,PI,309
29-618,PI,281
29-617,PI,315
29-616,PI,319
29-615,PI,390
29-614,PI,379
29-613,PI,362
29-612,PI,177
29-611,PI,71
29-610,PI,332
29-674,PI,117
29-679,PI,243
29-668,PI,252
29-670,PI,360
29-627,PI,0
29-636,PI,395
29-624,PI,0
29-625,PI,7
29-640,PI,321
29-641,PI,330
29-642,PI,334
29-643,PI,30
29-680,PI,259
29-622,PI,258
29-682,PI,314
29-677,PI,333
29-648,PI,7
29-649,PI,102
29-623,PI,72
29-626,PI,9
29-601,PI,286
29-602,PI,253
29-603,PI,323
29-604,PI,331
29-605,PI,261
29-606,PI,354
29-607,PI,434
29-608,PI,294
29-609,PI,239
29-660,PI,406
29-621,PI,1
29-667,PI,347
29-664,PI,326
29-662,PI,0
29-671,PI,276
29-663,PI,296
29-676,PI,303
29-683,PI,324
Total,PI,16925
29-673,PI,364
29-669,PI,350
