Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Cathy Dahlquist,Pam Roach
NEUWAUKUM,KI,356,8,199,0,2,66,123
ENM 31-3248,KI,732,28,442,0,5,206,203
FALCON,KI,456,22,288,0,3,126,137
CHINOOK,KI,671,27,357,0,0,152,178
WYNOCHE,KI,397,14,257,0,0,118,125
GREEN VALLEY,KI,370,13,223,0,0,100,110
AUB 31-3299,KI,248,3,155,0,0,61,91
HANSEN,KI,505,20,308,0,2,131,155
ENM 31-0413,KI,655,18,363,0,2,199,144
ENM 31-0411,KI,765,19,410,0,1,222,168
AUB 31-0078,KI,404,25,193,0,5,92,71
ENM 31-0417,KI,249,6,143,0,1,74,62
AUB 31-0058,KI,290,10,172,0,4,78,80
ENM 31-0415,KI,259,3,142,0,0,61,78
SIERRA,KI,690,19,373,0,2,196,156
AUB 31-0054,KI,527,11,214,0,3,84,116
ENM 31-0419,KI,480,9,231,0,2,91,129
AUB 31-0070,KI,655,14,267,0,2,117,134
AUB 31-3335,KI,732,18,351,0,4,181,148
AUB 31-0050,KI,421,16,188,0,3,90,79
ENM 31-0416,KI,695,26,402,0,4,210,162
LINCOLN,KI,312,9,168,0,0,73,86
ENM 31-0410,KI,644,13,297,0,2,146,136
WHITE RIVER,KI,597,15,337,0,6,153,163
ENM 31-0418,KI,565,16,322,0,1,161,144
OSCEOLA,KI,557,6,336,0,4,165,161
WABASH,KI,320,6,189,0,0,91,92
DIAMOND,KI,227,11,120,0,1,45,63
AUB 31-0082,KI,403,11,203,0,5,85,102
AUB 31-0083,KI,487,13,229,0,0,109,107
AUB 31-0080,KI,830,23,414,0,3,168,220
AUB 31-0081,KI,457,12,199,0,1,72,114
ENM 31-3247,KI,682,17,323,0,1,168,137
ENM 31-3246,KI,264,7,127,0,3,56,61
AUB 31-0048,KI,210,7,78,0,0,32,39
AUB 31-3405,KI,662,16,322,0,2,153,151
ENM 31-3492,KI,333,9,164,0,1,85,69
MADISON,KI,305,4,157,0,0,66,87
AUB 31-0049,KI,450,20,195,0,7,93,75
AUB 31-0051,KI,530,14,166,0,1,59,92
HOLM LAKE,KI,710,33,415,0,2,145,235
AUB 31-0042,KI,509,17,240,0,3,100,120
AUB 31-0069,KI,314,10,159,0,0,75,74
AUB 31-0047,KI,574,18,264,0,4,124,118
MONEYSMITH,KI,669,19,390,0,2,136,233
BRINN,KI,848,34,513,1,2,186,290
ENM 31-0409,KI,379,18,196,0,0,104,74
AUB 31-0062,KI,660,15,332,0,6,150,161
AUB 31-0063,KI,279,6,130,0,2,65,57
AUB 31-0064,KI,408,6,125,0,1,48,70
AUB 31-0065,KI,288,6,125,0,2,62,55
MUCKLESHOOT,KI,395,2,54,0,1,21,30
