Row Label,County,Mary Yu
CLARKSTON #2,AS,180
SWALLOWS NEST,AS,325
WEST CLARKSTON #1,AS,213
WEST CLARKSTON #2,AS,215
WEST CLARKSTON #3,AS,250
ASOTIN #1,AS,160
ASOTIN #2,AS,163
SOUTH CLARKSTON #1,AS,191
SOUTH CLARKSTON #2,AS,248
W ASOTIN,AS,130
CLARKSTON #6,AS,192
CLARKSTON #7,AS,122
RURAL ASOTIN,AS,112
CLARKSTON #4,AS,191
Total,AS,5377
ANATONE,AS,98
CLARKSTON #3,AS,156
CLARKSTON HTS #4,AS,228
CLARKSTON #8,AS,171
CLARKSTON HTS #3,AS,91
CLARKSTON HTS #2,AS,406
CLARKSTON HTS #1,AS,232
CLARKSTON #5,AS,117
CLARKSTON HTS #7,AS,288
CLARKSTON HTS #6,AS,361
CLARKSTON HTS #5,AS,396
CLARKSTON #1,AS,141
