Row Label,County,Brian Blake,Hugh Fleet
Aberdeen 111,GY,388,159
Aberdeen 131,GY,467,182
Lois Lane 082,GY,70,39
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Johns River 094,GY,226,51
Melbourne 072,GY,202,113
Grayland 096,GY,178,118
Blockhouse 068,GY,154,145
Oakville 701,GY,65,93
Cohasset 098,GY,113,69
Chehalis 066,GY,4,2
Delezenne 070,GY,197,147
Westport 901,GY,341,210
Montesano 601,GY,483,191
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,398,134
Aberdeen 121,GY,361,131
Lund 088,GY,50,23
Aberdeen 141,GY,394,149
Blue Slough 084(*),GY,0,0
Aberdeen 142,GY,287,128
Devonshire 074,GY,175,88
Aberdeen 161,GY,362,148
Vesta 076,GY,40,30
Artic 078,GY,36,24
Montesano 602,GY,455,192
Aberdeen 151,GY,205,110
Central Park 080,GY,406,166
Newskah 090,GY,14,3
Total,GY,6194,2910
