Row Label,County,Gerald F. &quot;Jerry&quot; Roach
Pct 008,FR,179
Pct 009,FR,66
Pct 002,FR,103
Pct 003,FR,49
Pct 001,FR,181
Pct 006,FR,90
Pct 007,FR,92
Pct 004,FR,77
Pct 005,FR,62
Pct 082,FR,84
Pct 083,FR,77
Pct 080,FR,234
Pct 081,FR,63
Pct 086,FR,63
Pct 087,FR,52
Pct 084,FR,39
Pct 085,FR,35
Pct 088,FR,30
Pct 089,FR,100
Pct 079,FR,90
Pct 078,FR,66
Pct 077,FR,49
Pct 076,FR,75
Pct 075,FR,40
Pct 074,FR,182
Pct 073,FR,223
Pct 072,FR,109
Pct 071,FR,136
Pct 070,FR,53
Pct 101,FR,93
Pct 100,FR,80
Pct 068,FR,12
Pct 069,FR,32
Pct 064,FR,166
Pct 065,FR,81
Pct 066,FR,220
Pct 067,FR,165
Pct 060,FR,87
Pct 061,FR,225
Pct 062,FR,273
Pct 063,FR,168
Pct 059,FR,254
Pct 058,FR,20
Pct 051,FR,194
Pct 050,FR,199
Pct 053,FR,144
Pct 052,FR,45
Pct 055,FR,258
Pct 054,FR,82
Pct 057,FR,158
Pct 056,FR,140
Pct 046,FR,233
Pct 047,FR,25
Pct 044,FR,146
Pct 045,FR,202
Pct 042,FR,131
Pct 043,FR,138
Pct 040,FR,164
Pct 041,FR,94
Pct 048,FR,188
Pct 049,FR,215
Pct 033,FR,133
Pct 032,FR,327
Pct 031,FR,60
Pct 030,FR,52
Pct 037,FR,241
Pct 036,FR,245
Pct 035,FR,96
Pct 034,FR,203
Pct 039,FR,177
Pct 038,FR,161
Pct 020,FR,52
Pct 021,FR,36
Pct 022,FR,147
Pct 023,FR,251
Pct 024,FR,129
Pct 025,FR,49
Pct 026,FR,104
Pct 027,FR,68
Pct 028,FR,74
Pct 029,FR,82
Pct 019,FR,142
Pct 018,FR,55
Pct 015,FR,110
Pct 014,FR,82
Pct 017,FR,110
Pct 016,FR,17
Pct 011,FR,92
Pct 010,FR,112
Pct 013,FR,61
Pct 012,FR,69
Pct 095,FR,53
Pct 094,FR,0
Pct 097,FR,38
Pct 096,FR,64
Pct 091,FR,11
Pct 090,FR,132
Pct 093,FR,121
Pct 092,FR,109
Total,FR,11442
Pct 099,FR,25
Pct 098,FR,21
