Row Label,County,Stephen M. Brown
COLUMBUS,KT,29
N DALLES,KT,251
ROOSEVELT,KT,48
GLENWOOD,KT,179
HGH PRAIRIE,KT,33
LYLE,KT,260
F VALLEY,KT,236
BINGEN,KT,88
WISHRAM,KT,65
WHITE SALMON,KT,260
ALDER CREEK,KT,105
ALDERDALE,KT,30
N WHITE SALMON,KT,149
PINE FOREST,KT,460
GOLDENDALE 3,KT,206
ORCHARD HTS,KT,146
GOLDENDALE 1,KT,302
N F VALLEY,KT,262
E LYLE,KT,81
E KLICKITAT,KT,74
W KLICKITAT,KT,53
HUSUM,KT,202
TROUT LAKE,KT,182
RIVER,KT,18
CENTERVILLE,KT,183
WOODLAND,KT,510
GOLDENDALE 2,KT,276
MT BROOK,KT,183
Total,KT,4936
APPLETON,KT,65
