Row Label,County,Mark S. Nelson,Darren Ullmann
Memorial,CZ,162,124
Windemere,CZ,359,316
Modrow,CZ,216,190
Ostrander,CZ,240,251
Baltimore,CZ,251,200
Magnolia,CZ,475,275
Hudson,CZ,321,173
Lake,CZ,240,173
Douglas,CZ,184,130
Kessler,CZ,350,226
St. Helens,CZ,113,110
Woodage,CZ,157,201
Arkansas,CZ,104,109
Olson,CZ,167,154
Woodland South,CZ,237,300
Tunstall,CZ,71,124
Brynion,CZ,189,189
Marigold,CZ,369,235
Crawford,CZ,188,260
Chinook,CZ,240,316
Ridgecrest,CZ,17,21
Cloverdale,CZ,166,202
Elk Ridge,CZ,2,2
Woodland North,CZ,236,404
West Kelso,CZ,67,47
Ponderosa,CZ,223,189
Owl Creek,CZ,308,342
Willow Grove,CZ,87,59
Robbins,CZ,358,272
Powell,CZ,231,212
Ocean Beach,CZ,261,208
Sparks,CZ,116,182
Beacon,CZ,344,301
Harris,CZ,210,224
Delameter,CZ,258,165
Ryderwood,CZ,103,109
Redpath,CZ,209,148
Nevada,CZ,256,168
Sandy Bend,CZ,240,235
Mint Valley,CZ,417,280
Burcham,CZ,326,448
Columbia Valley Gdns,CZ,212,140
Lexington,CZ,193,207
Rose Valley,CZ,180,161
Mt. Solo,CZ,72,71
Haussler,CZ,161,162
Silver Lake,CZ,377,378
Ammons,CZ,186,166
Kalama North,CZ,204,164
Yale,CZ,137,232
Bakers,CZ,9,13
Sacajawea,CZ,534,331
Alabama,CZ,167,108
Kalama South,CZ,251,237
Mill,CZ,300,244
Caples,CZ,85,115
Lone Oak,CZ,180,116
Lewis River,CZ,264,396
Industrial,CZ,0,0
Castle Rock,CZ,334,270
Stella,CZ,251,208
Toutle,CZ,269,286
Tower,CZ,385,307
Columbia Heights,CZ,157,132
Pacific,CZ,307,201
McGowan,CZ,60,45
Hillcrest,CZ,493,315
Boondox,CZ,6,12
View,CZ,169,158
Coal Creek,CZ,370,311
Laurel,CZ,359,247
Carrolls,CZ,234,267
Total,CZ,15974,14274
