Row Label,County,Shawn P. Sant
Pct 008,FR,170
Pct 009,FR,58
Pct 002,FR,92
Pct 003,FR,45
Pct 001,FR,174
Pct 006,FR,91
Pct 007,FR,86
Pct 004,FR,69
Pct 005,FR,61
Pct 082,FR,93
Pct 083,FR,80
Pct 080,FR,242
Pct 081,FR,66
Pct 086,FR,68
Pct 087,FR,55
Pct 084,FR,40
Pct 085,FR,37
Pct 088,FR,36
Pct 089,FR,102
Pct 079,FR,100
Pct 078,FR,71
Pct 077,FR,49
Pct 076,FR,78
Pct 075,FR,39
Pct 074,FR,192
Pct 073,FR,220
Pct 072,FR,117
Pct 071,FR,136
Pct 070,FR,47
Pct 101,FR,98
Pct 100,FR,86
Pct 068,FR,11
Pct 069,FR,29
Pct 064,FR,164
Pct 065,FR,78
Pct 066,FR,222
Pct 067,FR,166
Pct 060,FR,73
Pct 061,FR,231
Pct 062,FR,283
Pct 063,FR,170
Pct 059,FR,244
Pct 058,FR,18
Pct 051,FR,197
Pct 050,FR,205
Pct 053,FR,154
Pct 052,FR,48
Pct 055,FR,266
Pct 054,FR,83
Pct 057,FR,157
Pct 056,FR,142
Pct 046,FR,247
Pct 047,FR,23
Pct 044,FR,152
Pct 045,FR,218
Pct 042,FR,130
Pct 043,FR,144
Pct 040,FR,168
Pct 041,FR,103
Pct 048,FR,194
Pct 049,FR,205
Pct 033,FR,133
Pct 032,FR,330
Pct 031,FR,58
Pct 030,FR,51
Pct 037,FR,249
Pct 036,FR,229
Pct 035,FR,95
Pct 034,FR,206
Pct 039,FR,178
Pct 038,FR,159
Pct 020,FR,59
Pct 021,FR,39
Pct 022,FR,149
Pct 023,FR,256
Pct 024,FR,127
Pct 025,FR,50
Pct 026,FR,105
Pct 027,FR,70
Pct 028,FR,65
Pct 029,FR,81
Pct 019,FR,142
Pct 018,FR,51
Pct 015,FR,104
Pct 014,FR,80
Pct 017,FR,108
Pct 016,FR,16
Pct 011,FR,90
Pct 010,FR,110
Pct 013,FR,62
Pct 012,FR,66
Pct 095,FR,58
Pct 094,FR,0
Pct 097,FR,40
Pct 096,FR,67
Pct 091,FR,11
Pct 090,FR,134
Pct 093,FR,133
Pct 092,FR,114
Total,FR,11545
Pct 099,FR,27
Pct 098,FR,20
