Row Label,County,No,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Yes
SEA 37-1629,KI,156,527,22,221,0,43
SEA 46-2344,KI,246,760,8,329,0,75
SEA 46-2311,KI,219,451,7,256,0,30
SEA 34-3648,KI,175,470,8,240,0,57
SEA 46-1968,KI,141,297,9,177,0,27
SEA 36-1391,KI,205,439,8,262,0,49
SEA 36-1390,KI,131,290,13,191,2,45
SEA 36-1393,KI,166,297,7,209,0,36
SEA 36-1392,KI,190,411,16,255,0,49
SEA 36-1395,KI,218,444,6,276,0,52
SEA 36-1394,KI,256,559,11,336,0,69
SEA 36-1397,KI,187,357,15,233,0,31
SEA 36-1396,KI,137,282,5,166,0,24
SEA 36-1399,KI,154,296,7,205,0,44
SEA 36-1816,KI,131,303,7,172,0,34
SEA 46-3687,KI,129,220,1,143,0,13
SEA 43-2017,KI,215,430,13,267,0,39
SEA 37-3416,KI,73,502,4,134,0,57
SEA 36-1403,KI,161,497,19,234,0,54
SEA 36-1402,KI,159,381,15,206,0,32
SEA 43-2013,KI,185,310,11,216,0,20
SEA 43-2011,KI,161,278,8,189,0,20
SEA 46-2353,KI,127,488,7,199,0,65
SEA 46-2096,KI,133,230,5,162,0,24
SEA 43-2018,KI,296,559,18,363,0,49
SEA 34-3637,KI,216,567,14,309,0,79
SEA 46-2097,KI,217,400,15,257,0,25
SEA 34-3632,KI,65,271,2,99,0,32
SEA 46-2276,KI,204,382,15,250,0,31
SEA 43-1351,KI,249,561,16,315,0,50
SEA 37-1936,KI,182,296,6,222,0,34
SEA 43-1353,KI,208,449,9,260,0,43
SEA 43-1352,KI,241,608,16,322,0,65
SEA 43-1355,KI,191,401,19,244,0,34
SEA 43-1354,KI,180,435,6,240,0,54
SEA 43-1357,KI,135,355,8,192,0,49
SEA 43-2049,KI,150,453,12,208,0,46
SEA 43-1359,KI,224,518,11,291,0,56
SEA 43-1358,KI,184,418,9,224,0,31
SEA 37-1934,KI,354,784,21,472,0,97
SEA 37-1935,KI,166,291,2,204,0,36
SEA 37-3647,KI,88,447,9,146,0,49
SEA 43-2059,KI,208,424,8,252,0,36
SEA 37-3159,KI,276,845,17,383,0,90
SEA 46-2271,KI,268,476,11,319,0,40
SEA 46-2347,KI,214,519,7,281,0,60
SEA 46-1952,KI,157,281,11,179,0,11
SEA 46-1953,KI,151,236,11,175,0,13
SEA 46-1954,KI,172,282,8,203,0,23
SEA 37-1638,KI,97,505,14,162,0,51
SEA 36-1308,KI,163,298,2,193,0,28
SEA 36-1309,KI,248,556,15,328,0,65
SEA 36-1306,KI,197,381,9,240,0,34
SEA 36-1307,KI,145,276,5,174,0,24
SEA 36-1304,KI,180,333,9,234,0,45
SEA 36-1305,KI,174,301,7,206,0,25
SEA 37-1631,KI,150,301,12,187,0,25
SEA 36-1303,KI,212,411,12,269,0,45
SEA 36-1300,KI,166,383,8,214,0,40
SEA 36-1301,KI,177,319,11,218,0,30
SEA 36-1715,KI,127,355,10,172,0,35
SEA 36-1714,KI,242,526,12,321,0,67
SEA 36-1717,KI,88,251,9,134,0,37
SEA 36-1716,KI,147,357,6,177,0,24
SEA 36-1711,KI,260,760,15,379,0,104
SEA 36-1710,KI,119,351,4,157,0,34
SEA 36-1713,KI,133,362,5,176,0,38
SEA 36-1712,KI,204,463,11,269,0,54
SEA 36-2147,KI,277,489,8,338,0,53
SEA 36-1719,KI,212,510,18,299,0,69
SEA 36-1718,KI,107,318,8,155,0,40
SEA 37-1834,KI,147,386,7,188,0,34
SEA 46-1404,KI,161,441,15,217,0,41
SEA 46-2371,KI,279,656,14,371,0,78
SEA 34-3263,KI,148,415,4,194,0,42
SEA 34-3265,KI,120,353,7,168,0,41
SEA 34-3264,KI,133,340,9,180,0,38
SEA 34-3266,KI,90,311,1,117,0,26
SEA 46-2285,KI,169,286,10,211,0,32
SEA 11-1928,KI,112,298,7,145,0,26
SEA 43-2850,KI,147,359,8,182,0,27
SEA 37-1938,KI,204,394,10,247,0,33
SEA 46-2283,KI,166,348,13,214,0,35
SEA 36-1398,KI,202,503,13,265,0,50
SEA 46-2326,KI,198,574,18,271,0,55
SEA 46-2327,KI,122,381,17,190,0,51
SEA 46-2324,KI,177,432,13,237,0,47
SEA 43-2047,KI,333,662,19,403,0,51
SEA 46-2289,KI,154,338,12,203,0,37
SEA 46-2323,KI,227,554,16,310,0,67
SEA 46-2320,KI,183,350,9,222,0,30
SEA 46-2321,KI,174,333,5,225,0,46
SEA 37-3694,KI,30,92,5,44,0,9
SEA 43-1368,KI,142,292,9,184,0,33
SEA 34-1461,KI,195,399,6,268,0,67
SEA 36-1273,KI,150,279,18,201,0,33
SEA 34-1508,KI,144,295,9,182,0,29
SEA 34-1509,KI,131,281,7,177,0,39
SEA 34-1465,KI,180,372,19,251,0,52
SEA 34-1464,KI,175,359,9,245,0,61
SEA 34-1467,KI,258,551,16,339,0,65
SEA 34-1466,KI,116,303,9,179,0,54
SEA 34-1502,KI,185,342,7,223,0,31
SEA 34-1468,KI,195,448,9,256,0,52
SEA 34-1500,KI,233,584,16,328,0,79
SEA 34-1501,KI,188,369,11,248,0,49
SEA 34-1506,KI,133,299,12,183,0,38
SEA 34-1507,KI,161,357,8,230,0,61
SEA 34-1504,KI,190,418,14,267,0,63
SEA 46-2291,KI,163,387,10,204,0,31
SEA 43-1821,KI,112,233,10,144,0,22
SEA 43-1869,KI,209,465,11,270,0,50
SEA 46-2296,KI,187,391,12,237,0,38
SEA 46-2277,KI,307,568,10,368,1,50
SEA 43-1369,KI,126,285,9,165,0,30
SEA 43-2015,KI,160,333,14,195,0,21
