Row Label,County,Peter Van Nortwick,Darren S. Wertz
669,CR,366,168
668,CR,336,261
667,CR,292,136
664,CR,315,233
663,CR,176,201
662,CR,342,223
660,CR,298,254
130,CR,275,300
571,CR,354,164
490,CR,297,152
491,CR,29,20
626,CR,322,189
692,CR,350,226
693,CR,180,139
690,CR,359,223
691,CR,309,222
696,CR,414,224
697,CR,417,270
694,CR,95,105
695,CR,356,223
698,CR,376,145
699,CR,318,179
450,CR,442,246
540,CR,465,210
340,CR,299,244
400,CR,162,152
930,CR,361,203
452,CR,319,204
935,CR,385,196
570,CR,363,205
678,CR,248,168
679,CR,201,156
674,CR,284,190
675,CR,260,129
677,CR,371,204
670,CR,321,265
672,CR,260,198
455,CR,257,153
120,CR,288,348
575,CR,125,47
914,CR,373,184
917,CR,226,150
528,CR,377,181
910,CR,281,219
537,CR,136,81
415,CR,236,177
535,CR,492,245
410,CR,343,309
913,CR,394,233
298,CR,204,131
530,CR,165,97
296,CR,208,179
370,CR,238,164
294,CR,221,137
912,CR,250,203
925,CR,336,151
290,CR,331,201
538,CR,227,72
591,CR,533,262
590,CR,485,258
593,CR,428,202
592,CR,466,265
595,CR,224,123
594,CR,11,8
597,CR,61,14
200,CR,254,305
598,CR,14,4
629,CR,283,208
700,CR,69,30
190,CR,327,272
969,CR,172,144
390,CR,355,286
110,CR,261,327
113,CR,142,148
112,CR,31,23
250,CR,352,273
536,CR,232,115
628,CR,300,267
524,CR,41,29
525,CR,235,147
527,CR,333,163
520,CR,210,125
521,CR,5,7
420,CR,312,215
423,CR,220,191
255,CR,301,224
425,CR,260,159
424,CR,374,224
360,CR,316,266
426,CR,454,267
586,CR,301,165
587,CR,325,151
449,CR,467,281
448,CR,434,247
582,CR,304,137
583,CR,314,138
580,CR,254,145
581,CR,170,99
441,CR,316,235
440,CR,326,252
447,CR,460,243
446,CR,378,153
445,CR,425,269
444,CR,416,298
245,CR,417,190
920,CR,302,167
108,CR,281,257
240,CR,462,236
102,CR,262,184
100,CR,279,316
615,CR,195,82
106,CR,255,242
649,CR,281,184
104,CR,319,247
903,CR,298,247
900,CR,321,194
905,CR,381,206
641,CR,128,95
640,CR,294,239
643,CR,287,201
642,CR,175,83
645,CR,392,271
644,CR,344,238
647,CR,257,135
646,CR,159,109
436,CR,198,122
510,CR,245,151
434,CR,266,135
435,CR,261,152
515,CR,427,229
430,CR,217,168
588,CR,205,104
579,CR,14,6
578,CR,32,23
627,CR,320,221
338,CR,309,227
625,CR,390,212
624,CR,81,45
335,CR,225,195
451,CR,330,218
337,CR,270,228
453,CR,303,218
577,CR,544,205
330,CR,314,240
456,CR,499,260
574,CR,13,14
600,CR,218,86
175,CR,191,181
257,CR,270,267
170,CR,194,232
543,CR,409,187
654,CR,230,141
656,CR,167,126
710,CR,129,108
180,CR,188,226
655,CR,257,218
652,CR,253,234
653,CR,238,210
650,CR,294,221
651,CR,227,160
505,CR,435,258
502,CR,298,212
503,CR,262,174
500,CR,382,252
659,CR,320,226
630,CR,217,206
631,CR,346,247
632,CR,178,117
633,CR,269,218
634,CR,280,202
635,CR,246,168
636,CR,281,177
560,CR,405,161
639,CR,251,218
545,CR,280,143
460,CR,473,287
566,CR,219,147
550,CR,466,237
225,CR,464,281
985,CR,248,211
160,CR,194,229
220,CR,189,219
964,CR,396,185
965,CR,375,168
966,CR,277,101
967,CR,243,109
960,CR,423,229
961,CR,60,37
962,CR,299,144
963,CR,257,162
968,CR,295,159
618,CR,430,197
658,CR,314,187
720,CR,271,156
947,CR,286,168
605,CR,427,144
150,CR,154,169
153,CR,216,162
606,CR,76,37
395,CR,86,88
603,CR,280,101
555,CR,431,245
523(*),CR,0,0
553,CR,351,163
584,CR,345,157
681,CR,240,205
959,CR,23,8
958,CR,58,34
951,CR,261,232
950,CR,308,224
953,CR,133,107
957,CR,95,29
638,CR,267,203
327,CR,380,210
585,CR,466,199
325,CR,247,169
620,CR,441,205
147,CR,258,199
522(*),CR,0,0
563,CR,378,219
613,CR,208,71
610,CR,541,242
617,CR,374,183
565,CR,282,178
511,CR,17,14
648,CR,282,173
487,CR,166,109
485,CR,292,140
673,CR,362,242
483,CR,517,281
573,CR,478,220
480,CR,471,312
686,CR,249,153
432,CR,241,158
576,CR,5,2
940,CR,308,218
680,CR,293,175
470,CR,439,277
689,CR,314,247
688,CR,252,217
350,CR,264,190
685,CR,86,66
687,CR,290,202
Total,CR,69260,44261
572,CR,491,214
596(*),CR,0,0
683,CR,294,215
682,CR,261,219
