Row Label,County,William J. Faubion 
02 - GRAYS RIVER,WK,72
07 - COLUMBIA,WK,145
10 - SOUTH CATHLAMET,WK,96
03 - ROSBURG / ALTOONA,WK,87
11 - NORTH CATHLAMET,WK,47
05 - ELOCHOMAN,WK,188
04 - SKAMOKAWA,WK,100
09 - WEST PUGET ISLAND,WK,178
08 - EAST PUGET ISLAND,WK,94
06 - ROSEDALE,WK,100
Total,WK,1165
01 - DEEP RIVER,WK,58
