Row Label,County,Yes,No
LEMOLO 435,KP,271,174
ANNAPOLIS 212,KP,333,345
MEADOWDALE 150,KP,180,212
BELLA VISTA 413,KP,244,198
LIGHTHOUSE POINT 292,KP,296,254
CLEAR CREEK 120,KP,238,220
AUGUSTA 461,KP,211,91
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,188,174
TORVANGER 345,KP,560,127
BREMERTON 012,KP,66,45
BREMERTON 013,KP,216,175
BREMERTON 015,KP,238,232
BREMERTON 016,KP,75,35
WINSLOW 304,KP,779,113
HIGHLAND 423,KP,170,148
LAKE HELENA 214,KP,166,307
DICKENSON 282,KP,227,283
UNIVERSITY POINT 142,KP,217,132
SANDY HOOK 464,KP,251,129
BARKER CREEK 147,KP,313,274
BAYVIEW 087,KP,62,74
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,403,94
EVERGREEN RIDGE 426,KP,109,96
REGAL 131,KP,70,63
COUNTRY CLUB 113,KP,153,140
POULSBO 405,KP,409,143
POULSBO 404,KP,397,186
POULSBO 407,KP,296,146
POULSBO 406,KP,437,225
SEDGWICK 272,KP,275,292
BERRY LAKE 279,KP,161,179
POULSBO 403,KP,298,172
EBBERT 247,KP,259,296
ILLAHEE 065,KP,313,261
COTTONWOOD 125,KP,235,197
MARION 090,KP,51,38
OLYMPIC 099,KP,35,25
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,231,205
STRIEBEL 453,KP,307,249
AZALEA 302,KP,566,77
YUKON 241,KP,213,195
FOREST RIDGE 126,KP,142,162
FAIRVIEW 135,KP,159,151
ANDERSON CREEK 163,KP,237,204
PORT GAMBLE 450,KP,301,224
RAINIER 067,KP,280,277
BRASCH 213,KP,232,296
GAMBLEWOOD 454,KP,210,155
CENTRAL VALLEY 128,KP,306,240
HOLLY 158,KP,68,75
BURLEY 218,KP,222,350
LUOTO 122,KP,110,175
POINT JEFFERSON 419,KP,276,167
BREMERTON 296,KP,0,0
MORKEN 161,KP,377,314
INDIANOLA 420,KP,512,169
TWIN LAKES 285,KP,55,98
BELFAIR VALLEY 280,KP,73,108
KARIOTIS 143,KP,259,237
TRACYTON 170,KP,210,152
ROCKY POINT 083,KP,345,285
HERITAGE PARK 112,KP,183,199
BREMERTON 294,KP,0,0
ORCA 421,KP,236,144
MINTERBROOK 216,KP,83,163
ALASKA 221,KP,345,291
GLENWOOD 232,KP,255,411
MEADOWMEER 321,KP,213,39
APEX 162,KP,300,317
OLALLA 265,KP,172,245
WINSTON 129,KP,129,92
RIDGETOP 149,KP,225,151
EAGLE CREST 164,KP,357,246
LOCKER 246,KP,295,396
BROWNSVILLE 105,KP,322,359
