Row Label,County,John R. Henry
PATAHA,GA,108
PING - VOTE BY MAIL,GA,17
PEOLA-VOTE BY MAIL,GA,11
TUCANNON - VB MAIL,GA,51
WARD 3,GA,159
GROUSE-VOTE BY MAIL,GA,0
WARD 1,GA,80
MAYVIEW-VOTE BY MAIL,GA,30
SCOGGIN - VB MAIL,GA,76
Total,GA,820
WARD 4,GA,104
WARD 2,GA,153
PLEASANT-VB MAIL,GA,31
