Row Label,County,Crista A. Schroder,Darlene R. Johnson
COLUMBUS,KT,25,15
N DALLES,KT,123,227
ROOSEVELT,KT,36,28
GLENWOOD,KT,131,158
HGH PRAIRIE,KT,35,34
LYLE,KT,183,204
F VALLEY,KT,105,238
BINGEN,KT,46,81
WISHRAM,KT,47,35
WHITE SALMON,KT,157,247
ALDER CREEK,KT,109,52
ALDERDALE,KT,14,22
N WHITE SALMON,KT,108,161
PINE FOREST,KT,586,175
GOLDENDALE 3,KT,227,79
ORCHARD HTS,KT,183,53
GOLDENDALE 1,KT,315,117
N F VALLEY,KT,136,267
E LYLE,KT,58,84
E KLICKITAT,KT,52,39
W KLICKITAT,KT,39,34
HUSUM,KT,140,213
TROUT LAKE,KT,183,157
RIVER,KT,10,11
CENTERVILLE,KT,244,78
WOODLAND,KT,566,223
GOLDENDALE 2,KT,273,105
MT BROOK,KT,124,150
Total,KT,4295,3345
APPLETON,KT,40,58
