Row Label,County,Registered Voters,Susan Mahoney,Times Blank Voted,Times Counted,Times Over Voted,Write-in
VASHON,KI,390,97,118,215,0,0
DOLPHIN,KI,275,91,90,183,0,2
FED 30-3372,KI,450,131,95,227,0,1
BUR 34-0377,KI,607,170,115,293,0,8
DES 33-2455,KI,579,121,52,175,0,2
FED 30-3012,KI,301,104,90,194,0,0
WESTWOOD,KI,0,0,0,0,0,0
BUR 34-0465,KI,228,73,59,132,0,0
BUR 34-1047,KI,744,196,157,355,0,2
DES 33-0016,KI,281,98,82,180,0,0
TROUT LAKE,KI,719,204,145,352,0,3
DES 33-1146,KI,591,158,133,299,0,8
BILOXI,KI,430,145,141,287,0,1
SEALTH,KI,378,116,113,229,0,0
DES 33-0362,KI,554,128,79,209,0,2
TUK 11-1165,KI,752,192,146,340,0,2
SET 33-3066,KI,491,102,76,179,0,1
SET 33-3076,KI,623,182,124,310,0,4
SET 33-3081,KI,738,161,106,269,1,1
DES 30-1227,KI,635,209,165,378,0,4
FED 30-3034,KI,359,86,84,171,0,1
BUR 33-0701,KI,722,188,102,291,0,1
FED 30-3036,KI,342,95,51,148,0,2
FED 30-3037,KI,359,134,55,191,0,2
FED 30-3030,KI,361,100,71,175,0,4
BUR 33-0705,KI,701,150,106,260,0,4
FED 30-3032,KI,267,82,49,131,0,0
FED 30-3033,KI,408,132,68,201,0,1
SET 33-3101,KI,366,141,83,228,0,4
FED 30-3238,KI,359,95,51,148,0,2
DES 33-1071,KI,390,104,77,181,0,0
FED 30-3038,KI,198,63,52,115,0,0
FED 30-3039,KI,331,123,58,186,0,5
FED 30-3237,KI,745,210,163,376,0,3
TUK 11-2951,KI,601,129,106,236,0,1
CHAUTAUQUA,KI,416,115,140,259,0,4
BUR 34-0344,KI,420,149,151,301,0,1
ROUNDTABLE,KI,602,121,91,212,0,0
TUK 11-2952,KI,294,78,47,126,0,1
BUR 34-1058,KI,493,169,145,315,0,1
BUR 34-1059,KI,614,193,126,321,0,2
BUR 34-1057,KI,660,221,201,423,0,1
BAKER,KI,599,184,162,347,0,1
FED 30-3055,KI,575,181,98,280,0,1
COVE,KI,545,162,186,350,0,2
BUR 34-0699,KI,823,274,211,489,0,4
BUR 34-1116,KI,387,121,69,192,0,2
FED 30-3085,KI,416,141,114,257,0,2
FED 30-3087,KI,508,153,102,259,0,4
FED 30-3086,KI,526,167,112,279,0,0
BURTON,KI,241,78,85,163,0,0
FED 30-3088,KI,538,158,104,263,0,1
DES 33-0532,KI,271,88,60,148,0,0
TUK 11-2751,KI,273,65,71,136,0,0
TUK 11-3499,KI,245,62,45,109,0,2
FED 30-3008,KI,365,105,57,163,0,1
SET 33-3618,KI,325,85,35,125,0,5
FED 30-3001,KI,622,228,126,357,0,3
FED 30-3000,KI,479,121,73,197,0,3
FED 30-3003,KI,563,162,107,270,0,1
FED 30-3002,KI,690,196,114,314,0,4
BUR 33-0289,KI,412,111,73,188,0,4
FED 30-3004,KI,442,118,68,188,0,2
FED 30-3007,KI,242,83,61,144,0,0
DOLLOFF,KI,412,118,104,223,0,1
TUK 11-2956,KI,460,73,39,112,0,0
FED 30-3574,KI,353,69,47,117,0,1
TUK 11-3393,KI,347,83,36,119,0,0
TUK 11-2949,KI,585,144,79,225,0,2
BERNICE,KI,601,178,61,240,0,1
STAR LAKE,KI,325,104,78,182,0,0
SHAWNEE,KI,426,125,163,291,0,3
BUR 34-1219,KI,530,179,166,345,0,0
SET 33-3069,KI,353,88,80,169,0,1
ILLAHEE,KI,328,132,90,222,0,0
DES 33-3131,KI,266,68,51,119,0,0
FED 30-3005,KI,298,123,78,201,0,0
SET 33-3065,KI,464,109,36,146,0,1
SET 33-3064,KI,468,104,62,167,0,1
SET 33-3063,KI,330,100,72,173,0,1
SET 33-3062,KI,316,99,56,155,0,0
SET 33-3061,KI,340,95,69,166,0,2
DES 30-0954,KI,745,246,167,415,0,2
BUR 34-1104,KI,325,96,89,186,0,1
FED 30-3097,KI,720,243,184,429,0,2
FED 30-3094,KI,595,166,106,277,0,5
FED 30-3095,KI,501,107,65,173,0,1
FED 30-3092,KI,631,137,72,213,0,4
FED 30-3093,KI,612,141,80,221,0,0
FED 30-3090,KI,356,112,85,198,0,1
FED 30-3091,KI,552,238,150,388,0,0
FED 30-3006,KI,466,136,69,207,0,2
FED 30-3098,KI,528,138,113,252,0,1
NPK 33-0853,KI,338,129,114,243,0,0
DES 33-1128,KI,289,94,79,174,0,1
BUR 33-0805,KI,591,186,82,270,0,2
BUR 33-0729,KI,864,201,115,320,2,2
EXCALIBUR,KI,403,124,98,226,0,4
GENEVA,KI,408,113,103,218,0,2
FED 30-3018,KI,327,87,67,155,0,1
FED 30-3019,KI,427,105,123,231,0,3
FED 30-3017,KI,715,249,207,458,0,2
FED 30-3014,KI,461,154,122,277,0,1
BUR 34-0900,KI,391,114,80,194,0,0
BUR 33-1189,KI,639,168,112,283,0,3
FED 30-3013,KI,266,80,43,124,0,1
DENVER,KI,588,149,79,229,0,1
FED 30-3011,KI,343,82,56,138,0,0
TUK 11-1164,KI,660,175,135,312,0,2
PEGGY,KI,775,200,186,390,0,4
TUK 11-1166,KI,443,87,74,165,0,4
TUK 11-1167,KI,6,1,3,4,0,0
THISTLE,KI,334,79,73,152,0,0
BUR 34-0295,KI,479,125,142,269,0,2
MIL 30-3146,KI,659,196,161,361,0,4
GLENDALE,KI,764,171,116,289,0,2
BUR 34-0298,KI,668,198,122,322,0,2
BUR 34-1192,KI,591,203,191,397,0,3
NPK 33-0857,KI,684,261,221,483,0,1
NPK 33-0854,KI,436,159,142,302,0,1
NPK 33-0855,KI,390,116,115,231,0,0
NPK 33-0852,KI,442,157,135,296,0,4
FED 30-3015,KI,398,129,112,241,0,0
FED 30-3599,KI,420,107,104,213,0,2
NPK 33-0851,KI,525,169,164,338,0,5
SET 33-3074,KI,456,151,108,260,0,1
FED 30-3596,KI,332,100,77,178,0,1
NPK 33-0849,KI,380,149,103,254,0,2
SET 33-3070,KI,340,91,81,173,0,1
FED 30-3031,KI,542,182,90,273,0,1
AVALON,KI,372,102,89,191,0,0
FED 30-3045,KI,637,153,100,253,0,0
CONNAUGHT,KI,615,184,149,337,0,4
SET 33-3073,KI,285,105,65,171,0,1
FED 30-3235,KI,400,99,73,172,0,0
REGAL,KI,788,194,126,321,0,1
TUK 11-2955,KI,653,169,102,274,0,3
BUR 34-1032,KI,511,153,107,263,0,3
BUR 34-1136,KI,218,74,62,137,0,1
SET 33-3060,KI,373,85,48,134,0,1
GLASGOW,KI,601,141,110,255,0,4
LISABEULA,KI,467,125,181,309,0,3
MERLIN,KI,411,109,55,170,0,6
DES 33-2637,KI,499,136,84,221,0,1
TUK 11-3614,KI,56,15,13,28,0,0
BUR 33-0957,KI,323,95,45,141,0,1
BUR 34-0913,KI,599,149,74,225,0,2
BUR 33-0818,KI,753,176,140,319,0,3
NPK 33-2644,KI,287,118,86,204,0,0
NPK 33-2474,KI,454,141,175,316,0,0
FED 30-3040,KI,432,94,47,146,0,5
SPIDER LAKE,KI,755,224,159,387,0,4
BUR 34-0281,KI,0,0,0,0,0,0
SERENIDAD,KI,746,181,135,317,0,1
TUK 11-2752,KI,490,134,113,249,0,2
FED 30-3043,KI,631,160,98,261,0,3
FED 30-2988,KI,629,207,120,332,0,5
FED 30-3042,KI,251,100,65,166,0,1
TUK 11-3128,KI,717,169,118,288,0,1
TUK 11-3233,KI,457,103,73,178,0,2
BUR 34-0033,KI,682,172,135,309,0,2
JUTLAND,KI,85,20,20,40,0,0
BUR 34-1082,KI,307,108,107,215,0,0
CROSS,KI,511,151,177,328,0,0
FED 30-3582,KI,255,53,42,95,0,0
DES 33-0297,KI,240,77,44,121,0,0
JEFFERSON,KI,829,223,177,404,0,4
FED 30-3236,KI,746,216,131,351,0,4
BUR 34-0848,KI,421,139,120,261,0,2
DEVILLE,KI,558,152,110,263,0,1
FED 30-3023,KI,412,137,116,258,0,5
FED 30-3010,KI,335,114,80,197,0,3
DES 33-2626,KI,331,162,107,272,0,3
DES 33-2627,KI,347,148,80,229,0,1
DES 33-2625,KI,434,130,101,231,0,0
GRANDVIEW,KI,16,4,4,8,0,0
DES 33-2623,KI,333,124,101,225,0,0
FED 30-3035,KI,265,86,42,128,0,0
CAMELOT,KI,479,124,85,211,0,2
SET 33-3068,KI,464,114,113,228,0,1
FED 30-3234,KI,382,99,64,163,0,0
CARPENTER,KI,434,92,150,242,0,0
FED 30-3078,KI,402,133,83,218,0,2
FED 30-3079,KI,508,161,98,260,0,1
FED 30-2999,KI,392,87,50,137,0,0
DES 33-0911,KI,515,134,89,224,0,1
FED 30-2994,KI,225,70,46,118,0,2
FED 30-2995,KI,243,66,56,122,0,0
FED 30-2996,KI,510,130,87,218,0,1
FED 30-2990,KI,589,160,78,239,0,1
FED 30-2991,KI,360,119,68,187,0,0
FED 30-2992,KI,356,99,74,174,0,1
FED 30-2993,KI,677,208,128,340,0,4
SET 33-3057,KI,607,142,122,267,0,3
THOMAS,KI,442,137,108,249,0,4
SET 33-3107,KI,680,157,121,281,0,3
BUR 34-0025,KI,734,193,155,352,0,4
BUR 33-0562,KI,403,126,64,194,0,4
BUR 34-0381,KI,486,126,114,243,0,3
SEAVIEW,KI,393,121,99,221,0,1
DES 33-2394,KI,407,177,92,271,0,2
DES 33-2395,KI,263,102,60,162,0,0
SET 33-3059,KI,683,125,77,205,0,3
DES 33-1078,KI,354,88,62,150,0,0
DES 33-0361,KI,386,112,89,201,0,0
DES 33-0360,KI,582,206,167,373,0,0
DES 33-0363,KI,350,92,61,154,0,1
BUR 34-1150,KI,365,121,128,249,0,0
DES 33-0682,KI,444,153,88,241,0,0
DES 33-0364,KI,441,116,79,196,0,1
DES 33-0367,KI,411,128,103,234,0,3
DES 33-0366,KI,593,201,142,343,0,0
EVERGREEN,KI,716,166,94,261,0,1
FED 30-3096,KI,550,140,106,249,0,3
MARIAN,KI,776,218,104,323,0,1
DES 33-2820,KI,393,102,62,164,0,0
FED 30-3289,KI,819,229,138,368,0,1
GLENN,KI,255,59,65,126,0,2
FRAGER,KI,2,1,0,1,0,0
FED 30-3049,KI,430,126,42,168,0,0
FED 30-3048,KI,634,123,63,187,0,1
KILLARNEY,KI,466,133,128,264,0,3
FED 30-3020,KI,436,123,100,223,0,0
BUR 33-0476,KI,764,209,166,378,0,3
FED 30-3044,KI,657,229,95,326,0,2
FED 30-3047,KI,492,156,77,236,0,3
FED 30-3046,KI,397,114,74,188,0,0
FED 30-3041,KI,326,94,63,158,0,1
CYPRESS,KI,0,0,0,0,0,0
CADDIS,KI,366,110,97,211,0,4
DES 33-2416,KI,484,154,85,242,0,3
BUR 33-0094,KI,450,131,98,229,0,0
TUK 11-2453,KI,510,104,75,180,0,1
SET 33-3104,KI,542,136,110,247,0,1
NPK 33-2645,KI,335,135,82,219,0,2
HERON,KI,424,133,88,222,0,1
SET 33-3100,KI,847,196,92,291,0,3
BUR 34-0560,KI,474,124,96,223,0,3
SET 33-3102,KI,670,177,113,293,0,3
SYLVAN,KI,744,215,119,336,0,2
BUR 34-1064,KI,589,195,162,358,0,1
SET 33-3075,KI,289,63,52,116,0,1
GUENEVERE,KI,342,86,61,149,0,2
FED 30-3305,KI,402,66,35,102,0,1
NPK 33-2646,KI,587,177,164,341,0,0
TAHLEQUAH,KI,550,164,184,349,0,1
FED 30-3110,KI,351,107,86,194,0,1
DES 33-0272,KI,414,137,101,239,0,1
BUR 33-0009,KI,277,79,40,119,0,0
FED 30-3026,KI,399,124,68,195,0,3
BUR 34-0710,KI,357,100,71,175,0,4
