Row Label,County,Mary E. Fairhurst
Usk,PE,120
Diamond Lk East,PE,83
Sacheen,PE,178
Diamond Lk,PE,240
Diamond Lk West,PE,113
Noble,PE,203
Furport,PE,164
Deer Valley South,PE,48
Cusick,PE,79
Ione East,PE,110
Kalispel Leclerc,PE,105
Tiger Dry Canyon,PE,207
Ruby,PE,19
Ione West,PE,130
Newport NE,PE,170
Metaline,PE,56
Newport SE,PE,79
Skookum,PE,46
Newport NW,PE,151
Newport SW,PE,128
Dalkena,PE,175
Deer Valley North,PE,135
Locke,PE,27
Fertile Valley South,PE,121
Fertile Valley North,PE,107
Camden,PE,97
Total,PE,3208
Metaline Falls,PE,117
