Row Label,County,Eddie Yoon,Charles W. Johnson
Memorial,CZ,75,168
Windemere,CZ,162,377
Olson,CZ,74,182
Modrow,CZ,99,230
Ostrander,CZ,122,290
Baltimore,CZ,103,260
Magnolia,CZ,176,411
Hudson,CZ,117,290
Lake,CZ,106,215
Kessler,CZ,149,310
St. Helens,CZ,56,124
Woodage,CZ,106,196
Arkansas,CZ,35,140
Elk Ridge(*),CZ,0,0
Woodland South,CZ,151,316
Tunstall,CZ,46,106
Brynion,CZ,77,225
Marigold,CZ,137,363
Crawford,CZ,113,242
Chinook,CZ,120,317
Ridgecrest,CZ,7,25
Cloverdale,CZ,92,214
Woodland North,CZ,169,362
Mill,CZ,138,342
Ponderosa,CZ,105,230
Owl Creek,CZ,166,313
Willow Grove,CZ,33,84
Robbins,CZ,115,397
Powell,CZ,82,279
Ocean Beach,CZ,92,280
Sparks,CZ,71,162
Beacon,CZ,152,353
Harris,CZ,101,258
Delameter,CZ,88,241
Ryderwood,CZ,53,125
Redpath,CZ,85,229
Nevada,CZ,88,257
Sandy Bend,CZ,134,244
Mint Valley,CZ,167,399
Burcham,CZ,153,467
Columbia Valley Gdns,CZ,92,186
Lexington,CZ,89,250
Rose Valley,CZ,87,187
Mt. Solo,CZ,32,84
Haussler,CZ,87,164
Silver Lake,CZ,178,442
Ammons,CZ,78,190
Kalama North,CZ,76,221
Yale,CZ,103,206
Bakers,CZ,3,15
Sacajawea,CZ,189,491
Alabama,CZ,90,165
Kalama South,CZ,111,283
Carrolls,CZ,120,287
Caples,CZ,39,122
Lone Oak,CZ,55,172
Lewis River,CZ,159,377
Industrial,CZ,0,0
Castle Rock,CZ,153,331
West Kelso,CZ,30,75
Stella,CZ,112,265
Toutle,CZ,131,328
Tower,CZ,141,391
Columbia Heights,CZ,61,161
Pacific,CZ,117,294
McGowan,CZ,25,61
Hillcrest,CZ,175,457
Boondox,CZ,10,5
View,CZ,72,189
Coal Creek,CZ,133,388
Laurel,CZ,136,333
Douglas(*),CZ,0,0
Total,CZ,7091,17336
