Row Label,County,Curt Knapp,Katherine Brown
Usk,PE,112,75
Diamond Lk East,PE,51,61
Sacheen,PE,118,112
Diamond Lk,PE,160,180
Diamond Lk West,PE,82,95
Noble,PE,184,121
Furport,PE,119,113
Deer Valley South,PE,38,33
Cusick,PE,54,75
Ione East,PE,75,77
Kalispel Leclerc,PE,78,61
Tiger Dry Canyon,PE,144,138
Ruby,PE,7,20
Ione West,PE,94,98
Newport NE,PE,136,99
Metaline,PE,53,43
Newport SE,PE,59,50
Skookum,PE,26,34
Newport NW,PE,143,88
Newport SW,PE,115,62
Dalkena,PE,142,140
Deer Valley North,PE,110,108
Locke,PE,14,25
Fertile Valley South,PE,73,78
Fertile Valley North,PE,78,76
Camden,PE,83,77
Total,PE,2428,2232
Metaline Falls,PE,80,93
