Row Label,County,Yes,No
Ephrata 7 012,GR,186,149
Hartline Rural S 020,GR,18,8
Moses Lake 5 029,GR,144,191
Ephrata 9 013,GR,296,243
Beverly 002,GR,28,6
East Wahluke 061,GR,60,37
Royal City 044,GR,57,65
Moses Lake 2 067,GR,161,121
Marlin 024,GR,8,10
Lakeview Park 021,GR,200,95
Moses Lake 9  068,GR,192,160
Coulee City 005,GR,127,90
North Banks Lake 037,GR,58,37
Ephrata Rural E,GR,191,106
Moses Lake 7 033,GR,239,179
George 015,GR,22,17
Mae 023,GR,496,361
Ruff 045,GR,38,20
Cascade Valley 058,GR,334,251
Wilson Crk Rural 056,GR,21,7
Electric City 007,GR,247,132
Coulee Cty Rur N 072,GR,55,28
Moses Lake 1 066,GR,135,106
Smyrna 2 060,GR,17,8
Hartline 019,GR,31,28
Moses Lake 4 031,GR,168,146
Cascade Fairgrnd 004,GR,130,113
Warden 050,GR,98,85
Ephrata 5 008,GR,178,117
Quincy 4 040,GR,96,62
Ephrata 4 011,GR,239,186
Quincy 1 039,GR,175,100
Stratford 049,GR,29,17
Westslope 1 053,GR,65,45
McConihe 1 028,GR,132,66
Marlin Rural 025,GR,38,12
Coulee Cty Rur W 006,GR,59,36
Coulee Cty Rur E 062,GR,11,10
Moses Lake 6 032,GR,301,189
Wheeler 2 070,GR,372,280
Longview 022,GR,257,154
Greenfield 065,GR,33,23
Mattawa Rural 027,GR,275,210
Airport 2 057,GR,123,78
Soap Lake 1 047,GR,120,81
Airport 1 001,GR,171,88
Grand Coulee 018,GR,171,104
Moses Lake 12 036,GR,212,167
Gloyd 017,GR,191,101
Hartline Rural N 073,GR,20,22
Smyrna 1 046,GR,82,42
Westslope 2 059,GR,58,22
Moses Lake 3 030,GR,260,260
Mattawa 026,GR,27,19
O Sullivan Dam 2 069,GR,376,300
Soap Lake 2 052,GR,112,78
Quincy Rural S 064,GR,361,202
Ephrata Rural ,GR,190,94
Ephrata 3 010,GR,143,113
Wheeler 1 054,GR,135,101
Warden Rural 051,GR,262,156
George Rural 016,GR,360,162
McConihe 2 063,GR,106,58
Quincy 6 041,GR,253,211
Block 71 003,GR,354,212
Wilson Creek 055,GR,52,28
Quincy Rural N 042,GR,141,98
Moses Lake 8 034,GR,298,230
O Sullivan Dam 1 038,GR,309,182
Soap Lake Rur E ,GR,66,31
Royal Camp 043,GR,295,167
Total,GR,12042,8284
Soap Lake Rur W ,GR,224,136
Ephrata 2 009,GR,208,152
Moses Lake 11 035,GR,345,283
