Row Label,County,Art Chapman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,111,527,107,221,0,3
SEA 46-2344,KI,184,760,143,329,0,2
SEA 46-2311,KI,138,451,117,256,0,1
SEA 34-3648,KI,123,470,116,240,0,1
SEA 46-1968,KI,82,297,95,177,0,0
SEA 36-1391,KI,116,439,143,262,0,3
SEA 36-1390,KI,87,290,104,191,0,0
SEA 36-1393,KI,96,297,113,209,0,0
SEA 36-1392,KI,116,411,139,255,0,0
SEA 36-1395,KI,130,444,143,276,0,3
SEA 36-1394,KI,153,559,180,336,0,3
SEA 36-1397,KI,97,357,134,233,0,2
SEA 36-1396,KI,76,282,87,166,0,3
SEA 36-1399,KI,107,296,98,205,0,0
SEA 36-1816,KI,94,303,78,172,0,0
SEA 46-3687,KI,64,220,79,143,0,0
SEA 43-2017,KI,118,430,147,267,0,2
SEA 37-3416,KI,78,502,51,134,0,5
SEA 36-1403,KI,95,497,137,234,0,2
SEA 36-1402,KI,101,381,104,206,0,1
SEA 43-2013,KI,85,310,130,216,0,1
SEA 43-2011,KI,96,278,92,189,0,1
SEA 46-2353,KI,123,488,74,199,0,2
SEA 46-2096,KI,71,230,91,162,0,0
SEA 43-2018,KI,165,559,198,363,0,0
SEA 34-3637,KI,178,567,130,309,0,1
SEA 46-2097,KI,102,400,154,257,0,1
SEA 34-3632,KI,56,271,43,99,0,0
SEA 46-2276,KI,109,382,140,250,0,1
SEA 43-1351,KI,147,561,167,315,0,1
SEA 37-1936,KI,104,296,118,222,0,0
SEA 43-1353,KI,126,449,133,260,0,1
SEA 43-1352,KI,158,608,162,322,0,2
SEA 43-1355,KI,132,401,112,244,0,0
SEA 43-1354,KI,117,435,122,240,0,1
SEA 43-1357,KI,103,355,87,192,0,2
SEA 43-2049,KI,81,453,124,208,0,3
SEA 43-1359,KI,154,518,136,291,0,1
SEA 43-1358,KI,103,418,119,224,0,2
SEA 37-1934,KI,222,784,246,472,0,4
SEA 37-1935,KI,79,291,125,204,0,0
SEA 37-3647,KI,81,447,63,146,0,2
SEA 43-2059,KI,121,424,131,252,0,0
SEA 37-3159,KI,212,845,168,383,0,3
SEA 46-2271,KI,144,476,172,319,0,3
SEA 46-2347,KI,136,519,144,281,0,1
SEA 46-1952,KI,82,281,97,179,0,0
SEA 46-1953,KI,95,236,80,175,0,0
SEA 46-1954,KI,96,282,106,203,0,1
SEA 37-1638,KI,73,505,88,162,0,1
SEA 36-1308,KI,80,298,112,193,0,1
SEA 36-1309,KI,145,556,179,328,0,4
SEA 36-1306,KI,107,381,133,240,0,0
SEA 36-1307,KI,82,276,92,174,0,0
SEA 36-1304,KI,113,333,118,234,0,3
SEA 36-1305,KI,96,301,110,206,0,0
SEA 37-1631,KI,87,301,100,187,0,0
SEA 36-1303,KI,118,411,149,269,0,2
SEA 36-1300,KI,107,383,107,214,0,0
SEA 36-1301,KI,86,319,132,218,0,0
SEA 36-1715,KI,81,355,89,172,0,2
SEA 36-1714,KI,154,526,165,321,0,2
SEA 36-1717,KI,60,251,73,134,0,1
SEA 36-1716,KI,69,357,108,177,0,0
SEA 36-1711,KI,183,760,193,379,0,3
SEA 36-1710,KI,73,351,82,157,0,2
SEA 36-1713,KI,83,362,93,176,0,0
SEA 36-1712,KI,132,463,137,269,0,0
