Row Label,County,James L. Nagle
Yellowhawk 58,WL,29
Touchet 5 56,WL,5
CP 3 63,WL,371
Spruce 24,WL,164
Birch 05,WL,181
Baumeister 04,WL,284
Jefferson 13,WL,428
Ice Harbor 34,WL,298
Alder 02,WL,133
Eureka 4 43,WL,2
Waitsburg 65,WL,349
Lincoln 49,WL,49
CP 1 61,WL,388
Watertown 29,WL,172
Frenchtown 4 45,WL,39
Ritz 53,WL,419
CP 2 62,WL,275
Frenchtown 5 44,WL,164
Alderbrook 01,WL,170
Baker 33,WL,86
Edison 08,WL,202
Pine 21,WL,134
Mill Creek 50,WL,196
Sharpstein 23,WL,178
Gose 47,WL,90
CP 5 67,WL,325
Henderson 11,WL,197
Burbank 38,WL,398
Garfield 09,WL,240
Washington 60,WL,116
Garrison 46,WL,173
Berney 35,WL,198
Isaacs 12,WL,137
Paine 20,WL,86
Pleasant 22,WL,387
Wallula 59,WL,26
Monroe 18,WL,466
Ash 03,WL,298
Dixie 41,WL,195
Touchet 4 55,WL,254
CP 6 68,WL,52
Blalock 36,WL,359
Stadium 25,WL,164
Clyde 39,WL,22
CP 4 66,WL,431
Pros Point 52,WL,727
Wainwright 28,WL,347
Moore 51,WL,179
Eureka 5 42,WL,46
Derry 40,WL,116
College 07,WL,178
Prescott 64,WL,70
Green Park 10,WL,125
Twin Grove 57,WL,181
Tausick 26,WL,197
Marcus 17,WL,511
Braden 37,WL,393
McNary 54,WL,186
Maple 16,WL,379
Total,WL,13340
Abbott 31,WL,243
Clark 06,WL,132
