Row Label,County,Cheryl Brown
Montesano 601,GY,506
Riviera 050,GY,28
McCleary Rural 060,GY,266
Hoquiam 421,GY,232
Satsop 052,GY,115
Aberdeen 132,GY,0
Lois Lane 082,GY,79
Ocosta 092,GY,0
Cutoff032,GY,70
Johns River 094,GY,216
Melbourne 072,GY,218
Bush 058,GY,368
Aberdeen 121,GY,382
Geissler 036,GY,33
Coats Landing 034,GY,188
Hoquiam 441,GY,308
Grayland 096,GY,217
Hoquiam 461,GY,226
Blockhouse 068,GY,204
Boundary 044,GY,34
Westport 901,GY,387
Humptulips 018,GY,35
Chehalis 066,GY,4
Elma 302,GY,348
Aberdeen 111,GY,423
Cohasset 098,GY,142
Burrows 014,GY,16
Quinault 004,GY,107
Porter 062,GY,134
Delezenne 070,GY,243
Pacific Beach 008,GY,148
Aberdeen 131,GY,529
Elma 301,GY,161
Axford 020,GY,91
Brady 048,GY,318
Hoquiam 431,GY,285
Dekay 022,GY,50
Ocean City 012,GY,190
Moclips 010,GY,19
Montesano 603,GY,0
Cosmopolis 201,GY,408
Cedar Creek 064,GY,56
Ocean Shores 801,GY,426
Ocean Shores 802,GY,563
Ocean Shores 803,GY,497
North Wishkah 028,GY,2
Calder 056,GY,175
Lund 088,GY,52
Taholah 002,GY,165
Aberdeen 142,GY,306
Devonshire 074,GY,198
Reynvaan 040,GY,87
Aberdeen Lake 038,GY,3
Aberdeen 161,GY,420
Wilderness 016,GY,77
Hoquiam 451,GY,222
Sierra 086,GY,1
Blue Slough 084,GY,140
Black Creek 046,GY,330
Hoquiam Rural 024,GY,215
Wishkah 030,GY,183
Stover 026,GY,45
Oakville 701,GY,102
Aberdeen 141,GY,378
Vesta 076,GY,37
Artic 078,GY,41
Wynoochee 042,GY,5
Montesano 602,GY,510
Aberdeen 151,GY,242
Central Park 080,GY,433
Newskah 090,GY,14
McCleary 501,GY,289
Neilton 006,GY,53
Total,GY,14278
Hoquiam 411,GY,283
