Row Label,County,Warren M. Gilbert
VAN FLEET,SK,238
GEAR,SK,284
BIRDSVIEW,SK,294
BURLINGTON 7,SK,166
BOW,SK,383
ROCKPORT,SK,219
ROSARIO,SK,363
MOUNT VERNON 16,SK,349
EDISON,SK,166
MOUNT VERNON 14,SK,384
MOUNT VERNON 12,SK,133
RIDGEWAY,SK,203
MOUNT VERNON 10,SK,164
SAMISH,SK,188
MOUNT VERNON 19,SK,321
BAY VIEW,SK,234
BURLINGTON 2,SK,163
STARBIRD,SK,214
BURLINGTON 1,SK,137
BURLINGTON 6,SK,151
TERRACE,SK,480
BURLINGTON 4,SK,235
BURLINGTON 5,SK,279
MANSFORD,SK,37
MAPES,SK,109
FIR,SK,124
LYMAN,SK,65
GAGES,SK,72
NOOKACHAMPS,SK,162
SAUK,SK,288
VEDERE,SK,222
HAMILTON,SK,40
VIEW TERRACE,SK,1
POINT WILLIAMS,SK,224
SKYRIDGE,SK,240
CONCRETE,SK,107
ALDER,SK,149
CLEAR LAKE,SK,260
FRUITDALE,SK,133
SWINOMISH,SK,317
SEDRO WOOLLEY  6,SK,278
MINKLER,SK,170
ANACORTES 20,SK,419
TINGLEY,SK,146
ANACORTES 22,SK,373
ANACORTES 24,SK,510
BIG LAKE,SK,350
ANACORTES 5,SK,10
COLLINS,SK,153
AVON,SK,280
MARCH POINT,SK,23
MOUNT VERNON 30,SK,332
FIDALGO,SK,313
MOUNT VERNON  4,SK,406
MOUNT VERNON  5,SK,80
MOUNT VERNON  6,SK,215
MOUNT VERNON  7,SK,314
WHITNEY,SK,122
MOUNT VERNON  2,SK,131
MOUNT VERNON  3,SK,260
LAKE SIXTEEN,SK,141
MOUNT VERNON  8,SK,510
MOUNT VERNON  9,SK,139
DEWEY,SK,454
BELFAST,SK,151
MOUNT VERNON 15,SK,197
MCMURRAY EAST,SK,58
LAKE CAVANAUGH,SK,64
SHELTER BAY,SK,295
MOUNT VERNON 27,SK,102
MOUNT VERNON 22,SK,468
MOUNT VERNON 21,SK,464
LOOKOUT,SK,320
MOUNT VERNON 11,SK,259
ANACORTES  9,SK,277
COUNTRY CLUB,SK,121
ANACORTES 21,SK,516
MOUNT VERNON  1,SK,118
SEDRO WOOLLEY  2,SK,301
SEDRO WOOLLEY  3,SK,221
SEDRO WOOLLEY  1,SK,273
MCMURRAY WEST,SK,135
SEDRO WOOLLEY  7,SK,6
SEDRO WOOLLEY  4,SK,284
SEDRO WOOLLEY  5,SK,363
MCRAE,SK,385
ANACORTES  6,SK,228
ANACORTES  7,SK,506
ANACORTES  4,SK,213
ANACORTES  1,SK,226
SNEE OOSH,SK,224
MONTBORNE,SK,375
STERLING,SK,85
FREDONIA,SK,59
CASCADE,SK,49
DIGBY,SK,26
HARMONY,SK,176
PADILLA,SK,63
DUNBAR,SK,53
LA CONNER,SK,262
CEDARDALE,SK,101
BURLINGTON 3,SK,76
PRAIRIE,SK,269
RIVERBEND,SK,14
HAMBURG,SK,132
ANACORTES 11,SK,393
ALLEN,SK,113
ANACORTES 17,SK,481
CONWAY,SK,110
LITTLE MOUNTAIN,SK,119
GUEMES,SK,220
ALGER,SK,175
BLANCHARD,SK,263
DODGE VALLEY,SK,136
Total,SK,24952
