Row Label,County,Joe Schmick
Pct 089,FR,110
Pct 087,FR,56
Pct 070,FR,48
Pct 099,FR,28
Pct 074,FR,191
Pct 095,FR,58
Pct 046,FR,230
Pct 047,FR,26
Pct 022,FR,141
Pct 023,FR,245
Pct 042,FR,127
Pct 043,FR,137
Pct 040,FR,159
Pct 041,FR,90
Pct 002,FR,4
Pct 098,FR,18
Pct 048,FR,173
Pct 049,FR,183
Pct 082,FR,89
Pct 083,FR,80
Pct 080,FR,240
Pct 081,FR,64
Pct 068,FR,11
Pct 069,FR,29
Pct 084,FR,37
Pct 085,FR,35
Pct 064,FR,159
Pct 065,FR,81
Pct 066,FR,217
Pct 067,FR,153
Pct 060,FR,76
Pct 061,FR,29
Pct 062,FR,265
Pct 063,FR,164
Pct 090,FR,129
Pct 094,FR,0
Pct 093,FR,139
Pct 092,FR,120
Pct 044,FR,148
Pct 077,FR,50
Pct 045,FR,199
Pct 086,FR,67
Pct 100,FR,82
Pct 076,FR,78
Pct 088,FR,35
Pct 101,FR,95
Pct 075,FR,36
Pct 033,FR,128
Pct 032,FR,322
Pct 052,FR,46
Pct 037,FR,239
Pct 035,FR,93
Pct 034,FR,185
Pct 073,FR,206
Pct 039,FR,173
Pct 038,FR,158
Pct 072,FR,114
Pct 059,FR,234
Pct 058,FR,18
Pct 097,FR,37
Pct 096,FR,76
Pct 091,FR,8
Pct 071,FR,138
Pct 079,FR,108
Pct 078,FR,69
Pct 051,FR,195
Pct 050,FR,190
Pct 053,FR,152
Total,FR,8441
Pct 055,FR,253
Pct 054,FR,80
Pct 057,FR,148
Pct 056,FR,140
