Row Label,County,Peter L. Nault,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,153,416,128,281,0,0
RIVERBEND,KI,172,762,170,345,0,3
N-B 05-2683,KI,185,706,155,351,0,11
PROVAN,KI,169,551,169,340,0,2
TWIN PEAKS,KI,186,700,213,401,0,2
BEL 48-1023,KI,101,322,104,206,0,1
KIR 48-2731,KI,115,483,117,233,0,1
SAM 45-3293,KI,184,661,195,382,0,3
SAM 41-0816,KI,181,687,201,385,0,3
SAM 45-3298,KI,164,523,131,297,0,2
BEL 41-0211,KI,115,373,113,229,0,1
BEL 41-0210,KI,87,367,97,186,0,2
KIR 01-2678,KI,213,695,158,375,0,4
BEL 41-0219,KI,144,623,119,264,0,1
SAM 41-2973,KI,207,723,226,434,0,1
KIR 01-2923,KI,167,642,138,311,0,6
MED 48-0750,KI,186,661,201,389,0,2
MED 48-0751,KI,187,510,144,331,0,0
BEL 48-2559,KI,143,431,114,259,0,2
RED 48-3208,KI,87,415,68,156,0,1
SAM 45-2575,KI,278,770,212,496,0,6
WINTERGREEN,KI,93,279,68,161,0,0
WOD 45-2680,KI,207,627,175,384,0,2
ISS 05-0550,KI,87,300,79,172,0,6
KIR 45-2730,KI,163,686,133,298,0,2
GRAFF,KI,30,105,34,64,0,0
RED 48-3664,KI,125,594,114,243,0,4
BEL 41-2782,KI,49,183,32,81,0,0
KIR 48-2788,KI,103,354,112,215,0,0
KIR 48-2922,KI,99,504,142,242,0,1
KIR 45-0554,KI,115,451,85,200,0,0
NEW 41-3578,KI,87,396,68,156,0,1
KIR 45-2679,KI,174,614,204,379,0,1
ISS 05-2461,KI,213,572,149,364,0,2
N-B 05-0858,KI,100,469,120,222,0,2
RED 48-2640,KI,117,356,90,208,0,1
SEAN,KI,195,690,172,367,0,0
HOLLYMORE,KI,183,525,149,337,0,5
KIR 45-2471,KI,268,720,179,453,0,6
ISABELLA,KI,233,660,175,409,0,1
KIR 01-3422,KI,146,546,120,266,0,0
MOUNT CLARE,KI,200,571,146,348,0,2
ALDARRA,KI,210,711,224,434,0,0
EDGEHILL,KI,21,67,22,44,0,1
BIG BEND,KI,58,216,66,124,0,0
BEL 48-2412,KI,102,308,65,168,0,1
RED 48-2628,KI,111,472,99,211,0,1
KIR 45-2786,KI,119,351,116,236,0,1
TIGER MTN,KI,223,742,223,447,0,1
SHANGRI-LA,KI,124,394,108,233,0,1
RED 45-3315,KI,297,705,205,503,0,1
BEL 48-2778,KI,85,243,63,148,0,0
BEL 48-2773,KI,74,287,68,142,0,0
BEL 48-2772,KI,107,345,96,205,0,2
BEL 48-2777,KI,60,229,28,89,0,1
BEL 48-2776,KI,156,495,114,274,0,4
BEL 48-2775,KI,133,478,128,264,0,3
BEL 48-2774,KI,111,434,75,186,0,0
BEL 41-3671,KI,97,337,66,164,0,1
COUNTRYSIDE,KI,168,667,109,280,0,3
SAM 41-3384,KI,214,764,176,391,0,1
SAM 41-3385,KI,172,616,154,328,0,2
M-I 41-0756,KI,217,738,184,402,0,1
SNQ 05-3511,KI,239,860,236,477,0,2
M-I 41-0757,KI,108,403,122,231,0,1
KIR 45-3198,KI,100,492,78,182,0,4
KIR 45-3199,KI,118,416,123,241,0,0
BEL 41-3695,KI,99,390,82,183,0,2
ISS 05-3634,KI,86,422,102,190,0,2
BOT 01-1207,KI,147,553,132,282,0,3
HOLLYWOOD,KI,178,538,181,359,0,0
BEL 41-3593,KI,102,534,78,182,0,2
CAR 05-0290,KI,126,512,150,276,0,0
M-I 41-0759,KI,110,379,101,211,0,0
BEL 48-0188,KI,115,472,127,244,0,2
BEL 48-0189,KI,112,523,119,232,0,1
BEL 48-0186,KI,64,277,98,165,0,3
BROOKSIDE,KI,161,548,184,345,0,0
RING HILL,KI,244,757,240,488,0,4
ISS 41-2733,KI,246,843,212,462,0,4
KIR 45-3109,KI,134,469,96,230,0,0
BEL 41-3608,KI,191,714,158,349,0,0
KIR 45-3450,KI,57,251,66,125,0,2
SAM 41-2690,KI,133,526,137,271,0,1
RIDGE,KI,239,669,150,393,0,4
KINGLET,KI,117,532,110,227,0,0
SAM 45-3454,KI,69,233,47,116,0,0
KIR 01-3678,KI,101,349,91,193,0,1
WOD 45-3270,KI,164,612,134,298,0,0
ISS 05-3527,KI,146,587,101,249,0,2
BOT 01-3661,KI,145,528,99,245,0,1
BEL 41-1235,KI,87,334,93,180,0,0
N-B 05-0859,KI,147,487,144,291,0,0
BEL 41-0733,KI,157,718,158,315,0,0
GOLDFINCH,KI,80,281,85,165,0,0
KIR 45-3200,KI,121,455,87,209,0,1
BOT 01-0868,KI,172,650,120,292,0,0
SPRINKLE,KI,33,107,33,66,0,0
KIR 01-2918,KI,175,667,145,321,0,1
HUNTER,KI,211,811,174,389,0,4
RED 48-0948,KI,69,246,54,124,0,1
SNQ 05-3409,KI,228,787,168,399,0,3
SAM 41-1130,KI,147,651,135,283,0,1
RED 48-2967,KI,216,821,156,373,0,1
WEEKS,KI,197,713,191,390,0,2
SNQ 05-3645,KI,0,0,0,0,0,0
BROOKTRAILS,KI,172,564,172,347,0,3
N-B 05-3611,KI,175,664,138,316,0,3
KIR 48-3401,KI,176,632,164,342,0,2
COUGAR MTN,KI,4,8,1,8,0,3
BEL 48-0160,KI,71,268,56,130,0,3
QUAIL,KI,66,235,63,131,0,2
SALISH,KI,226,674,192,418,0,0
MED 48-0752,KI,137,527,173,311,0,1
KIR 01-0019,KI,243,752,190,433,0,0
SAM 41-2813,KI,168,567,169,337,0,0
WOD 45-1205,KI,172,507,167,340,0,1
BOT 01-2865,KI,116,356,89,205,0,0
RED 45-3584,KI,137,449,120,259,0,2
RED 48-3475,KI,118,356,91,210,0,1
RED 48-0944,KI,116,375,97,217,0,4
BRIDLE TRAILS,KI,0,0,0,0,0,0
KIR 45-2722,KI,178,626,117,296,0,1
RED 48-0945,KI,138,453,106,245,0,1
YPT 48-1233,KI,124,401,102,226,0,0
BEL 48-0207,KI,103,327,82,186,0,1
ALDER SPRINGS,KI,170,550,176,349,0,3
BEL 48-0201,KI,156,512,136,293,0,1
M-I 41-2809,KI,78,240,73,152,0,1
SAM 41-0100,KI,211,667,150,362,0,1
SAM 41-3638,KI,178,717,165,346,0,3
KIR 01-2767,KI,186,573,172,359,0,1
KIR 01-2762,KI,170,618,135,308,0,3
KIR 01-2768,KI,200,624,182,383,0,1
SAM 45-2564,KI,214,749,200,418,0,4
CHALLENGER,KI,95,293,90,185,0,0
BEL 48-0149,KI,120,416,112,234,0,2
RED 48-0951,KI,105,379,118,223,0,0
RED 48-0950,KI,107,444,107,214,0,0
RED 48-0953,KI,230,758,185,418,0,3
RED 48-0952,KI,89,311,71,160,0,0
BEL 48-0142,KI,84,299,75,159,0,0
BEL 48-0143,KI,81,291,70,152,0,1
BEL 48-0140,KI,145,425,86,234,0,3
BEL 48-0146,KI,95,298,77,173,0,1
BEL 48-0147,KI,106,444,99,207,0,2
BEL 48-0144,KI,91,320,77,169,0,1
BEL 48-0145,KI,70,274,66,137,0,1
BEL 41-0116,KI,47,290,64,111,0,0
BEL 41-0117,KI,72,263,68,140,0,0
BEL 41-0114,KI,119,459,173,292,0,0
BEL 41-0112,KI,194,712,164,358,0,0
BEL 41-0113,KI,66,255,91,158,0,1
BEL 41-0110,KI,143,571,113,257,0,1
BEL 41-0111,KI,180,544,148,330,0,2
BEL 41-3312,KI,242,796,245,489,0,2
BEL 41-0119,KI,96,295,101,197,0,0
WELCOME LAKE,KI,334,735,239,578,0,5
ISS 05-2806,KI,125,399,118,243,0,0
KIR 48-0638,KI,126,551,155,281,0,0
KIR 48-0636,KI,131,449,117,248,0,0
BEL 41-2484,KI,109,404,90,199,0,0
KIR 48-0633,KI,147,468,137,285,0,1
SAM 45-3412,KI,223,738,180,406,0,3
ISS 41-2401,KI,163,657,177,342,0,2
JAY,KI,130,492,149,280,0,1
BOT 01-0262,KI,189,779,169,367,0,9
ISS 41-2409,KI,504,1074,325,829,0,0
BOT 01-0260,KI,260,769,220,482,0,2
BOT 01-0261,KI,197,634,179,378,0,2
KIR 45-2917,KI,131,603,119,254,0,4
ELSIE,KI,232,726,159,393,0,2
BARCLAY,KI,96,295,66,162,0,0
C-H 48-0323,KI,150,440,108,258,0,0
C-H 48-0322,KI,84,252,75,159,0,0
C-H 48-0321,KI,107,356,108,216,0,1
KIR 01-0422,KI,164,612,143,309,0,2
C-H 48-0326,KI,83,268,78,161,0,0
C-H 48-0325,KI,124,446,151,276,0,1
C-H 48-0324,KI,115,434,148,265,0,2
BEL 41-0203,KI,215,688,193,410,0,2
BEL 41-0206,KI,192,729,151,344,0,1
BEL 41-0205,KI,95,288,76,171,0,0
DIPPER,KI,176,675,163,346,0,7
BOT 01-3271,KI,125,431,103,229,0,1
DUV 45-0389,KI,222,817,190,414,0,2
NEW 41-3261,KI,164,503,101,267,0,2
BEL 41-2386,KI,96,279,73,169,0,0
SKY 39-1091,KI,32,130,42,74,0,0
TWO RIVERS,KI,237,779,224,465,0,4
WOD 45-2769,KI,225,748,217,444,0,2
SALAL,KI,107,359,118,225,0,0
MEANDER,KI,180,581,158,340,0,2
BEL 48-1049,KI,118,344,97,215,0,0
BOT 01-2677,KI,99,344,105,204,0,0
BOT 01-2676,KI,207,825,177,391,0,7
PRESTON,KI,204,661,173,383,0,6
ISS 05-3552,KI,149,742,156,308,0,3
MARYMOOR,KI,0,0,0,0,0,0
HILL,KI,155,493,157,312,0,0
LYNX,KI,143,531,128,276,0,5
RED 48-3548,KI,93,292,51,145,0,1
RED 48-2642,KI,74,263,43,117,0,0
RED 48-2641,KI,217,645,178,396,0,1
RANCH,KI,134,444,99,233,0,0
RED 45-3547,KI,201,711,186,388,0,1
KIR 45-1019,KI,207,767,155,364,0,2
N-B 05-3296,KI,191,682,196,392,0,5
SAM 45-2693,KI,235,796,175,414,0,4
KIR 45-3668,KI,122,428,82,206,0,2
NEW 41-3227,KI,133,467,119,254,0,2
KIR 45-2760,KI,214,618,170,386,0,2
KIR 45-2761,KI,181,601,160,342,0,1
M-I 41-0755,KI,65,265,106,172,0,1
RED 48-0942,KI,132,402,125,258,0,1
M-I 41-0758,KI,94,284,81,175,0,0
BEL 48-3166,KI,164,561,113,278,0,1
BEL 48-3498,KI,83,239,70,153,0,0
RAGING RIVER,KI,129,505,133,268,0,6
HI-VALLEY,KI,295,829,244,542,0,3
RED 48-2636,KI,153,451,101,256,0,2
SILVER SPURS,KI,7,18,3,10,0,0
RED 48-2634,KI,121,389,108,231,0,2
RED 48-2635,KI,121,387,102,224,0,1
RED 48-2632,KI,67,225,63,130,0,0
RED 48-2633,KI,215,626,160,375,0,0
RED 48-2630,KI,133,394,122,257,0,2
BEL 41-0011,KI,58,346,59,117,0,0
BEL 41-0017,KI,143,594,126,270,0,1
RED 48-2467,KI,111,398,104,215,0,0
RED 48-2466,KI,238,749,219,460,0,3
STEED,KI,278,759,221,501,0,2
HAAS,KI,82,303,115,199,0,2
RED 45-2659,KI,47,154,42,89,0,0
BEL 41-0408,KI,71,212,64,136,0,1
ALDERWOOD,KI,143,440,135,284,0,6
RED 45-2643,KI,140,433,111,254,0,3
BEL 41-2936,KI,140,485,121,264,0,3
BEL 41-3291,KI,78,292,81,159,0,0
BEL 41-2935,KI,138,526,126,264,0,0
HPT 48-0533,KI,104,334,100,204,0,0
YPT 48-1234,KI,110,411,140,250,0,0
SAM 41-2491,KI,208,707,157,367,0,2
BOWOOD,KI,191,625,146,339,0,2
SHEFFIELD,KI,145,447,140,288,0,3
BEL 41-2447,KI,158,527,143,303,0,2
RED 45-2492,KI,122,356,91,214,0,1
KIR 45-0622,KI,119,390,95,214,0,0
TRILLIUM,KI,238,799,238,476,0,0
LORA,KI,155,607,185,343,0,3
KIR 45-0610,KI,173,552,145,322,0,4
KIR 45-0616,KI,130,557,164,297,0,3
KIR 45-0618,KI,146,454,169,315,0,0
ISS 41-2692,KI,106,382,106,215,0,3
MARCEL,KI,98,371,108,207,0,1
SAM 41-3214,KI,112,435,127,241,0,2
SAM 41-3215,KI,198,814,149,348,0,1
SAM 45-3388,KI,217,698,171,389,0,1
SAM 45-3389,KI,279,762,179,460,0,2
SAM 41-3607,KI,128,498,128,259,0,3
KIR 01-0870,KI,180,632,159,340,0,1
SAM 45-3386,KI,213,784,184,398,0,1
SAM 45-3387,KI,132,402,112,244,0,0
DUTHIE HILL,KI,103,356,104,208,0,1
BEL 48-0171,KI,117,396,114,234,0,3
BEL 48-0170,KI,71,225,55,128,0,2
BROOKSHIRE,KI,107,430,99,207,0,1
BEL 41-0129,KI,90,316,58,148,0,0
BEL 41-0128,KI,147,494,148,295,0,0
BEL 41-0124,KI,165,505,142,308,0,1
BEL 41-3225,KI,125,539,116,245,0,4
BEL 41-0122,KI,118,391,95,213,0,0
BEL 41-0121,KI,121,501,102,231,0,8
BEL 41-0120,KI,72,248,85,157,0,0
SNQ 05-3151,KI,154,627,140,297,0,3
BEAR CREEK,KI,122,452,150,275,0,3
WAXWING,KI,89,295,89,178,0,0
BOT 01-0257,KI,222,718,190,417,0,5
BOT 01-0256,KI,236,670,180,417,0,1
BOT 01-0255,KI,213,750,214,428,0,1
BOT 01-0254,KI,163,561,145,311,0,3
BOT 01-0253,KI,112,400,115,229,0,2
BOT 01-0252,KI,153,514,152,308,0,3
DUV 45-3642,KI,132,443,114,249,0,3
BOT 01-0259,KI,121,430,121,245,0,3
BOT 01-0258,KI,240,817,197,440,0,3
SNQ 05-3512,KI,237,823,232,472,0,3
SAM 45-3505,KI,189,573,140,329,0,0
BEL 41-3226,KI,150,531,127,278,0,1
ISS 05-3697,KI,0,0,0,0,0,0
MINK ROAD,KI,129,424,130,260,0,1
SAM 41-2940,KI,61,243,74,136,0,1
BEL 41-0333,KI,53,222,47,100,0,0
RED 45-3281,KI,182,633,126,312,0,4
TOLT,KI,98,317,90,188,0,0
BEL 41-2714,KI,191,711,177,372,0,4
BEL 41-2719,KI,156,520,133,289,0,0
BEL 48-2430,KI,171,486,115,290,0,4
BEL 48-2432,KI,110,403,113,225,0,2
KIR 45-0619,KI,97,296,89,190,0,4
BEL 48-2434,KI,116,394,143,259,0,0
SNO-VALLEY,KI,216,760,191,408,0,1
SNQ 05-3633,KI,85,404,80,166,0,1
CHURCHILL,KI,115,425,144,262,0,3
ISS 05-3464,KI,187,829,187,376,0,2
REINTREE,KI,161,565,192,353,0,0
HUTCHINSON,KI,201,678,224,427,0,2
KLAHANIE,KI,118,468,144,264,0,2
BEL 41-1052,KI,142,462,115,257,0,0
NEW 41-1115,KI,193,633,144,340,0,3
M-I 41-0781,KI,67,216,72,140,0,1
M-I 41-0780,KI,101,389,125,226,0,0
M-I 41-0782,KI,134,503,150,285,0,1
M-I 41-0785,KI,112,380,128,243,0,3
M-I 41-0784,KI,131,411,115,246,0,0
M-I 41-0787,KI,76,333,105,182,0,1
M-I 41-0786,KI,92,255,74,166,0,0
M-I 41-0789,KI,192,607,199,391,0,0
COLLEEN,KI,146,488,154,304,0,4
SAM 41-2469,KI,140,529,148,288,0,0
SAM 45-2961,KI,173,531,145,318,0,0
OVERDALE,KI,7,12,2,9,0,0
NOVELTY,KI,150,605,186,336,0,0
M-I 41-0769,KI,155,544,176,333,0,2
M-I 41-0768,KI,88,307,82,170,0,0
BEL 41-2970,KI,187,714,194,384,0,3
ISS 05-3206,KI,228,758,188,419,0,3
M-I 41-0763,KI,78,303,120,200,0,2
M-I 41-0762,KI,70,256,77,148,0,1
M-I 41-0761,KI,103,335,103,208,0,2
M-I 41-0767,KI,70,260,71,141,0,0
M-I 41-0766,KI,105,322,91,197,0,1
M-I 41-0765,KI,256,645,184,441,0,1
BEL 48-0212,KI,217,620,80,303,0,6
BEL 48-0213,KI,120,395,52,175,0,3
BEL 48-0216,KI,85,256,55,140,0,0
BEL 48-0217,KI,108,404,76,184,0,0
BEL 48-0214,KI,73,274,57,130,0,0
BEL 48-0218,KI,189,546,146,338,0,3
BEL 41-3278,KI,90,290,82,172,0,0
WOLF,KI,162,690,143,308,0,3
NEW 41-0878,KI,175,630,152,328,0,1
RED 48-0949,KI,125,433,108,234,0,1
KIR 01-2457,KI,212,709,161,376,0,3
ISS 05-3649,KI,102,404,85,188,0,1
RED 48-0940,KI,133,399,125,258,0,0
RED 48-0941,KI,96,331,109,205,0,0
RED 48-0947,KI,104,360,110,215,0,1
KIR 01-2595,KI,141,495,96,239,0,2
HORSESHOE,KI,133,490,150,289,0,6
RED 48-2629,KI,160,648,133,295,0,2
BEL 41-3583,KI,210,675,176,386,0,0
RED 45-2638,KI,140,442,93,235,0,2
BEL 48-0138,KI,97,393,81,179,0,1
BEL 48-0136,KI,72,274,40,113,0,1
BEL 48-0135,KI,62,256,64,127,0,1
BEL 48-0134,KI,89,324,52,143,0,2
BEL 48-0133,KI,76,307,65,143,0,2
BEL 48-0132,KI,62,249,72,134,0,0
NAPOLEON,KI,168,505,155,324,0,1
BEL 41-0475,KI,85,262,64,149,0,0
BEL 41-3658,KI,61,305,53,115,0,1
BEL 41-2906,KI,144,474,120,264,0,0
BEL 41-0472,KI,156,522,147,303,0,0
SAM 45-2450,KI,180,548,143,325,0,2
MIDDLE FORK,KI,119,383,94,214,0,1
BEL 41-3657,KI,103,353,85,189,0,1
MIRRORMONT,KI,133,446,110,243,0,0
KIR 48-0628,KI,188,664,167,356,0,1
KIR 48-0629,KI,198,587,146,344,0,0
COTTAGE LAKE,KI,129,452,94,228,0,5
KIR 45-3397,KI,79,314,50,130,0,1
M-I 41-2465,KI,86,330,120,208,0,2
N-B 05-3407,KI,189,628,192,381,0,0
N-B 05-3406,KI,83,309,52,136,0,1
BEL 48-0178,KI,73,406,61,134,0,0
KIR 45-0623,KI,116,378,113,229,0,0
BEL 41-0123,KI,196,748,125,323,0,2
KIR 45-0620,KI,168,552,171,340,0,1
KIR 45-0627,KI,176,628,199,376,0,1
KIR 45-0624,KI,249,793,247,501,0,5
DUV 45-3218,KI,250,840,203,454,0,1
SNQ 05-3558,KI,122,487,113,236,0,1
DUV 45-3219,KI,150,548,144,298,0,4
BEL 48-0177,KI,134,408,99,236,0,3
BEL 41-2621,KI,129,528,121,251,0,1
PORT,KI,3,17,4,7,0,0
EAGLE,KI,0,3,0,0,0,0
KIR 48-2657,KI,117,385,79,202,0,6
MEADOWBROOK,KI,83,300,85,173,0,5
KIR 48-2921,KI,119,418,110,231,0,2
KIR 48-2920,KI,90,381,99,189,0,0
KIR 01-2759,KI,198,695,161,359,0,0
BEL 41-0175,KI,224,815,186,415,0,5
BEL 41-0176,KI,169,593,121,292,0,2
BEL 41-0179,KI,90,338,58,148,0,0
BEL 41-3371,KI,173,677,122,296,0,1
BEL 41-3370,KI,191,812,181,377,0,5
WOD 45-2597,KI,185,647,160,350,0,5
ELSOM,KI,176,586,175,353,0,2
FOX,KI,124,434,123,247,0,0
LAKE ALICE,KI,144,519,149,295,0,2
ALPINE,KI,138,564,185,324,0,1
SAM 41-0909,KI,246,831,198,445,0,1
BEL 41-0658,KI,111,403,109,220,0,0
BEL 41-0305,KI,113,484,103,218,1,1
ISS 05-3572,KI,166,855,163,331,0,2
ISS 41-3533,KI,144,507,110,254,0,0
RED 48-3313,KI,226,667,156,384,1,1
RED 48-3316,KI,83,344,66,154,0,5
RED 48-2790,KI,170,592,151,323,0,2
GROUSEMONT,KI,204,593,190,396,0,2
BEL 48-3675,KI,69,330,72,141,0,0
BEL 48-3674,KI,98,436,85,185,0,2
BOT 01-3420,KI,128,399,75,205,0,2
RED 45-2410,KI,271,822,259,533,0,3
KIR 45-2916,KI,92,321,82,175,0,1
SAM 45-0536,KI,216,758,224,444,0,4
KIR 45-3612,KI,76,211,37,116,0,3
BEA 41-0099,KI,73,240,78,151,0,0
FALL CITY,KI,125,520,147,275,0,3
WOD 45-0926,KI,221,859,146,370,0,3
SNQ 05-3667,KI,110,451,110,224,0,4
M-I 41-2808,KI,105,263,81,188,0,2
BRONSON,KI,246,785,251,499,0,2
KIR 45-2912,KI,105,419,58,165,0,2
BEL 41-1026,KI,195,652,125,323,0,3
KIR 45-2911,KI,65,309,74,139,0,0
KIR 45-2910,KI,133,421,115,248,0,0
KIR 45-0442,KI,147,557,138,286,0,1
KIR 48-0639,KI,116,387,102,218,0,0
SWAN LAKE,KI,191,684,185,378,0,2
KIR 45-2931,KI,114,409,75,191,0,2
KIR 45-2933,KI,91,350,76,167,0,0
KIR 45-2932,KI,159,472,107,266,0,0
NEW 41-3529,KI,139,569,110,249,0,0
KIR 45-2934,KI,96,368,97,196,0,3
RED 48-3415,KI,83,327,75,160,0,2
BEL 41-2945,KI,158,548,137,296,0,1
BEL 41-2943,KI,237,828,195,434,0,2
TWINBERRY,KI,314,656,232,547,0,1
SAM 41-3508,KI,191,685,145,337,0,1
SAM 45-3213,KI,168,558,126,295,0,1
STEVENS,KI,67,197,55,124,0,2
BEL 48-0223,KI,146,435,140,286,0,0
KIR 01-2488,KI,245,786,225,473,0,3
BEL 48-0221,KI,157,617,144,304,0,3
BEL 48-0227,KI,177,662,147,326,0,2
BEL 48-0226,KI,108,315,77,187,0,2
BEL 48-0225,KI,140,464,124,264,0,0
BEL 48-0224,KI,193,636,163,358,0,2
KIR 45-0925,KI,110,312,56,167,0,1
KIR 48-2598,KI,169,548,157,327,0,1
BEL 48-3292,KI,129,401,114,244,0,1
MATTHEW,KI,107,461,135,243,0,1
NEW 41-0840,KI,154,684,179,337,1,3
BOT 01-1224,KI,245,748,165,414,0,4
VINCENT,KI,103,411,107,210,0,0
BEL 41-0505,KI,101,279,96,197,0,0
ASPEN GLEN,KI,115,396,115,232,0,2
BEL 48-0162,KI,85,252,54,139,0,0
BEL 48-0163,KI,95,365,102,198,0,1
BEL 48-0164,KI,98,299,64,163,0,1
BEL 48-0165,KI,134,384,114,250,0,2
BEL 48-0166,KI,120,380,92,212,0,0
BEL 48-0167,KI,85,271,73,158,0,0
BEL 48-0168,KI,76,255,57,134,0,1
BEL 48-0169,KI,102,361,92,195,0,1
BEL 41-0131,KI,103,417,74,178,0,1
STILLWATER,KI,153,523,137,292,0,2
BEL 41-3621,KI,162,525,129,291,0,0
SAM 41-3506,KI,126,455,108,234,0,0
BEL 41-3330,KI,68,309,77,146,0,1
SAM 41-3507,KI,191,708,118,314,0,5
BOT 01-2495,KI,173,580,128,304,0,3
SNQ 05-3513,KI,240,896,221,463,0,2
ISS 05-3691,KI,97,314,72,172,0,3
SAM 41-2937,KI,148,452,100,249,0,1
ISS 05-3504,KI,117,610,150,267,0,0
ISS 05-3503,KI,105,504,132,240,0,3
SNO PASS,KI,64,208,67,131,0,0
RED 48-2968,KI,168,817,130,298,0,0
NEW 41-2811,KI,142,381,84,228,0,2
RED 48-2969,KI,125,443,122,253,0,6
KIR 01-0403,KI,155,537,119,275,0,1
BEL 41-0220,KI,159,420,101,262,0,2
RED 45-3282,KI,226,707,196,425,0,3
BEL 41-0180,KI,94,325,79,173,0,0
MED 48-0749,KI,121,485,160,285,0,4
NEW 41-3241,KI,200,699,172,373,0,1
CAR 05-3290,KI,169,515,139,309,0,1
M-I 41-0770,KI,80,277,93,173,0,0
SQUAK MOUNTAIN,KI,63,188,52,115,0,0
WEBSTER,KI,161,430,120,282,0,1
ISS 05-0543,KI,173,622,139,314,0,2
