Row Label,County,Adalia A. Hille,Carolyn J. Benzel
Washtucna City #1,AD,67,31
Lind Rural,AD,32,38
Ralston,AD,27,9
Batum,AD,35,49
Washtucna Rural,AD,47,17
Schrag,AD,13,21
Ritzville Rural NW,AD,55,98
Fairview,AD,15,13
Benge,AD,15,10
Ritzville Rural SE,AD,82,64
Ritzville Ward #5,AD,64,80
Ritzville Ward #4,AD,75,68
Total,AD,791,784
Ritzville Ward #1,AD,36,66
Lind #1,AD,101,88
Ritzville Ward #3,AD,88,75
Ritzville Ward #2,AD,39,57
