Row Label,County,Brian Dansel,Tony Booth
SHERMAN,FE,187,36
REPUBLIC 2,FE,176,14
REPUBLIC 1,FE,184,14
LAMBERT,FE,61,16
HALL CREEK,FE,67,37
CURLEW,FE,18,11
STORM KING,FE,195,24
TORODA,FE,76,26
BOYDS,FE,91,34
MALO,FE,150,18
SOUTH LAKE,FE,130,22
KETTLE RIVER,FE,157,45
KEWA,FE,56,42
BELCHER,FE,84,17
KELLER,FE,82,23
TROUT CREEK,FE,234,36
Total,FE,2316,510
ORIENT,FE,102,26
SAN POIL,FE,236,26
INCHELIUM,FE,30,43
