Row Label,County,Rob Snaza,Brian Green
Salzer,LE,133,34
Napavine #2,LE,0,0
Packwood,LE,73,31
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,369,77
Union,LE,202,57
Paradise,LE,27,28
Napavine #4,LE,0,0
Urquhart,LE,184,20
Mossyrock,LE,87,43
Independence,LE,57,17
Sommerville,LE,50,15
Stillwater West,LE,110,61
Veness,LE,283,68
Greenwood,LE,10,6
Stearns Creek,LE,124,27
Elk Crk,LE,104,34
Stillwater East,LE,69,27
Agate,LE,148,35
Skookumchuck,LE,285,70
Silver Creek,LE,252,104
Meskill,LE,60,9
Onalaska,LE,538,136
Jackson,LE,347,91
Napavine #3(*),LE,0,0
Toledo,LE,129,50
Mauermann,LE,68,18
Chehalis #9,LE,9,4
Chehalis #8,LE,211,60
Harmony,LE,274,83
Chehalis #1,LE,175,80
Chehalis #3,LE,156,48
Chehalis #2,LE,138,49
Chehalis #5,LE,154,20
Chehalis #4,LE,129,61
Chehalis #7,LE,50,9
Chehalis #6,LE,300,51
Centralia #2,LE,303,85
Centralia #3,LE,116,30
Centralia #1,LE,117,38
Centralia #6,LE,212,109
Centralia #7,LE,116,46
Centralia #4,LE,155,78
Centralia #5,LE,119,34
Centralia #8,LE,135,60
Centralia #9,LE,298,85
Mineral,LE,106,77
Salkum,LE,226,61
Randle West,LE,152,99
Ethel,LE,355,111
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,688,120
Parcuvia,LE,251,37
Evaline West,LE,151,38
Pe Ell,LE,132,51
Newaukum,LE,307,36
Forest,LE,313,72
Dryad,LE,99,25
Temple,LE,198,99
Cowlitz,LE,412,133
Drews Prairie,LE,114,56
Seminary Hill,LE,161,31
Klickitat,LE,160,57
Verndale,LE,211,100
Cinebar,LE,232,76
Whealdon,LE,213,36
Sears,LE,198,52
Adna ,LE,515,108
Big Bottom,LE,255,127
Fords Prairie,LE,306,64
Jackson North,LE,0,0
Boistfort,LE,95,30
Claquato,LE,302,50
Curtis,LE,111,25
Vader,LE,104,47
Logan,LE,286,71
Alpha,LE,351,130
Berwick,LE,441,64
Evaline East,LE,102,34
Lincoln Creek,LE,252,46
Randle East,LE,202,106
Salmon Creek,LE,445,134
Emery North(*),LE,0,0
Emery(*),LE,0,0
Winlock,LE,196,69
Prescott,LE,532,164
Total,LE,17546,5144
Kelly,LE,0,0
Roswell,LE,8,3
Centralia #10,LE,106,35
Centralia #11,LE,265,109
Centralia #12,LE,366,79
Centralia #13,LE,361,87
Morton,LE,181,85
