Row Label,County,Carol Barber,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Joe Fain
KEN 47-2836,KI,95,531,9,259,0,2,153
KEN 47-2403,KI,84,466,3,171,0,0,84
KEN 47-2834,KI,85,564,16,255,0,0,154
KEN 47-3189,KI,93,732,9,206,0,1,103
AUB 47-3585,KI,83,374,5,152,0,1,63
COV 47-1153,KI,105,626,19,284,0,2,158
LITTLE SOOS,KI,86,463,8,268,0,0,174
ROYAL,KI,29,320,9,163,0,0,125
KEN 47-3180,KI,98,541,13,187,0,1,75
KEN 47-2838,KI,125,650,13,307,0,0,169
KEN 47-3344,KI,94,473,16,298,0,0,188
AUB 47-3187,KI,73,432,12,201,0,0,116
COV 47-2843,KI,121,792,16,395,0,1,257
NATHAN,KI,70,507,9,297,0,0,218
KEN 47-2939,KI,52,314,7,121,0,0,62
PLAINS,KI,100,742,13,430,0,1,316
KEN 47-0835,KI,126,645,18,276,0,0,132
KEN 47-3300,KI,93,527,18,254,0,2,141
LAKE YOUNGS,KI,90,669,26,390,0,2,272
GRASS LAKE,KI,73,374,11,235,0,0,151
KEN 47-3136,KI,52,293,5,119,0,0,62
KEN 47-3184,KI,123,776,19,384,0,0,242
AUB 47-3591,KI,67,445,7,206,0,0,132
KEN 47-3190,KI,119,693,15,241,0,0,107
LAKE DESIRE,KI,115,605,15,323,0,0,193
COV 47-2586,KI,83,588,11,243,0,0,149
COV 47-1127,KI,79,606,21,303,0,1,202
AUB 47-0041,KI,130,735,10,303,0,0,163
AUB 47-3455,KI,59,439,6,229,0,0,164
AUB 47-0045,KI,185,674,7,351,0,0,159
AUB 47-3324,KI,112,577,14,360,0,0,234
AUB 47-3518,KI,124,640,17,309,0,0,168
KEN 47-0246,KI,95,479,16,261,0,0,150
KEN 47-2599,KI,119,748,15,345,0,1,210
DARWOOD,KI,62,472,21,285,0,1,201
KEN 47-0482,KI,112,671,17,301,0,2,170
KEN 47-0880,KI,67,362,9,148,0,3,69
KEN 47-3537,KI,109,557,15,249,0,0,125
AUB 47-0059,KI,102,678,10,365,0,0,253
KEN 47-3447,KI,55,248,5,107,0,0,47
KEN 47-2667,KI,88,528,11,176,0,0,77
AUB 47-0055,KI,65,391,9,156,0,0,82
COV 47-2982,KI,81,553,16,251,0,0,154
AUB 47-3413,KI,129,758,11,323,0,0,183
KEN 47-2585,KI,128,819,21,431,0,1,281
KEN 47-0238,KI,130,723,14,349,0,1,204
KEN 47-0498,KI,36,231,2,94,0,0,56
AUB 47-2839,KI,135,692,19,430,0,0,276
HAM LAKE,KI,71,467,12,267,0,1,183
AUB 47-0328,KI,116,684,14,397,0,1,266
PEGGY,KI,121,775,27,390,0,0,242
RUDDELL,KI,63,397,8,214,0,2,141
RUSS,KI,1,24,1,11,0,0,9
KEN 47-1034,KI,140,745,20,356,0,0,196
AUB 47-3635,KI,96,746,15,295,0,0,184
KEN 47-1151,KI,77,398,11,229,0,0,141
KEN 47-0662,KI,122,659,18,399,0,1,258
AUB 47-2551,KI,144,824,16,332,0,1,171
KEN 47-3275,KI,124,854,13,288,0,1,150
COV 47-3551,KI,48,375,9,181,0,0,124
AUB 47-3538,KI,123,719,20,366,0,0,223
AUB 47-3539,KI,77,436,14,245,0,0,154
MERGANSER,KI,85,627,18,351,0,0,248
AUB 47-0072,KI,98,525,14,289,0,0,177
AUB 47-0073,KI,104,687,14,244,0,1,125
AUB 47-0074,KI,115,569,10,294,0,0,169
KEN 47-0798,KI,130,742,27,394,0,2,235
COV 47-3244,KI,68,466,11,204,0,0,125
KEN 47-3579,KI,42,273,7,100,0,0,51
LAKE MORTON,KI,36,232,5,151,0,0,110
JEFFERSON,KI,139,829,17,404,0,1,247
KEN 47-2485,KI,123,616,11,288,0,0,154
KEN 47-2985,KI,91,571,8,198,0,0,99
COV 47-3365,KI,59,286,10,164,0,0,95
KEN 47-2477,KI,64,535,10,361,0,2,285
AUB 47-2729,KI,62,396,11,182,0,0,109
CLAY,KI,79,438,14,237,0,0,144
AUB 47-2723,KI,111,346,7,234,0,1,115
KEN 47-2708,KI,72,485,11,226,0,0,143
BRYAN,KI,62,351,7,188,0,0,119
KEN 47-1076,KI,118,668,24,301,0,0,159
COV 47-3279,KI,125,713,18,342,0,0,199
COV 47-1203,KI,121,885,29,421,0,0,271
AUB 47-2478,KI,133,490,14,328,0,0,181
AUB 47-2573,KI,145,679,20,391,0,0,226
COV 47-2711,KI,90,536,17,255,0,0,148
KEN 47-2490,KI,113,673,13,331,0,0,205
COV 47-0279,KI,114,832,25,369,0,0,230
MORTON,KI,105,723,26,425,0,2,292
