Row Label,County,Repealed,Maintained
CLARKSTON #2,AS,124,108
SWALLOWS NEST,AS,213,216
WEST CLARKSTON #1,AS,144,137
WEST CLARKSTON #2,AS,152,121
WEST CLARKSTON #3,AS,206,141
ASOTIN #1,AS,111,104
ASOTIN #2,AS,130,98
SOUTH CLARKSTON #1,AS,146,107
SOUTH CLARKSTON #2,AS,190,153
W ASOTIN,AS,91,73
CLARKSTON #6,AS,120,119
CLARKSTON #7,AS,102,65
RURAL ASOTIN,AS,93,71
CLARKSTON #4,AS,145,106
Total,AS,4065,3089
ANATONE,AS,80,57
CLARKSTON #3,AS,121,99
CLARKSTON HTS #4,AS,159,122
CLARKSTON #8,AS,151,76
CLARKSTON HTS #3,AS,71,49
CLARKSTON HTS #2,AS,331,199
CLARKSTON HTS #1,AS,190,121
CLARKSTON #5,AS,93,64
CLARKSTON HTS #7,AS,185,187
CLARKSTON HTS #6,AS,288,196
CLARKSTON HTS #5,AS,320,233
CLARKSTON #1,AS,109,67
