Row Label,County,Darrel Ellis
PEOH POINT,KS,220
MOUNTAIN,KS,92
ROSLYN 2,KS,80
KACHESS,KS,62
ROSLYN 1,KS,128
CLE ELUM 4,KS,199
ROSLYN OUTLYING,KS,45
CLE ELUM 1,KS,144
CLE ELUM 3,KS,44
CLE ELUM 2,KS,98
RONALD,KS,101
SWAUK,KS,141
SOUTH CLE ELUM,KS,150
TEANAWAY,KS,216
HYAK,KS,57
Total,KS,2329
WESTSIDE,KS,309
EASTON,KS,243
