Row Label,County,Frank Chopp,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jessica Spear
SEA 43-1368,KI,127,292,16,184,0,1,40
SEA 43-1369,KI,122,285,16,165,0,2,25
SEA 43-1364,KI,234,535,34,321,0,2,51
SEA 43-1365,KI,208,459,16,262,0,3,35
SEA 43-1366,KI,140,287,12,186,0,0,34
SEA 43-1367,KI,189,375,17,253,0,2,45
SEA 43-1360,KI,299,622,19,379,0,2,59
SEA 43-1361,KI,166,417,26,238,0,0,46
SEA 43-1362,KI,240,660,40,351,0,1,70
SEA 43-1363,KI,271,725,42,386,0,1,72
SEA 43-2017,KI,197,430,11,267,0,2,57
SEA 43-2016,KI,145,333,13,197,0,0,39
SEA 43-2015,KI,161,333,21,195,0,0,13
SEA 43-2014,KI,204,352,24,260,0,2,30
SEA 43-2013,KI,171,310,16,216,0,1,28
SEA 43-1818,KI,140,295,41,196,0,1,14
SEA 43-1787,KI,194,564,21,277,0,2,60
SEA 43-1817,KI,105,264,19,134,0,0,10
SEA 43-1280,KI,250,669,36,337,0,2,49
SEA 43-2018,KI,288,559,19,363,0,1,55
SEA 43-3571,KI,101,464,17,156,0,1,37
SEA 43-3570,KI,295,1056,41,429,0,7,86
SEA 43-1351,KI,230,561,24,315,0,1,60
SEA 43-1350,KI,97,265,10,133,0,0,26
SEA 43-1353,KI,208,449,16,260,0,1,35
SEA 43-1352,KI,227,608,27,322,0,1,67
SEA 43-1355,KI,189,401,13,244,0,4,38
SEA 43-1354,KI,164,435,20,240,0,0,56
SEA 43-1357,KI,134,355,18,192,0,3,37
SEA 43-1359,KI,212,518,22,291,0,1,56
SEA 43-1358,KI,167,418,19,224,0,5,33
SEA 43-2081,KI,25,385,6,35,0,0,4
SEA 43-2083,KI,156,422,11,215,0,0,48
SEA 43-2545,KI,271,699,22,375,0,1,81
SEA 43-2058,KI,111,247,26,150,0,0,13
SEA 43-2004,KI,150,356,24,206,0,1,31
SEA 43-2006,KI,144,298,13,169,0,0,12
