Row Label,County,Tyson Hill
Ephrata 7 012,GR,231
Hartline Rural S 020,GR,17
Moses Lake 5 029,GR,227
Ephrata 9 013,GR,381
Beverly 002,GR,21
East Wahluke 061,GR,51
Royal City 044,GR,88
Moses Lake 2 067,GR,195
Marlin 024,GR,15
Lakeview Park 021,GR,184
Moses Lake 9  068,GR,234
Coulee City 005,GR,138
North Banks Lake 037,GR,44
Ephrata Rural E,GR,193
Moses Lake 7 033,GR,297
George 015,GR,31
Mae 023,GR,593
Ruff 045,GR,32
Cascade Valley 058,GR,406
Wilson Crk Rural 056,GR,23
Electric City 007,GR,226
Coulee Cty Rur N 072,GR,50
Moses Lake 1 066,GR,162
Smyrna 2 060,GR,18
Hartline 019,GR,36
Moses Lake 4 031,GR,218
Cascade Fairgrnd 004,GR,190
Warden 050,GR,146
Ephrata 5 008,GR,205
Quincy 4 040,GR,112
Ephrata 4 011,GR,312
Quincy 1 039,GR,194
Stratford 049,GR,32
Westslope 1 053,GR,71
McConihe 1 028,GR,120
Marlin Rural 025,GR,23
Coulee Cty Rur W 006,GR,61
Coulee Cty Rur E 062,GR,17
Moses Lake 6 032,GR,346
Wheeler 2 070,GR,400
Longview 022,GR,281
Greenfield 065,GR,41
Mattawa Rural 027,GR,279
Airport 2 057,GR,150
Soap Lake 1 047,GR,133
Airport 1 001,GR,185
Grand Coulee 018,GR,191
Moses Lake 12 036,GR,265
Gloyd 017,GR,194
Hartline Rural N 073,GR,22
Smyrna 1 046,GR,100
Westslope 2 059,GR,61
Moses Lake 3 030,GR,351
Mattawa 026,GR,33
O Sullivan Dam 2 069,GR,454
Soap Lake 2 052,GR,117
Quincy Rural S 064,GR,366
Ephrata Rural ,GR,172
Ephrata 3 010,GR,174
Wheeler 1 054,GR,156
Warden Rural 051,GR,279
George Rural 016,GR,353
McConihe 2 063,GR,102
Quincy 6 041,GR,298
Block 71 003,GR,362
Wilson Creek 055,GR,51
Quincy Rural N 042,GR,142
Moses Lake 8 034,GR,371
O Sullivan Dam 1 038,GR,355
Soap Lake Rur E ,GR,57
Royal Camp 043,GR,321
Total,GR,13672
Soap Lake Rur W ,GR,242
Ephrata 2 009,GR,229
Moses Lake 11 035,GR,445
