Row Label,County,Repealed,Maintained
NORTH BONNEVILLE,SM,166,140
STABLER,SM,165,108
UNDERWOOD SOUTH,SM,77,101
WIND RIVER,SM,114,72
CAPE HORN,SM,130,76
SKAMANIA,SM,146,106
ROCK CREEK,SM,76,60
CARSON CREEK,SM,151,67
SOUTH STEVENSON,SM,27,24
SKYE,SM,97,83
HOT SPRINGS SOUTH,SM,75,65
NORTH STEVENSON,SM,93,73
CHENOWITH,SM,74,66
MT. PLEASANT,SM,76,89
BEAR PRAIRIE,SM,90,64
CASCADES,SM,6,4
NELSON CREEK,SM,52,43
HOT SPRINGS NORTH,SM,60,31
LEWIS RIVER,SM,12,6
UNDERWOOD NORTH,SM,108,96
UPPER WASHOUGAL,SM,103,85
WIND MOUNTAIN,SM,75,41
MAPLE VIEW,SM,145,107
Total,SM,2118,1607
