Row Label,County,Josie Delvin
Griffin,BE,4
215,BE,154
Ridge,BE,0
Kiona,BE,326
210,BE,162
Hedges,BE,179
Weidle,BE,38
Randy,BE,90
W2 - P641,BE,154
W2 - P640,BE,221
135,BE,180
165,BE,155
W1 - P685,BE,299
W1 - P686,BE,247
W1 - P680,BE,302
W1 - P681,BE,212
W1 - P682,BE,355
W1 - P683,BE,220
Columbia,BE,0
El Rancho,BE,341
Benton South,BE,194
W3 - P545,BE,123
French,BE,31
289,BE,347
288,BE,212
(none),BE,213
281,BE,317
280,BE,286
283,BE,190
220,BE,122
285,BE,361
284,BE,210
287,BE,143
286,BE,188
235,BE,142
Pearson,BE,5
Apricot,BE,58
Benton East,BE,0
McBee,BE,2
Candy,BE,6
455,BE,200
Reata,BE,193
W1 - P670,BE,216
W3-P511,BE,19
W1 - P675,BE,103
W1 - P674,BE,161
265,BE,176
W1 - P676,BE,335
Harrington,BE,304
W3 - P558,BE,334
W3 - P559,BE,306
Carley,BE,1
W3 - P552,BE,240
W3 - P553,BE,227
W3 - P550,BE,260
W3 - P551,BE,211
W3 - P556,BE,310
W3 - P557,BE,250
WR 11,BE,250
W3 - P555,BE,204
WR 17,BE,176
130,BE,175
WR 16,BE,165
Benton North,BE,285
292,BE,178
293,BE,147
290,BE,248
Badger,BE,174
Sacagawea,BE,1
Crow Butte,BE,27
195,BE,181
Washington,BE,87
311,BE,0
310,BE,255
Mills,BE,279
Rattlesnake,BE,56
Liberty,BE,10
Vineyard,BE,0
271,BE,120
W1 - P660,BE,234
W1 - P667,BE,112
W1 - P664,BE,373
W1 - P665,BE,316
278,BE,262
279,BE,97
W1 - P668,BE,374
W1 - P669,BE,153
175,BE,381
Susie,BE,22
Walnut Grove,BE,146
Kennewick Valley,BE,224
Yakima,BE,5
Hawthorne,BE,152
Expansion,BE,1
W3 - P560,BE,116
255,BE,201
Yellowstone,BE,128
Cook,BE,13
Celilo,BE,258
WR 10,BE,22
Orchard,BE,12
300,BE,216
301,BE,225
Jewel,BE,30
305,BE,226
W1 - P657,BE,187
W1 - P656,BE,112
W1 - P655,BE,150
Shockley,BE,4
240,BE,305
W1 - P651,BE,49
W1 - P650,BE,278
Ivey,BE,167
105,BE,147
245,BE,172
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,206
270,BE,252
Roe,BE,14
WR 1,BE,119
W2 - P633,BE,249
Cone,BE,143
W3 - P540,BE,220
160,BE,266
291,BE,272
282,BE,343
W2 - P635,BE,274
Elk,BE,0
125,BE,157
450,BE,260
Salmon,BE,46
Umatilla,BE,90
W1 - P645,BE,50
W1 - P646,BE,78
Gage,BE,4
Bobbie,BE,0
W2 - P639,BE,151
W2 - P601,BE,124
W2 - P600,BE,115
Riverside,BE,252
W2 - P605,BE,170
W1 - P691,BE,40
170,BE,172
W3 - P505,BE,163
Buena Vista,BE,361
W3 - P500,BE,42
Demoss,BE,16
Sunny,BE,56
316,BE,0
180,BE,120
W2 - P570,BE,218
186,BE,73
Dot,BE,114
W2 - P575,BE,96
185,BE,92
250,BE,210
Onion,BE,0
465,BE,242
Horse Heaven,BE,31
460,BE,198
190,BE,231
315,BE,380
Enterprise,BE,160
W2 - P590,BE,158
W2 - P610,BE,153
W2 - P595,BE,169
Prosser North,BE,223
W2 - P615,BE,63
115,BE,141
W3 - P515,BE,121
W3 - P510,BE,114
225,BE,185
W2 - P565,BE,105
Canyon,BE,223
295,BE,230
W2 - P560,BE,128
Roza,BE,0
Edgewater,BE,176
W2 - P625,BE,221
110,BE,188
151,BE,394
150,BE,290
Vista,BE,108
WR 4,BE,312
Legion,BE,207
Cherry,BE,244
Oak,BE,107
WR 9,BE,180
WR 8,BE,299
W1-P663,BE,213
Paterson,BE,13
WR 2,BE,137
WR 3,BE,115
W2 - P626,BE,134
W2 - P580,BE,149
W3 - P520,BE,84
WR 7,BE,281
Chandler,BE,35
W3 - P525,BE,137
W2 - P585,BE,123
W2-P574,BE,127
230,BE,140
WR12,BE,295
WR13,BE,191
WR14,BE,317
WR15,BE,209
WR 6,BE,299
320,BE,337
WR 5,BE,95
155,BE,318
W2 - P620,BE,167
White Bluffs,BE,304
200,BE,179
145,BE,289
205,BE,156
140,BE,156
275,BE,94
W3 - P535,BE,98
W2 - P630,BE,212
Goose Ridge,BE,50
W2 - P634,BE,317
Reese,BE,28
W2 - P636,BE,250
W2 - P637,BE,272
W2 - P638,BE,277
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,291
W3 - P530,BE,126
South,BE,165
Ida,BE,0
120,BE,227
Finley,BE,333
Tumble Weed,BE,41
Miller,BE,1
470,BE,169
260,BE,175
W3-P516,BE,12
Red Mountain,BE,202
Total,BE,39523
Clements,BE,50
