Row Label,County,Eddie Yoon,Charles W. Johnson
Usk,PE,35,104
Diamond Lk East,PE,34,57
Sacheen,PE,61,142
Diamond Lk,PE,93,182
Diamond Lk West,PE,43,93
Noble,PE,92,172
Furport,PE,39,148
Deer Valley South,PE,11,39
Cusick,PE,40,69
Ione East,PE,42,77
Kalispel Leclerc,PE,33,84
Tiger Dry Canyon,PE,90,158
Ruby,PE,10,14
Ione West,PE,70,87
Newport NE,PE,54,138
Metaline,PE,24,49
Newport SE,PE,33,67
Skookum,PE,13,41
Newport NW,PE,55,120
Newport SW,PE,46,94
Dalkena,PE,73,159
Deer Valley North,PE,61,111
Locke,PE,7,23
Fertile Valley South,PE,46,93
Fertile Valley North,PE,35,100
Camden,PE,54,89
Total,PE,1244,2605
Metaline Falls,PE,50,95
