Row Label,County,Derek Kilmer,Marty McClendon
Montesano 601,GY,474,218
Riviera 050,GY,24,18
Aberdeen 111,GY,389,163
Hoquiam 421,GY,211,79
Satsop 052,GY,104,70
Aberdeen 132,GY,0,0
Lois Lane 082,GY,71,39
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,62,34
Johns River 094,GY,186,90
Melbourne 072,GY,181,132
Bush 058,GY,309,245
Aberdeen 121,GY,349,147
Geissler 036,GY,30,19
Coats Landing 034,GY,163,89
Hoquiam 441,GY,278,96
Grayland 096,GY,177,119
Hoquiam 461,GY,198,79
Blockhouse 068,GY,149,151
Boundary 044,GY,26,25
Stover 026(*),GY,0,0
Humptulips 018,GY,30,21
Chehalis 066,GY,4,2
Elma 302,GY,291,190
Cohasset 098,GY,110,74
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,21,13
Quinault 004,GY,83,75
Porter 062,GY,119,88
Delezenne 070,GY,186,155
Pacific Beach 008,GY,124,86
Aberdeen 131,GY,459,198
Westport 901,GY,321,225
Elma 301,GY,132,81
Axford 020,GY,68,51
Brady 048,GY,301,151
Dekay 022,GY,41,37
Ocean City 012,GY,172,97
Moclips 010,GY,16,4
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,379,156
Cedar Creek 064,GY,44,65
Ocean Shores 801,GY,379,220
Ocean Shores 802,GY,498,354
Ocean Shores 803,GY,445,296
Aberdeen 141,GY,379,167
Calder 056,GY,149,110
Lund 088,GY,45,29
Taholah 002,GY,167,11
Aberdeen 142,GY,297,130
Devonshire 074,GY,167,98
Reynvaan 040,GY,72,54
Hoquiam 411,GY,261,97
Aberdeen 161,GY,372,138
Wilderness 016,GY,49,57
Hoquiam 451,GY,223,86
Hoquiam 431,GY,259,105
Blue Slough 084,GY,114,77
Black Creek 046,GY,270,203
Hoquiam Rural 024,GY,193,110
Wishkah 030,GY,162,107
North Wishkah 028(*),GY,0,0
McCleary Rural 060,GY,225,180
Oakville 701,GY,68,91
Vesta 076,GY,42,29
Artic 078,GY,31,31
Wynoochee 042,GY,2,4
Montesano 602,GY,457,198
Aberdeen 151,GY,199,118
Central Park 080,GY,407,184
Newskah 090,GY,10,5
McCleary 501,GY,239,166
Neilton 006,GY,36,39
Total,GY,12540,7103
