Row Label,County,Pat Sullivan,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Barry Knowles
KEN 47-2836,KI,137,531,8,259,0,0,114
KEN 47-2403,KI,110,466,6,171,0,0,55
KEN 47-2834,KI,145,564,11,255,0,0,99
KEN 47-3189,KI,122,732,9,206,0,2,73
AUB 47-3585,KI,97,374,5,152,1,1,48
COV 47-1153,KI,153,626,16,284,0,1,114
LITTLE SOOS,KI,131,463,12,268,0,0,125
ROYAL,KI,58,320,10,163,0,0,95
KEN 47-3180,KI,112,541,13,187,0,0,62
KEN 47-2838,KI,183,650,12,307,0,0,112
KEN 47-3344,KI,153,473,15,298,0,0,130
AUB 47-3187,KI,98,432,15,201,0,0,88
COV 47-2843,KI,207,792,19,395,0,1,168
NATHAN,KI,142,507,9,297,0,0,146
KEN 47-2939,KI,67,314,5,121,0,0,49
PLAINS,KI,176,742,19,430,0,1,234
KEN 47-0835,KI,176,645,14,276,0,0,86
KEN 47-3300,KI,135,527,14,254,0,1,104
LAKE YOUNGS,KI,173,669,21,390,0,2,194
GRASS LAKE,KI,138,374,8,235,0,0,89
KEN 47-3136,KI,58,293,4,119,0,0,57
KEN 47-3184,KI,202,776,13,384,0,0,169
AUB 47-3591,KI,102,445,10,206,0,0,94
KEN 47-3190,KI,146,693,14,241,1,0,80
LAKE DESIRE,KI,164,605,17,323,0,0,142
COV 47-2586,KI,116,588,12,243,0,1,114
COV 47-1127,KI,151,606,21,303,0,0,131
AUB 47-0041,KI,175,735,13,303,0,0,115
AUB 47-3455,KI,114,439,8,229,0,0,107
AUB 47-0045,KI,222,674,11,351,0,1,117
AUB 47-3324,KI,213,577,18,360,0,0,129
AUB 47-3518,KI,166,640,21,309,0,0,122
KEN 47-0246,KI,129,479,18,261,0,0,114
KEN 47-2599,KI,187,748,15,345,0,0,143
DARWOOD,KI,135,472,19,285,0,0,131
KEN 47-0482,KI,172,671,18,301,0,2,109
KEN 47-0880,KI,87,362,12,148,0,0,49
KEN 47-3537,KI,143,557,20,249,0,0,86
AUB 47-0059,KI,176,678,15,365,0,1,173
KEN 47-3447,KI,69,248,3,107,0,0,35
KEN 47-2667,KI,97,528,14,176,0,0,65
AUB 47-0055,KI,90,391,10,156,0,0,56
COV 47-2982,KI,127,553,13,251,0,2,109
AUB 47-3413,KI,188,758,15,323,0,0,120
KEN 47-2585,KI,217,819,18,431,0,0,196
KEN 47-0238,KI,195,723,17,349,0,3,134
KEN 47-0498,KI,51,231,0,94,0,0,43
AUB 47-2839,KI,228,692,16,430,0,0,186
HAM LAKE,KI,109,467,20,267,0,1,137
AUB 47-0328,KI,201,684,15,397,0,0,181
PEGGY,KI,187,775,34,390,0,0,169
RUDDELL,KI,118,397,5,214,0,2,89
RUSS,KI,3,24,1,11,0,0,7
KEN 47-1034,KI,209,745,21,356,0,0,126
AUB 47-3635,KI,150,746,16,295,0,0,129
KEN 47-1151,KI,117,398,17,229,0,0,95
KEN 47-0662,KI,206,659,14,399,0,2,177
AUB 47-2551,KI,195,824,15,332,1,1,120
KEN 47-3275,KI,160,854,12,288,0,0,116
COV 47-3551,KI,83,375,6,181,0,0,92
AUB 47-3538,KI,177,719,25,366,0,0,164
AUB 47-3539,KI,126,436,17,245,0,0,102
MERGANSER,KI,142,627,24,351,0,0,185
AUB 47-0072,KI,160,525,19,289,0,0,110
AUB 47-0073,KI,142,687,15,244,0,0,87
AUB 47-0074,KI,172,569,13,294,0,0,109
KEN 47-0798,KI,213,742,20,394,0,0,161
COV 47-3244,KI,96,466,12,204,0,1,95
KEN 47-3579,KI,62,273,9,100,0,0,29
LAKE MORTON,KI,79,232,3,151,0,0,69
JEFFERSON,KI,202,829,25,404,0,1,176
KEN 47-2485,KI,170,616,7,288,0,0,111
KEN 47-2985,KI,124,571,7,198,0,0,67
COV 47-3365,KI,86,286,8,164,0,0,70
KEN 47-2477,KI,156,535,10,361,0,0,195
AUB 47-2729,KI,80,396,13,182,0,0,89
CLAY,KI,119,438,11,237,0,0,107
AUB 47-2723,KI,156,346,9,234,0,1,68
KEN 47-2708,KI,123,485,8,226,0,0,95
BRYAN,KI,82,351,7,188,0,0,99
KEN 47-1076,KI,168,668,23,301,0,0,110
COV 47-3279,KI,208,713,16,342,0,1,117
COV 47-1203,KI,214,885,28,421,0,0,179
AUB 47-2478,KI,197,490,21,328,0,0,110
AUB 47-2573,KI,209,679,19,391,0,0,163
COV 47-2711,KI,136,536,12,255,0,0,107
KEN 47-2490,KI,198,673,13,331,0,0,120
COV 47-0279,KI,174,832,17,369,0,0,178
MORTON,KI,174,723,26,425,0,1,224
BERRYDALE,KI,123,505,17,277,0,0,137
COV 47-0566,KI,174,724,7,308,0,0,127
LOUIE,KI,106,512,23,236,0,1,106
PIPELINE,KI,40,153,7,82,0,0,35
COV 47-2390,KI,127,505,11,204,0,1,65
KEN 47-2568,KI,231,866,16,403,1,0,155
KEN 47-0842,KI,207,796,12,368,0,0,149
KEN 47-3676,KI,25,127,5,64,0,0,34
KEN 47-0910,KI,161,765,15,309,0,0,133
KEN 47-3408,KI,85,374,3,141,0,0,53
CLOVER,KI,129,594,18,299,0,0,152
KEN 47-0753,KI,129,622,13,249,0,0,107
AUB 47-0671,KI,168,785,19,329,0,0,142
FREEDOM,KI,165,726,17,378,0,1,195
KEN 47-3402,KI,139,669,10,322,0,1,172
AUB 47-3276,KI,132,610,9,247,0,0,106
COV 47-0313,KI,129,428,12,241,0,0,100
HUCKLEBERRY,KI,113,420,13,227,0,0,101
COV 47-3581,KI,96,385,5,180,0,0,79
KEN 47-3493,KI,134,554,11,269,0,0,124
KEN 47-3652,KI,118,463,8,219,0,0,93
FOREST,KI,168,572,21,313,0,0,124
AUB 47-2700,KI,44,212,6,73,0,1,22
AUB 47-2701,KI,75,486,9,146,0,0,62
KEN 47-1170,KI,98,412,8,180,0,0,74
KEN 47-3352,KI,0,0,0,0,0,0,0
KEN 47-0601,KI,188,733,13,291,0,1,89
KEN 47-0600,KI,25,131,2,46,0,0,19
KEN 47-0439,KI,185,585,18,309,0,1,105
AUB 47-3260,KI,232,886,19,485,0,0,234
KEN 47-2704,KI,238,773,21,430,0,0,171
COV 47-3517,KI,69,263,3,168,0,0,96
CALHOUN,KI,117,574,11,236,0,1,107
COV 47-1145,KI,166,696,9,318,0,0,143
KEN 47-0026,KI,89,357,6,169,0,1,73
KEN 47-0229,KI,155,695,12,296,0,0,129
AUB 47-3456,KI,165,795,13,305,0,2,125
KEN 47-0028,KI,167,533,21,275,0,0,87
COV 47-3597,KI,76,293,9,150,0,0,65
GLENN,KI,72,255,2,126,0,0,52
AUB 47-1066,KI,111,370,17,211,0,0,83
SAWYER,KI,207,594,24,382,0,0,151
KEN 47-3483,KI,175,606,10,285,0,0,100
KEN 47-3323,KI,113,459,12,218,0,1,92
KEN 47-1102,KI,180,759,20,382,0,0,182
KEN 47-2709,KI,239,839,19,407,0,1,148
