Row Label,County,Vicki Malloy,Garry Arseneault
210,CH,140,132
1149,CH,9,31
133,CH,132,139
132,CH,15,13
131,CH,26,20
136,CH,3,3
135,CH,218,197
134,CH,218,214
490,CH,346,373
540,CH,198,183
163,CH,11,11
1150,CH,4,2
710,CH,144,140
120,CH,104,94
121,CH,86,134
122,CH,51,79
123,CH,16,17
124,CH,33,25
125,CH,180,245
126,CH,25,38
127,CH,51,52
128,CH,30,18
129,CH,83,82
410,CH,176,169
530,CH,248,224
590,CH,193,257
310,CH,109,72
190,CH,28,11
115,CH,16,16
114,CH,140,127
116,CH,58,49
111,CH,40,25
110,CH,120,113
113,CH,24,24
112,CH,7,10
520,CH,295,378
420,CH,160,237
580,CH,138,172
440,CH,249,281
100,CH,4,3
510,CH,152,93
430,CH,194,292
450,CH,271,226
330,CH,134,126
175,CH,216,282
174,CH,148,120
173,CH,9,8
172,CH,9,7
171,CH,3,5
730,CH,260,181
182,CH,168,126
183,CH,84,88
181,CH,169,180
151(*),CH,0,0
1151(*),CH,0,0
560,CH,249,181
460,CH,232,203
150(*),CH,0,0
164,CH,96,60
165,CH,55,41
161,CH,11,16
162,CH,19,12
220,CH,165,157
720,CH,155,240
153,CH,295,309
152,CH,3,3
155,CH,99,103
154,CH,250,260
157,CH,215,223
156,CH,33,22
159,CH,6,3
158,CH,102,105
320,CH,111,149
146,CH,40,48
147,CH,251,170
144,CH,5,10
145,CH,9,13
142,CH,18,15
143,CH,7,5
140,CH,65,64
141,CH,5,8
610,CH,170,115
148,CH,91,107
149,CH,79,134
480,CH,256,251
Total,CH,9072,9186
